at_ms,latency_ms,qid
252,1002688.4525,np_default_300
680,993298.5508,np_default_300
3131,990913.8007,np_default_300
3665,1028083.9946,np_default_300
4983,113658.1721,p_default_1200
14515,1025769.8776,np_default_300
14698,1037950.6962,np_default_300
17382,241094.4816,p_default_1200
18299,1051157.4251,np_default_300
20192,1059818.7588,np_default_300
21048,258012.1076,p_default_1200
29150,1044528.5105,np_default_300
29965,1069045.2886,np_default_300
31893,1071434.6045,np_default_300
33797,1074146.3542,np_default_300
35116,1064368.1764,np_default_300
35124,1079957.0585,np_default_300
37810,1077037.8258,np_default_300
38240,1050830.5213,np_default_300
42507,1084779.5131,np_default_300
42847,1086192.6285,np_default_300
44623,1081781.8694,np_default_300
47411,1134046.3452,np_default_300
58465,1120633.5406,np_default_300
58921,1092554.6015,np_default_300
59640,1096065.6682,np_default_300
66957,1091541.4750,np_default_300
67058,1137081.5088,np_default_300
78405,1100906.8273,np_default_300
82399,1181546.1287,np_default_300
83844,1105785.6888,np_default_300
92371,1121369.7623,np_default_300
99236,1182546.6521,np_default_300
101208,1167212.8700,np_default_300
108788,1165900.4021,np_default_300
109874,1187645.1934,np_default_300
111480,380823.5646,p_default_1200
114275,1181486.0994,np_default_300
117785,1203143.5318,np_default_300
122503,389342.9368,p_default_1200
125553,1209095.6591,np_default_300
127329,1211589.3500,np_default_300
129709,1185127.4353,np_default_300
136584,1235939.0792,np_default_300
139954,1267251.9879,np_default_300
145367,1204135.9001,np_default_300
148620,385571.4213,p_default_1200
149466,398345.9449,p_default_1200
150134,1229197.7183,np_default_300
152180,386640.8941,p_default_1200
155284,1320287.1967,np_default_300
156204,343802.5715,p_default_1200
161758,332297.2056,p_default_1200
165635,1150215.1742,np_default_300
168755,1137596.6616,np_default_300
169895,157207.1507,p_default_1200
173931,1112311.5571,np_default_300
175845,149765.2203,p_default_1200
176130,1053687.7445,np_default_300
176282,1046309.2814,np_default_300
182859,976783.7811,np_default_300
183798,972590.7396,np_default_300
186526,231614.0718,p_default_1200
191841,783165.5471,np_default_300
196751,300397.3087,p_default_1200
198907,424370.2671,p_default_1200
200119,444834.4900,p_default_1200
203322,730015.9409,np_default_300
208343,468943.6244,p_default_1200
208352,711855.9655,np_default_300
209226,706332.7336,np_default_300
210086,479694.2878,p_default_1200
211152,688632.7721,np_default_300
213478,690033.6014,np_default_300
213835,683833.8976,np_default_300
216696,679496.8959,np_default_300
220686,673976.8143,np_default_300
220732,481622.8770,p_default_1200
220893,474118.5035,p_default_1200
222607,660683.6972,np_default_300
223589,660321.9996,np_default_300
224022,638437.9655,np_default_300
228661,634167.0637,np_default_300
228721,629351.0280,np_default_300
230754,610719.7208,np_default_300
231974,615114.7426,np_default_300
235282,445670.0991,p_default_1200
235533,604010.2085,np_default_300
236713,429498.0332,p_default_1200
241562,578501.7663,np_default_300
252806,567118.7956,np_default_300
257579,528879.7344,np_default_300
258929,375202.2079,p_default_1200
268639,368968.8410,p_default_1200
280092,512445.7119,np_default_300
295682,499674.7424,np_default_300
