at_ms,latency_ms,qid
1838,16421.5343,np_greedy_60
4805,71881.3248,p_greedy_1200
4833,72082.8852,p_greedy_1200
4954,34626.4864,np_greedy_60
14625,62229.0698,p_greedy_1200
16192,61204.7051,p_greedy_1200
22823,46919.9279,np_greedy_60
26716,43767.3701,np_greedy_60
31743,78531.1811,p_greedy_1200
32980,78993.9987,p_greedy_1200
39455,74336.9195,p_greedy_1200
49616,70750.3075,p_greedy_1200
89900,75425.4012,p_greedy_1200
91563,73648.0682,p_greedy_1200
94183,72296.5830,p_greedy_1200
105800,27347.1221,np_greedy_60
107129,26364.5224,np_greedy_60
120850,70855.4830,p_greedy_1200
121216,70481.3107,p_greedy_1200
133379,29178.8203,np_greedy_60
147174,39465.4235,np_greedy_60
162572,46818.9370,p_greedy_1200
177126,42407.6233,p_greedy_1200
182393,37132.6219,p_greedy_1200
212471,26659.9481,np_greedy_60
213470,27842.3093,p_greedy_1200
218415,20551.2334,np_greedy_60
232468,27045.0609,np_greedy_60
238488,19062.2110,p_greedy_1200
