arrival_ms,start_ms,end_ms,latency_ms,qid
3291.5735,3291.6184,63555.8586,60264.2402,np_greedy_113
8869.8484,8869.8684,76946.5304,68076.6620,np_greedy_113
13023.7251,13023.7450,16453.3950,3429.6500,p_greedy_94
17733.0642,17733.0770,21055.2755,3322.1986,p_greedy_94
40839.6781,40839.6973,115220.0285,74380.3312,np_greedy_113
45534.1610,45534.1795,49504.7761,3970.5965,p_greedy_94
47797.6216,47797.6393,127644.5546,79846.9153,np_greedy_113
67911.9102,67911.9281,71642.5402,3730.6121,p_greedy_94
74341.5793,74341.5946,78075.5930,3733.9984,p_greedy_94
99049.5378,99049.5554,103612.3560,4562.8006,p_greedy_94
102592.0665,102592.0841,107901.2307,5309.1466,p_greedy_94
116935.9729,116935.9865,120617.3129,3681.3264,p_greedy_94
128378.5448,128378.5543,132082.4733,3703.9190,p_greedy_94
153705.6876,153705.7068,157315.9332,3610.2264,p_greedy_94
159491.3654,159491.3800,163157.5201,3666.1401,p_greedy_94
167256.9031,167256.9187,170880.3501,3623.4314,p_greedy_94
189278.6129,189278.6301,258071.1409,68792.5108,np_greedy_113
189661.4562,189661.4635,193520.8079,3859.3444,p_greedy_94
191658.6774,191658.6880,257549.9469,65891.2588,np_greedy_113
200655.0900,200655.1032,205616.8616,4961.7584,p_greedy_94
218302.9194,218302.9351,223174.3001,4871.3649,p_greedy_94
233845.5999,233845.6203,238944.3494,5098.7290,p_greedy_94
238624.2262,238624.2437,292849.9495,54225.7058,np_greedy_113
250633.4830,250633.4959,256376.9193,5743.4234,p_greedy_94
263304.6380,263304.6563,325437.8375,62133.1812,np_greedy_113
284378.9538,284378.9740,290003.6518,5624.6778,p_greedy_94
294542.9334,294542.9466,299862.1477,5319.2012,p_greedy_94
311418.2880,311418.3062,315316.7245,3898.4183,p_greedy_94
318587.2698,318587.2852,322615.8672,4028.5820,p_greedy_94
319078.4903,319078.4977,326506.2989,7427.8013,p_greedy_94
340522.0786,340522.0971,344248.7458,3726.6487,p_greedy_94
343583.1099,343583.1286,347814.4637,4231.3351,p_greedy_94
369816.2368,369816.2526,373557.3194,3741.0668,p_greedy_94
380123.1676,380123.1853,437382.7075,57259.5222,np_greedy_113
390751.6987,390751.7172,460019.3572,69267.6401,np_greedy_113
407244.0717,407244.0927,411006.9586,3762.8658,p_greedy_94
415895.3145,415895.3329,532541.1358,116645.8029,np_greedy_113
423634.7791,423634.7916,427451.6035,3816.8120,p_greedy_94
426479.1906,426479.2041,431118.1516,4638.9475,p_greedy_94
432757.0049,432757.0191,436680.4338,3923.4148,p_greedy_94
440341.8839,440341.9018,444069.8558,3727.9541,p_greedy_94
440718.0092,440718.0160,556683.2561,115965.2400,np_greedy_113
441502.2355,441502.2446,447930.8125,6428.5679,p_greedy_94
