event,value,description
RecomputeWeight,3,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,192,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,6,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,42,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,36,"Same as Query, but only for SELECT queries."
InitialQuery,42,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,71,Count queries with all subqueries
SelectQueriesWithSubqueries,65,Count SELECT queries with all subqueries
FailedQuery,5,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,4,"Same as FailedQuery, but only for SELECT queries."
QueryTimeMicroseconds,1505211001,Total time of all queries.
SelectQueryTimeMicroseconds,1505006493,Total time of SELECT queries.
OtherQueryTimeMicroseconds,204508,Total time of queries that are not SELECT or INSERT.
FileOpen,4209,Number of files opened.
Seek,40665,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,656263,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,162442456987,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,31374,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,152645341,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,2,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,2503,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,160181729841,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,8518753,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,523710214379,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,12126,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1196,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,29322,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,32819,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,3599228077,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,1172,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,5373952,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,3052945,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,12268,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,284,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,56,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,88,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,13349,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,213709072,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,277260,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,2033617987,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,23275,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,26596,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1206709,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,1237,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,731696,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,26447,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,2158,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,4375065,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,1529,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,1412,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,1203509,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,16885145,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,1295503,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,96194209027,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,38040173,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,4480,Total time spent analyzing index of patch parts
InsertedRows,2052,Number of rows INSERTed to all tables.
InsertedBytes,25219758,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
CompileFunction,3,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,72118,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,24576,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,28,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,4141195443,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,16564781772,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,49,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,54238,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,292899,Total time spent executing query plan optimizations.
SelectedParts,72,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,72,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,72,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,1321002,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,1321002,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,10800710003,Number of rows SELECTed from all tables.
SelectedBytes,523260730076,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,10800816200,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,10800682236,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,21,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,2128694,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,220,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,3531487,Time spent loading marks
LoadedMarksFiles,284,Number of mark files loaded.
LoadedMarksCount,2622658,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,6416072,Size of in-memory representations of loaded marks.
Merge,40,Number of launched background merges.
MergeSourceParts,240,Number of source parts scheduled for merges.
MergedRows,133964,Rows read for background merges. This is the number of rows before merge.
MergedColumns,61520,Number of columns merged during the horizontal stage of merges.
MergedUncompressedBytes,132534380,Uncompressed bytes (for columns as they stored in memory) that was read for background merges. This is the number before merge.
MergeTotalMilliseconds,30641,Total time spent for background merges
MergeExecuteMilliseconds,30574,Total busy time spent for execution of background merges
MergeHorizontalStageTotalMilliseconds,27292,Total time spent for horizontal stage of background merges
MergeHorizontalStageExecuteMilliseconds,27251,Total busy time spent for execution of horizontal stage of background merges
MergeVerticalStageTotalMilliseconds,2,Total time spent for vertical stage of background merges
MergeProjectionStageTotalMilliseconds,3347,Total time spent for projection stage of background merges
MergeProjectionStageExecuteMilliseconds,3323,Total busy time spent for execution of projection stage of background merges
MergingSortedMilliseconds,8661,Total time spent while merging sorted columns
MergeTreeDataWriterRows,2052,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterUncompressedBytes,25219758,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeTreeDataWriterCompressedBytes,43216480,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterBlocks,201,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,201,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,31599232,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,397218,Time spent resetting task for MergeMutate executor.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,7578217,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,480,Time spent resetting task for Common executor.
MergeTreeDataWriterSortingBlocksMicroseconds,853,Time spent sorting blocks
InsertedCompactParts,201,Number of parts inserted in Compact format.
MergedIntoCompactParts,40,Number of parts merged into Compact format.
ContextLock,65616,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,365,Context lock wait time in microseconds
RWLockAcquiredReadLocks,3431,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,1,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,4434660,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,40,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,2057,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,98335,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,30682,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,64900,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,99207064412,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
