arrival_ms,start_ms,end_ms,latency_ms,qid
1346.8930,1346.9252,179867.2107,178520.2855,np_default_300
3628.2638,3628.2765,182858.0944,179229.8179,np_default_300
8703.6997,8703.7170,22754.2323,14050.5152,p_default_1200
16707.6517,16707.6665,194822.7522,178115.0856,np_default_300
19551.1934,19551.2087,195671.7412,176120.5325,np_default_300
29269.9823,29269.9948,43618.9855,14348.9906,p_default_1200
49577.1044,49577.1157,63622.0370,14044.9213,p_default_1200
63634.3057,63634.3135,91516.5565,27882.2431,p_default_1200
63717.9921,63718.0071,91992.5832,28274.5761,p_default_1200
77428.2157,77428.2300,241568.8404,164140.6105,np_default_300
78389.2674,78389.2826,243173.6297,164784.3472,np_default_300
92378.2578,92378.2690,117061.4287,24683.1597,p_default_1200
96966.4257,96966.4388,121567.1668,24600.7280,p_default_1200
97595.8869,127774.8101,280707.8335,152933.0234,np_default_300
107690.1138,117694.3860,265973.4404,148279.0544,np_default_300
