timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.87,2,8192,2,34877,2297644412,2,36,54,0,45,487135,17,9243,5,10997868,92,1,4,5155,179,2,14,45,20652,132294808,8835452,731,677410125,45,59,2,1,4,4,426,1,674668956,671880930,10545119,52208765,52208765,2,1,2296464764,73389,73389,4,4,4,52192381,11,3,27618,820404,241099,8071,5149,674668956,479064,8594915,266
10015.51,2,8192,2,70328,4633702844,2,36,54,0,45,942203,17,18912,5,10997868,92,1,4,10369,475,2,14,45,41528,229285688,17668556,1311,1363593407,45,59,2,1,4,4,426,1,1358078364,1354791424,21090180,105287597,105303981,2,1,4632654268,73389,73389,4,4,4,105287597,11,3,27680,1604024,362186,14832,10363,1358078364,927371,17306909,266
15018.67,2,8192,2,109579,7219871950,2,36,54,0,45,1387299,17,29616,5,10997868,92,1,4,16135,954,2,14,45,64676,601164032,26385550,2174,2122409010,45,59,2,1,4,4,426,1,2113839516,2110797450,31643119,164059425,164075809,2,1,7218614700,73389,73389,4,4,4,164059425,11,3,28573,2412571,483005,21514,16129,2113839516,1365785,25903489,266
20024.80,2,8192,2,145856,9610316504,2,36,54,0,45,1790440,17,39510,5,10997868,92,1,4,21465,1422,2,14,45,86052,850800808,35284227,2738,2823858744,45,59,2,1,4,4,426,1,2812453276,2809528347,42127691,218405858,218405858,2,1,9609857752,73389,73389,4,4,4,218405858,11,3,29583,3153683,586307,28218,21459,2812453276,1762222,34699594,266
25030.62,2,8192,2,176289,11615398288,2,36,55,1,45,2159587,17,47862,5,11263320,92,1,4,25939,1713,2,14,45,103956,895482448,44374530,3524,3412022797,45,59,2,1,4,4,426,1,3398209362,3395601674,52582833,263977388,263977388,2,1,11615005072,73389,73389,4,4,4,263977388,11,3,30742,3819957,685403,35398,25933,3398209362,2124189,43690903,266
30053.37,2,8192,2,210873,13894106104,2,36,55,1,45,2603927,17,57294,5,11263320,92,1,4,31020,5216,2,14,45,124320,1078219436,53014192,218589,4080718110,45,59,2,1,4,4,426,1,4064186194,4061744324,63127619,315766202,315766202,2,1,13893712888,73389,73389,4,4,4,315766202,11,3,31763,4684381,823673,42817,31014,4064186194,2561110,52193728,266
35062.15,2,8192,2,229200,15101820676,2,36,55,1,45,2918173,17,62293,5,11263320,92,1,4,33716,12634,2,14,45,135104,1084641644,61654673,1096982,4435631224,45,59,2,1,4,4,426,1,4417556306,4414802685,73560331,343212771,343229155,2,1,15101361924,73389,73389,4,4,4,343212771,11,3,35771,5635707,1064562,53274,33710,4417556306,2864899,60592963,266
40068.62,2,8192,2,247775,16325788176,2,36,55,1,45,3227627,17,67363,5,11263320,92,1,4,36442,16972,2,14,45,146008,1091140076,70183225,1983862,4794495532,45,59,2,1,4,4,426,1,4774858578,4772567632,83912423,371019788,371036172,2,1,16324870672,73389,73389,4,4,4,371019788,11,3,37636,6583733,1267384,63652,36436,4774858578,3163975,68918682,266
45073.93,2,8192,2,279668,18427342260,2,36,55,1,45,3644069,17,76056,5,11263320,92,1,4,41132,17641,2,14,45,164776,1135936656,79263624,1985293,5411734070,45,59,2,1,4,4,426,1,5389586258,5386930963,94454669,418792807,418792807,2,1,18426883508,73389,73389,4,4,4,418792807,11,3,40652,7305613,1372884,70511,41126,5389586258,3573558,77894009,266
50080.08,2,8192,2,309454,20390015636,2,36,56,1,45,3988745,17,84234,5,11528772,92,1,4,45506,18090,2,14,45,182276,1163120152,88351660,1986247,5987398202,45,59,2,1,4,4,426,1,5962895186,5960652322,104881386,463385615,463401999,2,1,20388967060,73389,73389,4,4,4,463385615,11,3,40744,7938719,1463287,77431,45500,5962895186,3911314,86891375,266
55085.48,2,8192,2,337286,22223576476,2,36,57,1,45,4314366,17,91932,5,11794224,92,1,4,49593,18284,2,14,45,198624,1172536600,95144702,1987374,6524781001,45,59,2,1,4,4,426,1,6498129188,6496592297,112758917,505066389,505082773,2,1,22222921116,73389,73389,4,4,4,505066389,11,3,41169,8523865,1547482,84605,49587,6498129188,4229761,93599616,266
60091.10,2,8192,2,363026,23919763936,2,36,57,1,45,4604808,17,98952,5,11794224,92,1,4,53377,18530,2,14,45,213760,1181254936,103480897,1987849,7022705507,45,59,2,1,4,4,426,1,6994105636,6992411046,122383008,543616104,543632488,2,1,23919108576,73389,73389,4,4,4,543616104,11,3,49332,9052352,1659357,91397,53371,6994105636,4513411,101824343,266
65096.41,2,8192,2,389035,25633580580,2,36,57,1,45,4898926,17,106042,5,11794224,92,1,4,57196,18938,2,14,45,229036,1190053912,107994841,1988213,7525228987,45,59,2,1,4,4,426,1,7494669604,7493438538,127731923,582559035,582575419,2,1,25632597540,73389,73389,4,4,4,582559035,11,3,49332,9582302,1722764,97719,57190,7494669604,4801207,106274955,266
