timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.72,0,0,0,0,0,0,54,1,0,0,19,0,3,2097278,2,1,2,4,0,2,6120,0,24,51616,64,0,1817,0,0,2,1,4,4,869,1,0,0,146,0,0,2,1,0,73389,73389,4,4,4,0,15,3,0,0,17,0,0,0,0,46,0
10033.57,0,0,0,0,0,0,54,1,0,0,19,0,3,2097278,2,1,2,4,0,2,6120,0,24,51616,64,0,1817,0,0,2,1,4,4,869,1,0,0,146,0,0,2,1,0,73389,73389,4,4,4,0,15,3,0,0,17,0,0,0,0,46,0
15040.87,8192,2,31297,2061698272,2,10156590,54,1,45,416069,19,8268,5,10997868,92,1,4,4632,677,2,6140,45,18548,78212560,8534795,913,608535105,45,94,2,1,4,4,869,1,606118300,602877343,10132630,46837416,46853800,2,1,2060846304,73389,73389,4,4,4,46837416,15,3,22549,717314,228235,7213,4626,606118300,408856,8306489,215
20047.94,8192,2,70582,4650348988,2,10156590,54,1,45,983854,19,18981,5,10997868,92,1,4,10405,1324,2,6140,45,41688,297704360,17073517,1314,1368271664,45,94,2,1,4,4,869,1,1362796956,1359622651,20801445,105680813,105680813,2,1,4649955772,73389,73389,4,4,4,105680813,15,3,23693,1656392,333503,14111,10399,1362796956,969743,16740073,215
25052.85,8192,2,110040,7250337432,2,10156590,54,1,45,1530780,19,29742,5,10997868,92,1,4,16203,1665,2,6140,45,64932,533550192,25632819,1784,2131297685,45,94,2,1,4,4,869,1,2122752412,2119694640,31448288,164769970,164769970,2,1,7249878680,73389,73389,4,4,4,164769970,15,3,23785,2562121,473854,20993,16197,2122752412,1509787,25159629,215
30060.00,8192,2,149359,9841216372,2,10156590,54,1,45,2098828,19,40465,5,10997868,92,1,4,21983,1897,2,6140,45,88100,768221112,34175935,2269,2891823089,45,94,2,1,4,4,869,1,2880217500,2876948694,42125799,223646135,223662519,2,1,9840429940,73389,73389,4,4,4,223646135,15,3,23987,3490845,599474,27866,21977,2880217500,2070962,33577562,215
35066.78,8192,2,180693,11905611544,2,10156590,55,1,45,2498544,19,49119,5,11263320,92,1,4,26586,2257,2,6140,45,106532,847112752,42511453,3072,3497062122,45,94,2,1,4,4,869,1,3483012946,3480372819,51890060,270567186,270583570,2,1,11904956184,73389,73389,4,4,4,270567186,15,3,25886,4175049,727467,34560,26580,3483012946,2463984,41785572,215
40079.74,8192,2,202194,13322399188,2,10156590,55,1,45,2825325,19,54927,5,11263320,92,1,4,29746,9884,2,6140,45,119180,888220752,51952071,618499,3913005598,45,94,2,1,4,4,869,1,3897200466,3894600517,63005974,302772863,302772863,2,1,13322005972,73389,73389,4,4,4,302772863,15,3,27551,5031891,942035,43875,29740,3897200466,2781450,51011070,215
45094.05,8192,2,220245,14511760372,2,10156590,55,1,45,3131023,19,59850,5,11263320,92,1,4,32398,16168,2,6140,45,129792,911708472,60605603,1510094,4262119267,45,94,2,1,4,4,869,1,4244803410,4242296318,73402082,329803799,329803799,2,1,14511367156,73389,73389,4,4,4,329803799,15,3,33586,6008715,1226938,54318,32392,4244803410,3076705,59380198,215
50105.82,8192,2,237971,15679822356,2,10156590,55,1,45,3440820,19,64686,5,11263320,92,1,4,35003,28600,2,6140,45,140212,917904888,69204357,2451601,4605043219,45,94,2,1,4,4,869,1,4586245970,4583714404,83828730,356343215,356359599,2,1,15679101460,73389,73389,4,4,4,356343215,15,3,38632,7000860,1514926,64504,34997,4586245970,3376316,67691745,215
55115.68,8192,2,255894,16860794932,2,10156590,55,1,45,3745939,19,69573,5,11263320,92,1,4,37637,33660,2,6140,45,150760,974834432,77864745,3316730,4951796874,45,94,2,1,4,4,869,1,4931489618,4928939465,94227244,383177543,383193927,2,1,16859811892,73389,73389,4,4,4,383177543,15,3,43162,7926213,1776813,74877,37632,4931489618,3671062,76089948,215
60125.43,8192,2,274121,18061702518,2,10156590,55,1,45,4052348,19,74544,5,11263320,92,1,4,40314,39771,2,6140,45,161472,998137224,86495480,4180038,5304212376,45,94,2,1,4,4,869,1,5282369362,5280023912,104619134,410470623,410487007,2,1,18060707412,73389,73389,4,4,4,410470623,15,3,45737,8867411,2018213,87043,40308,5282369362,3965305,84479111,215
65139.38,8192,2,291482,19205831796,2,10156590,56,1,45,4348481,19,79335,5,11528772,92,1,4,42865,45711,2,6140,45,171676,1004225544,95097962,5084561,5640048291,45,94,2,1,4,4,869,1,5616734034,5614539994,115010666,436485751,436502135,2,1,19205373044,73389,73389,4,4,4,436485751,15,3,48195,9789133,2267134,98668,42859,5616734034,4249813,92831535,215
70151.14,8192,2,309290,20379267732,2,10156590,56,1,45,4649119,19,84189,5,11528772,92,1,4,45480,51375,2,6140,45,182140,1027354128,103805674,5913909,5984314956,45,94,2,1,4,4,869,1,5959487314,5957548439,125433081,463139855,463156239,2,1,20378153620,73389,73389,4,4,4,463139855,15,3,51200,10682595,2478434,109677,45474,5959487314,4539442,101326875,215
75161.69,8192,2,336391,22164656304,2,10156590,57,2,45,4997304,19,91632,5,11794224,92,1,4,49463,53544,2,6140,45,198072,1036577232,112826073,6115425,6508086464,45,94,2,1,4,4,869,1,6481089828,6479425736,135877607,503733252,503733252,2,1,22164263088,73389,73389,4,4,4,503733252,15,3,51885,11420560,2597714,118594,49457,6481089828,4878710,110229122,215
80172.61,8192,2,353880,23317186256,2,10156590,57,2,45,5311255,19,96402,5,11794224,92,1,4,52033,55764,2,6140,45,208356,1059637552,121518374,6976904,6846417471,45,94,2,1,4,4,869,1,6817944868,6816328011,146281510,529928604,529928604,2,1,23316137680,73389,73389,4,4,4,529912220,15,3,53416,12407100,2838747,130483,52027,6817944868,5180772,118679940,215
85184.52,8192,2,371743,24494226672,2,10156590,57,2,45,5623323,19,101274,5,11794224,92,1,4,54655,63562,2,6140,45,218844,1065892720,130169303,7858012,7191582198,45,94,2,1,4,4,869,1,7161615652,7160388164,156670767,556664628,556681012,2,1,24493243632,73389,73389,4,4,4,556664628,15,3,58140,13378006,3051081,142347,54649,7161615652,5480976,127117739,215
90197.58,8192,2,389542,25667072784,2,10156590,57,2,45,5925271,19,106128,5,11794224,92,1,4,57272,68902,2,6140,45,229316,1072119664,138790900,8779678,7536223513,45,94,2,1,4,4,869,1,7504762148,7503238658,167078761,583318732,583335116,2,1,25666024208,73389,73389,4,4,4,583318732,15,3,59469,14334856,3267975,154412,57267,7504762148,5770859,135522665,215
