timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.57,8192,2,35405,2332512872,2,56,54,45,441761,18,14,9387,5,10997868,92,1,4,5236,63,2,24,45,21000,233886112,8841186,976,688064603,27,37,18,2,1,4,4,387,1,685285788,682069002,10527647,53001230,53001230,2,1,2332054120,73389,73389,4,4,4,53001230,11,3,27774,833012,200440,9430,5230,685285788,432331,8641255,206
10020.87,8192,2,73757,4859487596,2,56,54,45,898589,18,14,19848,5,10997868,92,1,4,10870,63,2,24,45,43604,537541856,17612591,1930,1429527817,27,37,18,2,1,4,4,387,1,1423745436,1420750681,21101949,110423537,110439921,2,1,4858635628,73389,73389,4,4,4,110423537,11,3,28089,1700542,324526,19650,10864,1423745436,878939,17289142,206
15027.89,8192,2,111843,7369295196,2,56,54,45,1347945,18,14,30234,5,10997868,92,1,4,16468,71,2,24,45,66048,771619600,26375196,2384,2166255258,27,37,18,2,1,4,4,387,1,2157486492,2154457022,31664286,167458661,167475045,2,1,7368181084,73389,73389,4,4,4,167458661,11,3,28645,2556856,455598,29767,16462,2157486492,1318178,25921425,206
20034.68,8192,2,150002,9883621472,2,56,54,45,1796366,18,14,40641,5,10997868,92,1,4,22076,72,2,24,45,88548,1075365912,35168281,3123,2904295773,27,37,18,2,1,4,4,387,1,2892538268,2889377423,42228033,224618824,224618824,2,1,9883228256,73389,73389,4,4,4,224618824,11,3,28927,3407524,577629,39984,22070,2892538268,1756382,34592921,206
25041.29,8192,2,187779,12372388708,2,56,55,45,2240840,18,14,50997,5,11263320,92,1,4,27626,85,2,24,45,110808,1344147512,43932951,3671,3634042366,27,37,18,2,1,4,4,387,1,3619327826,3616870665,52772363,281172779,281189163,2,1,12371602276,73389,73389,4,4,4,281172779,11,3,29020,4247702,702428,50700,27620,3619327826,2190140,43233258,206
30047.72,8192,2,225887,14883638100,2,56,55,45,2689820,18,14,61389,5,11263320,92,1,4,33227,94,2,24,45,133276,1649782832,52729383,4162,4371029280,27,37,18,2,1,4,4,387,1,4353331026,4350984512,63352271,338257055,338257055,2,1,14883310420,73389,73389,4,4,4,338257055,11,3,29025,5098275,813273,61127,33221,4353331026,2628693,51919887,206
35052.84,8192,2,263981,17393704536,2,56,55,45,3131185,18,14,71778,5,11263320,92,1,4,38825,256,2,24,45,155740,1952963244,61537757,4591,5107884292,27,37,18,2,1,4,4,387,1,5087203154,5084744399,73884249,395302530,395302530,2,1,17393311320,73389,73389,4,4,4,395302530,11,3,29030,5909817,921895,71132,38819,5087203154,3060053,60619508,206
40057.92,8192,2,301772,19883913564,2,56,56,45,3567023,18,14,82138,5,11528772,92,1,4,44379,499,2,24,45,178016,2221216212,70321555,5128,5838819832,27,37,18,2,1,4,4,387,1,5815177042,5812691159,84423522,451889253,451905637,2,1,19883127132,73389,73389,4,4,4,451889253,11,3,29102,6716943,1039806,81247,44373,5815177042,3485776,69286199,206
45064.98,8192,2,339127,22345024608,2,56,57,45,3998891,18,14,92379,5,11794224,92,1,4,49863,770,2,24,45,200020,2526027148,79134248,5836,6560087319,27,37,18,2,1,4,4,387,1,6533518628,6532113809,94945323,507820616,507837000,2,1,22344107104,73389,73389,4,4,4,507820616,11,3,29174,7513303,1159553,92102,49858,6533518628,3906789,77979656,206
50071.45,8192,2,376672,24818846328,2,56,57,45,4435323,18,14,102618,5,11794224,92,1,4,55380,933,2,24,45,222172,2900647316,87964371,6107,7286154784,27,37,18,2,1,4,4,387,1,7256642852,7255292862,105479288,564057242,564057242,2,1,24817797752,73389,73389,4,4,4,564040858,11,3,29174,8311189,1276682,102953,55374,7256642852,4332370,86692709,206
