timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.45,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
10025.46,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
15034.76,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
20043.99,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
25053.11,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
30061.26,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
35070.35,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
40077.60,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
45083.92,0,0,0,0,0,0,116,0,0,0,8,0,5,0,2097278,2,1,4,4,0,4,41,0,32,16830496,0,0,1818,0,0,2,1,4,4,660,1,0,0,138,0,0,2,1,0,73389,73389,4,4,4,0,20,3,0,0,0,0,0,0,0,0,0
50089.93,20,262144,64,26837,1768128716,10,117,0,603,359429,8,3791,15,30,127985460,1208,1,14,4348,8056,4,125,603,17420,160597264,3981370,414,569909459,603,874,2,1,4,4,660,1,567762956,520277407,6460728,39835859,39852243,2,1,1752777796,73389,73389,4,4,4,39835859,20,3,126923,682042,941773,6859,4334,567762956,352570,3039612,3535
55096.75,20,262144,64,57825,3810107268,10,123,1,603,697020,8,12542,15,30,128769750,1208,1,14,8903,8517,4,125,603,35644,185881960,14111461,2099,1169283780,603,874,2,1,4,4,660,1,1164795916,1117300631,30788105,86251165,86267549,2,1,3795051260,73389,73389,4,4,4,86251165,20,3,143130,1325027,1108672,14093,8889,1164795916,682927,13003195,3535
60104.38,20,262144,64,93195,6140591832,10,128,1,603,1027781,8,22460,15,30,129566106,1208,1,14,14098,8860,4,125,603,56432,229578984,23778796,2826,1852922707,603,874,2,1,4,4,660,1,1845714956,1798534826,47890766,139217468,139217468,2,1,6125568592,73389,73389,4,4,4,139217468,20,3,158016,1990712,1316126,22087,14084,1845714956,1005694,22463103,3535
65113.22,20,262144,64,130114,8573388016,10,135,1,603,1333868,8,32912,15,30,130627914,1208,1,14,19521,9513,4,125,603,78152,359566640,32422705,3416,2566631773,603,874,2,1,4,4,660,1,2556518412,2509781182,63327723,194503822,194503822,2,1,8558168168,73389,73389,4,4,4,194503822,20,3,161123,2640132,1451722,28690,19507,2556518412,1305178,30971716,3535
70118.96,20,262144,64,165347,10894906214,10,141,1,603,1649966,8,42851,15,30,131424270,1208,1,14,24700,9973,4,125,603,98868,385886112,41025332,3630,3248106640,603,874,2,1,4,4,660,1,3235209228,3188310796,98875286,247257133,247273517,2,1,10879313852,73389,73389,4,4,4,247257133,20,3,171879,3279543,1605160,35183,24686,3235209228,1614783,39421851,3535
75128.69,20,262144,64,200848,13233717158,10,147,1,603,2040567,8,52862,15,30,132486078,1208,1,14,29912,10536,4,125,603,119732,446267704,49720852,4104,3933583802,603,874,2,1,4,4,660,1,3917895198,3872019171,114404588,300409693,300426077,2,1,13218026492,73389,73389,4,4,4,300409693,20,3,176133,4017905,1741144,41662,29899,3917895198,1998906,47982345,3535
80136.66,20,262144,64,235465,15514853114,10,153,1,603,2396035,8,62633,15,30,133547886,1208,1,14,34996,10890,4,125,603,140084,523676000,58305188,4801,4602685360,603,874,2,1,4,4,660,1,4584265246,4538775162,129841675,352261884,352278268,2,1,15499522896,73389,73389,4,4,4,352261884,20,3,178251,4700266,1865313,48077,34982,4584265246,2347958,56443320,3535
85143.71,20,262144,64,271938,17917889338,10,159,1,603,2784696,8,72911,15,30,134344242,1208,1,14,40357,11340,4,125,603,161532,567700416,67042732,5095,5308104841,603,874,2,1,4,4,660,1,5286811166,5241200047,160756524,406880812,406897196,2,1,17902755728,73389,73389,4,4,4,406880812,20,3,186865,5441676,2018520,54713,40343,5286811166,2729983,65027698,3535
90150.75,20,262144,64,304506,20063945674,10,164,1,603,3101924,8,82118,15,30,135140598,1208,1,14,45141,11937,4,125,603,180688,645273248,74949863,5370,5937840822,603,874,2,1,4,4,660,1,5913990686,5868638250,176941858,455659288,455659288,2,1,20048287776,73389,73389,4,4,4,455642904,20,3,195596,6083915,2159606,60795,45127,5913990686,3041129,72794342,3535
95156.10,20,262144,64,336069,22143372722,10,170,2,603,3469210,8,90998,15,30,136202406,1208,1,14,49775,12228,4,125,603,199228,670777720,85289024,6167,6547111487,603,874,2,1,4,4,660,1,6520776492,6476487133,202106123,502916211,502916211,2,1,22128313284,73389,73389,4,4,4,502916211,20,3,213248,6766128,2361754,67371,49761,6520776492,3401839,82931242,3535
100162.28,20,262144,64,368267,24264927352,10,176,2,603,3866280,8,100073,15,30,136998762,1208,1,14,54505,12677,4,125,603,218148,679253880,95990257,7501,7169540879,603,874,2,1,4,4,660,1,7140747052,7096667892,266114909,551131598,551131598,2,1,24249790312,73389,73389,4,4,4,551131598,20,3,242463,7487316,2616278,75188,54491,7140747052,3791092,93378103,3535
