timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.39,0,0,0,0,0,0,116,0,0,0,0,9,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828672,0,0,1732,0,0,0,2,1,4,4,353,1,0,0,75,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10016.97,0,0,0,0,0,0,116,0,0,0,0,9,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828672,0,0,1732,0,0,0,2,1,4,4,353,1,0,0,75,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15021.58,0,0,0,0,0,0,116,0,0,0,0,9,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828672,0,0,1732,0,0,0,2,1,4,4,353,1,0,0,75,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20025.99,0,0,0,0,0,0,116,0,0,0,0,9,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828672,0,0,1732,0,0,0,2,1,4,4,353,1,0,0,75,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
25031.07,0,0,0,0,0,0,116,0,0,0,0,9,0,0,5,0,0,2097278,2,1,4,4,0,4,9,0,30,16828672,0,0,1732,0,0,0,2,1,4,4,353,1,0,0,75,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
30037.07,48,262144,64,23371,1539919132,9,117,0,603,994016,3,9,2813,2,14,96,1084,127985460,1208,1,13,3837,17875,4,1348,603,15356,75747112,5272469,204664,502874478,600,1676,3,2,1,4,4,353,1,500916236,453582739,9427349,34650767,34650767,2,1,1524633748,73389,73389,4,4,4,34650767,7,3,152866,1505347,1831444,8928,3824,500916236,985088,3441653,8088
35044.81,48,262144,64,55837,3679025344,9,122,0,603,1340162,3,9,11970,2,14,96,1084,128769750,1208,1,13,8608,18527,4,1348,603,34448,118557656,14819195,205525,1130736723,600,1676,3,2,1,4,4,353,1,1126260748,1078951042,29837652,83275754,83275754,2,1,3663412280,73389,73389,4,4,4,83259370,7,3,162853,2198865,2004284,16142,8595,1126260748,1324020,12815476,8088
40051.16,48,262144,64,89529,5899009596,9,128,0,603,1732467,3,9,21461,2,14,96,1084,129566106,1208,1,13,13557,19414,4,1348,603,54252,162023756,24184701,206342,1782023571,600,1676,3,2,1,4,4,353,1,1774936076,1727951265,48489894,133715047,133731431,2,1,5883462068,73389,73389,4,4,4,133715047,7,3,167595,2949732,2182285,22505,13544,1774936076,1709962,22002794,8088
45058.17,48,262144,64,123779,8156093840,9,134,0,603,2114088,3,9,31132,2,14,96,1084,130627914,1208,1,13,18591,20447,4,1348,603,74392,205178972,33200224,206860,2444381407,600,1676,3,2,1,4,4,353,1,2434621452,2387713416,70978685,185026566,185026566,2,1,8141168904,73389,73389,4,4,4,185026566,7,3,172551,3674129,2312641,29379,18578,2434621452,2084709,30887958,8088
50063.61,48,262144,64,157842,10400669466,9,139,0,603,2489932,3,9,40694,2,14,96,1084,131424270,1208,1,13,23596,21448,4,1348,603,94424,248236276,43153952,207591,3103162162,600,1676,3,2,1,4,4,353,1,3090767884,3043854364,91477119,236020756,236037140,2,1,10384913264,73389,73389,4,4,4,236020756,7,3,175437,4396025,2489255,36287,23583,3090767884,2453645,40664668,8088
