timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.90,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1787,0,0,2,1,4,4,468,1,0,0,96,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10022.58,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1787,0,0,2,1,4,4,468,1,0,0,96,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15028.90,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1787,0,0,2,1,4,4,468,1,0,0,96,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20034.95,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1787,0,0,2,1,4,4,468,1,0,0,96,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25042.93,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1787,0,0,2,1,4,4,468,1,0,0,96,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30050.57,0,0,0,0,0,0,116,0,0,0,4,0,5,2097278,2,1,4,4,0,4,18,0,32,16830496,0,0,1787,0,0,2,1,4,4,468,1,0,0,96,0,0,2,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
35060.01,18,0,0,14708,968995340,1,116,0,441,225753,4,1372,6,93715116,884,1,5,2452,1589,4,31,441,9826,37993080,1793538,84,321671702,441,675,2,1,4,4,468,1,320471252,285664631,2474096,21774275,21790659,2,1,958068100,73389,73389,4,4,4,21774275,10,3,89860,403638,721172,3697,2447,320471252,222056,1072579,2810
40068.76,26,262144,64,45044,2967978968,4,120,0,603,611731,4,8888,9,128516364,1208,1,8,7017,3951,4,54,603,28096,114577104,10926323,2887,921968570,603,978,2,1,4,4,468,1,918380556,871041670,18210518,67110396,67110396,2,1,2952136528,73389,73389,4,4,4,67094012,10,3,142763,1164495,1137426,11808,7009,918380556,599923,9789645,3669
45078.23,26,262144,64,72529,4779057652,5,125,1,603,991831,4,16715,10,129300654,1208,1,9,11058,5885,4,61,603,44262,139052792,20315156,7044,1453649227,603,978,2,1,4,4,468,1,1447911436,1400554626,37356266,108269041,108285425,2,1,4763837804,73389,73389,4,4,4,108269041,10,3,167907,1898722,1400101,19826,11049,1447911436,972005,18916327,3669
50087.05,26,262144,64,99504,6556447524,5,130,2,603,1356507,4,24282,10,129831558,1208,1,9,15021,7612,4,61,603,60122,180361024,30031416,9262,1975195762,603,978,2,1,4,4,468,1,1967349772,1920116074,64448779,148667989,148667989,2,1,6541391516,73389,73389,4,4,4,148667989,10,3,191164,2603099,1624270,29299,15012,1967349772,1327208,28407879,3669
55096.64,26,262144,64,128075,8438987888,5,134,2,603,1704490,4,32337,10,130627914,1208,1,9,19218,9430,4,61,603,76922,239274008,39302290,10158,2527562709,603,978,2,1,4,4,468,1,2517458956,2470398642,84729970,191446491,191462875,2,1,8423645604,73389,73389,4,4,4,191446491,10,3,207341,3296529,1820511,35911,19209,2517458956,1668579,37483450,3669
60105.38,26,262144,64,156812,10332636482,5,139,2,603,2060256,4,40469,10,131424270,1208,1,9,23438,11349,4,61,603,93806,263776416,49004203,12727,3082926784,603,978,2,1,4,4,468,1,3070582796,3024028280,112757587,234484978,234501362,2,1,10317339032,73389,73389,4,4,4,234484978,10,3,230462,4019495,2046492,44154,23429,3070582796,2016102,46958431,3669
65113.86,26,262144,64,186906,12314970658,5,145,2,603,2460229,4,48951,10,132220626,1208,1,9,27858,13178,4,61,603,111486,271697056,59577427,15910,3663995411,603,978,2,1,4,4,468,1,3649328670,3603383651,141114007,279544730,279544730,2,1,12299247224,73389,73389,4,4,4,279528346,10,3,263796,4780592,2343586,52016,27849,3649328670,2408213,57235397,3669
70122.50,26,262144,64,216609,14272204546,5,150,2,603,2822915,4,57326,10,133016982,1208,1,9,32221,14589,4,61,603,128950,330858480,69285047,16807,4238200193,603,978,2,1,4,4,468,1,4221195806,4175540837,161488449,324022850,324039234,2,1,14257005400,73389,73389,4,4,4,324022850,10,3,284742,5497360,2561533,58901,32212,4221195806,2764014,66725394,3669
75132.87,26,262144,64,243230,16026394674,5,154,2,603,3175921,4,64859,10,133547886,1208,1,9,36132,15982,4,61,603,144598,355144720,78184512,19301,4752901557,603,978,2,1,4,4,468,1,4733818398,4688301808,189250306,363897510,363897510,2,1,16010769544,73389,73389,4,4,4,363881126,10,3,307337,6199532,2783734,68375,36123,4733818398,3107546,75403016,3669
80143.12,26,262144,64,270748,17839636046,5,159,4,603,3573322,4,72641,10,134344242,1208,1,9,40176,17515,4,61,603,160778,379511480,87972697,23563,5285071979,603,978,2,1,4,4,468,1,5263873566,5218351134,212043225,405105307,405121691,2,1,17824633508,73389,73389,4,4,4,405105307,10,3,330519,6937025,3054054,78597,40167,5263873566,3494725,84921369,3669
85151.08,26,262144,64,299893,19760035394,5,164,5,603,3983372,4,80807,10,135140598,1208,1,9,44458,19365,4,61,603,177906,404147936,99123915,30390,5848448526,603,978,2,1,4,4,468,1,5824992798,5779807488,241800678,448741810,448758194,2,1,19744639640,73389,73389,4,4,4,448741810,10,3,364218,7720296,3346025,88438,44449,5824992798,3894934,95780419,3669
90159.90,26,262144,64,330051,21746612138,5,169,5,603,4364555,4,89305,10,135936954,1208,1,9,48885,21171,4,61,603,195622,429005432,108936833,32933,6430597720,603,978,2,1,4,4,468,1,6404777772,6360494101,262495053,493899866,493899866,2,1,21730873208,73389,73389,4,4,4,493883482,10,3,396778,8473949,3634750,96389,48876,6404777772,4268166,105305395,3669
