timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.76,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
10019.12,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
15028.17,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
20036.65,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
25043.74,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
30052.91,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
35059.88,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
40068.21,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
45077.04,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
50085.34,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
55092.87,0,0,0,0,0,0,81,0,0,0,0,3,0,0,5,0,0,2097278,2,1,0,306,0,4,0,4,4,0,4,9,0,32,19207934,0,0,1794,0,0,0,3,1,4,4,681,3,0,0,71,0,0,3,1,0,73389,73389,4,4,4,0,4,3,0,0,0,0,0,0,0,0,0
