timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.71,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
10023.07,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
15033.38,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
20040.58,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
25049.86,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
30059.81,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
35064.32,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
40068.37,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
45073.49,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
50082.91,0,0,0,0,0,0,81,0,0,0,0,4,0,5,0,2097278,2,1,0,346,0,10,0,4,4,0,4,19,0,32,16840928,0,0,1815,0,0,0,3,1,4,4,790,3,0,0,98,0,0,3,1,0,73389,73389,4,4,4,0,3,3,0,0,0,0,0,0,0,0,0
