timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.89,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
10018.20,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
15024.25,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
20031.94,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
25038.90,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
30044.71,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
35051.47,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
40057.66,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
45063.40,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
50070.77,0,0,0,0,0,0,81,0,0,0,3,0,0,5,0,0,2097278,2,1,0,392,0,10,0,4,4,0,4,15,0,30,16838784,0,0,1752,0,0,3,1,4,4,1003,3,0,0,61,0,0,3,1,0,73389,73389,4,4,4,0,15,3,0,0,0,0,0,0,0,0,0
