timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5201.92,20,262144,64,22586,1488207920,112,2,603,1211702,32,2626,63,69,675919,127985460,1208,1,68,3778,2074448,4,201653,603,15014,96893040,4888810,31103128,488208088,603,1637,2,1,4,4,1086,1,485974028,438431672,42131040,33465086,33481470,2,1,1472463784,73389,73389,4,4,4,33465086,35,1,3,94237,24833022,1204662,41035,3710,485974028,1170667,3683986,13552
10231.42,20,262144,64,26036,1715368928,112,2,603,1274378,32,3596,63,69,675919,127985460,1208,1,68,4282,2138952,4,201653,603,17034,97855792,6487243,39795906,554715647,603,1637,2,1,4,4,1086,1,552165388,504795544,78276180,38633794,38650178,2,1,1699886936,73389,73389,4,4,4,38633794,35,1,3,110042,28304421,1307139,43114,4215,552165388,1231264,5179279,13552
15277.54,20,262144,64,29351,1933948028,113,2,603,1331572,32,4553,63,69,675919,128250912,1208,1,68,4772,2316385,4,201653,603,18990,98786800,7533994,46069043,619116265,603,1637,2,1,4,4,1086,1,616259596,568759100,108656434,43595543,43611927,2,1,1918203892,73389,73389,4,4,4,43595543,35,1,3,112076,31729684,1380867,45203,4704,616259596,1286369,6152266,13552
21700.35,20,262144,64,34324,2261451268,114,2,603,1414746,32,5966,63,69,675919,128250912,1208,1,68,5503,2406126,4,201653,603,21914,100171440,10495919,58173583,715387617,603,1637,2,1,4,4,1086,1,712073228,664466546,185508971,51045501,51061885,2,1,2246002044,73389,73389,4,4,4,51045501,35,1,3,129041,35270785,1529129,48089,5435,712073228,1366657,8965224,13552
26767.45,20,262144,64,38318,2524794764,114,2,603,1476720,32,7055,63,69,675919,128250912,1208,1,68,6087,2561858,4,201653,603,24250,101278448,11950491,65093098,792299702,603,1637,2,1,4,4,1086,1,788619276,741442259,207817229,57029091,57045475,2,1,2509280004,73389,73389,4,4,4,57029091,35,1,3,134918,38653697,1633773,50443,6019,788619276,1426277,10315283,13552
31945.95,20,262144,64,41917,2761986088,115,2,603,1538118,32,8090,63,69,675919,128516364,1208,1,68,6617,2693932,4,201653,603,26366,102283824,13919897,73565919,861966826,603,1637,2,1,4,4,1086,1,857956364,810819324,270132642,62416824,62433208,2,1,2746340256,73389,73389,4,4,4,62416824,35,1,3,143167,41314115,1741219,55759,6549,857956364,1482359,12177552,13552
37049.92,20,262144,64,46077,3035943108,116,2,603,1605881,32,9263,63,69,675919,128516364,1208,1,68,7231,2942844,4,201653,603,28826,103452528,15428431,79870428,942960711,603,1637,2,1,4,4,1086,1,938565644,890943255,320191353,68648333,68664717,2,1,3020526652,73389,73389,4,4,4,68648333,35,1,3,148584,44852261,1832342,58243,7163,938565644,1547638,13593257,13552
42110.59,20,262144,64,50107,3301380448,116,2,603,1676312,32,10381,63,69,675919,128516364,1208,1,68,7821,3064256,4,201653,603,31186,104570480,16836840,85305448,1020666922,603,1637,2,1,4,4,1086,1,1015898124,968575408,346960304,74691426,74691426,2,1,3286422744,73389,73389,4,4,4,74691426,35,1,3,155843,48036910,1913569,60762,7753,1015898124,1615550,14920264,13552
47598.52,20,262144,64,53901,3551616744,117,2,603,1755253,32,11462,63,69,675919,128769750,1208,1,68,8378,3176082,4,201653,603,33414,105629872,19375411,93779002,1094026449,603,1637,2,1,4,4,1086,1,1088905228,1041695978,389673587,80380104,80380104,2,1,3536724576,73389,73389,4,4,4,80380104,35,1,3,165348,51413709,2009737,80509,8311,1088905228,1674744,17363259,13552
52636.59,20,262144,64,58473,3852840048,118,2,603,1832201,32,12734,63,69,675919,129035202,1208,1,68,9050,3271763,4,201653,603,36106,106912496,20512095,98844164,1182657776,603,1637,2,1,4,4,1086,1,1177116684,1129794866,401368753,87223854,87223854,2,1,3837849576,73389,73389,4,4,4,87223854,35,1,3,173030,54550235,2082183,90871,8983,1177116684,1741330,18427180,13552
57687.26,20,262144,64,64012,4217702116,119,2,603,1918171,32,14336,63,69,675919,129035202,1208,1,68,9867,3445670,4,201653,603,39370,108464240,24576638,110416228,1290107154,603,1637,2,1,4,4,1086,1,1284071436,1236521615,485978368,95499045,95515429,2,1,4201957980,73389,73389,4,4,4,95499045,35,1,3,186529,57708302,2226684,93829,9799,1284071436,1824342,22347816,13552
62719.94,20,262144,64,70702,4658792476,120,2,603,2018663,32,16217,63,69,675919,129300654,1208,1,68,10849,3550735,4,201653,603,43302,127267008,27786019,118310060,1419401093,603,1637,2,1,4,4,1086,1,1412784140,1365377389,606964888,105537231,105553615,2,1,4643638164,73389,73389,4,4,4,105537231,35,1,3,199120,60562948,2365479,97196,10781,1412784140,1921467,25418174,13552
67737.46,20,262144,64,88215,5812364388,123,2,603,2260175,32,21104,63,69,675919,129566106,1208,1,68,13419,3601187,4,201653,603,53590,165886936,36905904,122855632,1757700103,603,1637,2,1,4,4,1086,1,1749639180,1702588411,668440654,131753285,131769669,2,1,5797144540,73389,73389,4,4,4,131753285,35,1,3,226113,61935305,2719040,104091,13351,1749639180,2156084,34185025,13552
72746.71,20,262144,64,110565,7285323000,126,2,603,2564448,32,27365,63,69,675919,130097010,1208,1,68,16704,3611900,4,201653,603,66730,171924952,46816622,123888609,2190118468,603,1637,2,1,4,4,1086,1,2180210700,2133196696,695504527,165232596,165248980,2,1,7270234224,73389,73389,4,4,4,165232596,35,1,3,235665,62811971,3043326,112121,16636,2180210700,2452327,43771190,13552
77756.62,20,262144,64,133139,8772696224,130,3,603,2868445,32,33737,63,69,675919,130627914,1208,1,68,20019,3618099,4,201653,603,79994,195071872,56809412,124633163,2626464784,603,1637,2,1,4,4,1086,1,2614714380,2568024971,731094893,199033554,199033554,2,1,8757476376,73389,73389,4,4,4,199033554,35,1,3,257556,63619909,3428205,120462,19951,2614714380,2747983,53380117,13552
82766.60,20,262144,64,156970,10342991170,134,3,603,3199878,32,40457,63,69,675919,131424270,1208,1,68,23521,3623901,4,201653,603,94006,218294216,67156046,125059201,3087393710,603,1637,2,1,4,4,1086,1,3073728524,3026987034,753011234,234714354,234730738,2,1,10327431576,73389,73389,4,4,4,234714354,35,1,3,274440,64425412,3742707,129490,23453,3073728524,3070388,63415163,13552
87775.17,20,262144,64,180797,11912487618,139,3,603,3531468,32,47228,63,69,675919,132220626,1208,1,68,27021,3629272,4,201653,603,108018,275701680,77320478,125473107,3547452215,603,1637,2,1,4,4,1086,1,3531888158,3485763245,780933149,270395154,270395154,2,1,11896665880,73389,73389,4,4,4,270378770,35,1,3,284511,65208085,4032140,138892,26953,3531888158,3392576,73290974,13552
92784.16,20,262144,64,204893,13500402990,143,3,603,3868239,32,54056,63,69,675919,132751530,1208,1,68,30560,3632663,4,201653,603,122178,299116576,88019853,125932437,4013220420,603,1637,2,1,4,4,1086,1,3995751966,3949920459,806563142,306475203,306491587,2,1,13484908932,73389,73389,4,4,4,306475203,35,1,3,303681,66015126,4380543,147503,30492,3995751966,3720736,83642074,13552
97793.27,20,262144,64,229828,15143303066,147,3,603,4195916,32,61043,63,69,675919,133282434,1208,1,68,34224,3636673,4,201653,603,136846,357133904,98568184,126243693,4495467374,603,1637,2,1,4,4,1086,1,4475999774,4430216892,833732193,343825012,343841396,2,1,15128300528,73389,73389,4,4,4,343825012,35,1,3,317105,66781541,4643961,156060,34156,4475999774,4039856,93927110,13552
102801.88,20,262144,64,255209,16815601122,151,4,603,4543969,32,68183,63,69,675919,133813338,1208,1,68,37952,3640691,4,201653,603,151766,397892112,109111219,126374742,4986080232,603,1637,2,1,4,4,1086,1,4964636190,4919008131,856111346,381821989,381844406,2,1,16800167516,73389,73389,4,4,4,381821989,35,1,3,330084,67542859,4879125,164924,37884,4964636190,4379045,104234365,13552
107808.67,20,262144,64,281610,18555204406,156,4,603,4891527,32,75656,63,69,675919,134609694,1208,1,68,41831,3644208,4,201653,603,167282,404862288,119515455,126443734,5496602577,603,1637,2,1,4,4,1086,1,5473064478,5427591029,881970616,421368969,421368969,2,1,18540234636,73389,73389,4,4,4,421368969,35,1,3,350174,68287200,5142096,173314,41763,5473064478,4718213,114375379,13552
112816.51,20,262144,64,308367,20318572882,160,4,603,5242725,32,83178,63,69,675919,135406050,1208,1,68,45762,3647466,4,201653,603,183010,429185104,129458000,126490958,6013988970,603,1637,2,1,4,4,1086,1,5988308510,5943009827,902470776,461438078,461454462,2,1,20303275432,73389,73389,4,4,4,461438078,35,1,3,359937,69043772,5385603,183373,45694,5988308510,5059352,124074991,13552
117824.27,20,262144,64,336333,22160674226,165,4,603,5616686,32,91070,63,69,675919,136202406,1208,1,68,49868,3650354,4,201653,603,199438,453427560,139589871,126520576,6553770619,603,1637,2,1,4,4,1086,1,6525888300,6481549692,963932339,503309427,503309427,2,1,22145614788,73389,73389,4,4,4,503309427,35,1,3,384773,69811525,5629663,191942,49800,6525888300,5424744,133962258,13552
122830.71,20,262144,64,363726,23965735664,170,4,603,5952365,32,98832,63,69,675919,136998762,1208,1,68,53891,3652028,4,201653,603,215538,494941400,149179925,126528642,7083206350,603,1637,2,1,4,4,1086,1,7053190956,7009160731,986513194,544337000,544337000,2,1,23950107104,73389,73389,4,4,4,544320616,35,1,3,399560,70493020,5821036,199767,53823,7053190956,5752598,143362021,13552
127835.48,20,262144,64,394500,25993665380,175,4,603,6324208,32,107503,63,69,675919,137770986,1208,1,68,58413,3652607,4,201653,603,233626,503044824,159119370,126532827,7678304111,603,1637,2,1,4,4,1086,1,7645898540,7601988158,1011887592,590408242,590424626,2,1,25977962648,73389,73389,4,4,4,590408242,35,1,3,427881,71216445,6020132,206388,58345,7645898540,6117820,153103236,13552
