timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5455.62,37,262144,64,23430,1543785756,112,0,603,20079012,25,2877,47,68,3,1385638,127985460,1208,1,67,3902,2690052,3,1435540,603,15504,96321784,6290690,27558610,504517844,603,2138,2,1,4,4,725,1,502226956,454655275,82502053,34732687,34749071,2,1,1528238228,73389,73389,4,4,4,34732687,17,3,134550,38806524,2418738,112795,3834,502226956,19966217,3875730,17458
10479.02,37,262144,64,28628,1886300048,113,0,603,20163934,25,4341,47,68,3,1385638,128250912,1208,1,67,4666,2785610,3,1435540,603,18564,115518552,8138330,33351686,605115177,603,2138,2,1,4,4,725,1,602365964,554836887,115280663,42508166,42524550,2,1,1870359304,73389,73389,4,4,4,42508166,17,3,144680,41668536,2529553,116032,4598,602365964,20047902,5612997,17458
15522.80,37,262144,64,33357,2198077956,113,0,603,20246707,25,5643,47,68,3,1385638,128250912,1208,1,67,5361,2977395,3,1435540,603,21344,116835032,10149122,40118631,696636534,603,2138,2,1,4,4,725,1,693461004,645963588,142890026,49611901,49611901,2,1,2182923644,73389,73389,4,4,4,49611901,17,3,155731,44781917,2649460,118965,5293,693461004,20127742,7503628,17458
20555.77,37,262144,64,39363,2593545336,114,0,603,20349732,25,7318,47,68,3,1385638,128250912,1208,1,67,6242,3065101,3,1435540,603,24868,118511896,13704094,48582823,812642923,603,2138,2,1,4,4,725,1,808935436,761554330,204858666,58591604,58607988,2,1,2578030576,73389,73389,4,4,4,58591604,17,3,173968,47697355,2840030,124334,6174,808935436,20225398,10869292,17458
25581.67,37,262144,64,43807,2886380032,115,1,603,20432235,25,8606,47,68,3,1385638,128516364,1208,1,67,6893,3213522,3,1435540,603,27476,119750936,15613885,54372428,898504001,603,2138,2,1,4,4,725,1,894394380,847160917,233306398,65246938,65263322,2,1,2870865272,73389,73389,4,4,4,65246938,17,3,181168,51018645,2937997,132158,6826,894394380,20300077,12681178,17458
30717.45,37,262144,64,47974,3160795804,116,1,603,20511951,25,9791,47,68,3,1385638,128516364,1208,1,67,7509,3285550,3,1435540,603,29936,120918680,17861044,62548647,979500001,603,2138,2,1,4,4,725,1,975003660,927476354,269409706,71494831,71494831,2,1,3145051668,73389,73389,4,4,4,71478447,17,3,185756,54241314,3053305,134954,7441,975003660,20376997,14813391,17458
35843.80,37,262144,64,52638,3468313872,117,2,603,20616083,25,11123,47,68,3,1385638,128769750,1208,1,67,8194,3399976,3,1435540,603,32676,122214552,21324595,72190995,1069711547,603,2138,2,1,4,4,725,1,1064787980,1017385616,361369576,78483878,78483878,2,1,3452569736,73389,73389,4,4,4,78467494,17,3,192749,57342039,3189995,161533,8126,1064787980,20454550,18140819,17458
40970.54,37,262144,64,57325,3777073816,117,2,603,20687523,25,12398,47,68,3,1385638,128769750,1208,1,67,8882,3591736,3,1435540,603,35428,123523672,23422202,79098935,1160313742,603,2138,2,1,4,4,725,1,1154965516,1107603542,390088857,85499660,85516044,2,1,3761985040,73389,73389,4,4,4,85499660,17,3,199618,60757344,3297973,164271,8814,1154965516,20523252,20130234,17458
46052.66,37,262144,64,61822,4073647372,118,2,603,20768504,25,13681,47,68,3,1385638,129035202,1208,1,67,9542,3687425,3,1435540,603,38072,124778264,25108288,84737049,1247369688,603,2138,2,1,4,4,725,1,1241604108,1194304770,436584842,92234755,92251139,2,1,4058329220,73389,73389,4,4,4,92234755,17,3,202425,63483988,3387952,166925,9475,1241604108,20601579,21726466,17458
51639.72,37,262144,64,67205,4428237560,119,2,603,20861126,25,15206,47,68,3,1385638,129035202,1208,1,67,10334,3791294,3,1435540,603,41240,126282776,27980005,93006577,1351660525,603,2138,2,1,4,4,725,1,1345413132,1298035075,475084588,100274537,100296954,2,1,4412079628,73389,73389,4,4,4,100274537,17,3,205534,66713211,3486464,170025,10267,1345413132,20691101,24499798,17458
56678.75,37,262144,64,71334,4700223294,120,2,603,20933822,25,16384,47,68,3,1385638,129300654,1208,1,67,10940,3913934,3,1435540,603,43660,127431832,30637726,101079852,1431338188,603,2138,2,1,4,4,725,1,1424711692,1377496431,558718693,106471119,106487503,2,1,4684729236,73389,73389,4,4,4,106471119,17,3,215580,70233501,3599809,172297,10872,1424711692,20761525,27044908,17458
61823.25,37,262144,64,74483,4907911352,120,2,603,20991755,25,17248,47,68,3,1385638,129300654,1208,1,67,11405,4079224,3,1435540,603,45520,128320216,31705543,106354619,1492588610,603,2138,2,1,4,4,725,1,1485660172,1438200522,575265705,111203492,111203492,2,1,4892953648,73389,73389,4,4,4,111203492,17,3,217155,73316263,3686682,174482,11337,1485660172,20817273,28026415,17458
66860.35,37,262144,64,78142,5148769384,121,2,603,21055854,25,18299,47,68,3,1385638,129300654,1208,1,67,11942,4348307,3,1435540,603,47668,129344728,34520802,115474803,1563311527,603,2138,2,1,4,4,725,1,1556045836,1508663631,680047485,116675304,116675304,2,1,5132992480,73389,73389,4,4,4,116658920,17,3,223393,76799537,3782560,176958,11874,1556045836,20878896,30746008,17458
71890.93,37,262144,64,82811,5456615132,122,2,603,21134887,25,19628,47,68,3,1385638,129566106,1208,1,67,12626,4489854,3,1435540,603,50404,130641880,36469297,122406704,1653387237,603,2138,2,1,4,4,725,1,1645699084,1598594280,709203263,123664351,123680735,2,1,5441231444,73389,73389,4,4,4,123664351,17,3,228303,79825884,3871107,179766,12558,1645699084,20955121,32606020,17458
77469.96,37,262144,64,86745,5715761016,122,2,603,21199918,25,20698,47,68,3,1385638,129566106,1208,1,67,13207,4798047,3,1435540,603,52728,131745432,38884794,130366873,1729905414,603,2138,2,1,4,4,725,1,1721851916,1674362447,750437574,129559988,129576372,2,1,5700639472,73389,73389,4,4,4,129559988,17,3,241718,82839288,4044229,182074,13139,1721851916,21017844,34848951,17458
82542.28,37,262144,64,91387,6021571840,123,3,603,21280771,25,22022,47,68,3,1385638,129566106,1208,1,67,13886,4982056,3,1435540,603,55444,133037464,41176760,139770745,1819317620,603,2138,2,1,4,4,725,1,1810849804,1763736790,901844742,136502042,136518426,2,1,6006089848,73389,73389,4,4,4,136502042,17,3,250870,85571625,4190978,184571,13818,1810849804,21096200,36994234,17458
88578.10,37,262144,64,95628,6301102728,124,3,603,21358296,25,23233,47,68,3,1385638,129831558,1208,1,67,14508,5173158,3,1435540,603,57936,134224152,43015827,147112198,1901372464,603,2138,2,1,4,4,725,1,1892507660,1845491261,922954909,142862464,142862464,2,1,6285948416,73389,73389,4,4,4,142862464,17,3,255011,88992906,4277678,187419,14441,1892507660,21170877,38746623,17458
93617.21,37,262144,64,99920,6583975952,125,3,603,21424403,25,24424,47,68,3,1385638,130097010,1208,1,67,15140,5280824,3,1435540,603,60464,135423896,46343122,157455031,1984601181,603,2138,2,1,4,4,725,1,1975345164,1928146517,996354164,149280230,149296614,2,1,6568330120,73389,73389,4,4,4,149280230,17,3,271307,92296735,4444953,189947,15073,1975345164,21234456,41906327,17458
98664.15,37,262144,64,104023,6854197420,125,3,603,21496250,25,25579,47,68,3,1385638,130097010,1208,1,67,15742,5376399,3,1435540,603,62868,136570008,47795938,163837528,2063754258,603,2138,2,1,4,4,725,1,2054119436,2007126487,1045852518,155438011,155438011,2,1,6839272484,73389,73389,4,4,4,155438011,17,3,275323,95456436,4513603,192448,15674,2054119436,21303802,43290282,17458
103760.24,37,262144,64,108306,7136480820,126,3,603,21564128,25,26801,47,68,3,1385638,130097010,1208,1,67,16371,5500583,3,1435540,603,65388,137768280,49983065,171053672,2146727757,603,2138,2,1,4,4,725,1,2136694796,2089663157,1118380612,161839393,161855777,2,1,7120933292,73389,73389,4,4,4,161839393,17,3,282998,98473298,4614230,194825,16304,2136694796,21369303,45377013,17458
108811.06,37,262144,64,112904,7439408060,127,3,603,21640457,25,28099,47,68,3,1385638,130362462,1208,1,67,17047,5545114,3,1435540,603,68092,139047832,51837983,178234858,2235753876,603,2138,2,1,4,4,725,1,2225299468,2178211995,1152320388,168724103,168740487,2,1,7423860532,73389,73389,4,4,4,168724103,17,3,289937,100975768,4728472,201393,16980,2225299468,21439064,47118229,17458
113849.06,37,262144,64,119544,7876956168,128,3,603,21747685,25,29975,47,68,3,1385638,130362462,1208,1,67,18024,5625862,3,1435540,603,71996,140896856,55256914,185771958,2364267068,603,2138,2,1,4,4,725,1,2353225740,2306098500,1208790323,178682528,178682528,2,1,7862031232,73389,73389,4,4,4,178682528,17,3,307366,103968470,4920908,204903,17956,2353225740,21542782,50345386,17458
118859.26,37,262144,64,134641,8871662200,130,3,603,21956885,25,34146,47,68,3,1385638,130627914,1208,1,67,20241,5665901,3,1435540,603,80864,145006424,63082961,192066548,2656057031,603,2138,2,1,4,4,725,1,2643812364,2596945266,1278542218,201273844,201290228,2,1,8856049136,73389,73389,4,4,4,201273844,17,3,325094,105713461,5217556,210648,20173,2643812364,21746237,57876342,17458
123874.91,37,262144,64,156719,10326541634,134,3,603,22246751,25,40388,47,68,3,1385638,131424270,1208,1,67,23484,5675444,3,1435540,603,93836,150955736,74604349,193356288,3082864424,603,2138,2,1,4,4,725,1,3068878860,3022196364,1316542672,234337522,234353906,2,1,10310850968,73389,73389,4,4,4,234337522,17,3,344873,106549593,5608070,218793,23416,3068878860,22027958,69008942,17458
128884.63,37,262144,64,179908,11853960662,138,3,603,22563199,25,46947,47,68,3,1385638,131955174,1208,1,67,26890,5683570,3,1435540,603,107464,191178696,84977941,194200013,3530445023,603,2138,2,1,4,4,725,1,3514586654,3468599601,1340306525,269070209,269070209,2,1,11839089196,73389,73389,4,4,4,269070209,17,3,368529,107427858,5971502,226962,26822,3514586654,22336237,79018826,17458
133893.69,37,262144,64,204236,13457080386,143,3,603,22918108,25,53848,47,68,3,1385638,132751530,1208,1,67,30465,5690053,3,1435540,603,121768,197676168,95841975,194733250,4001052235,603,2138,2,1,4,4,725,1,3983300126,3937302198,1393543413,305486130,305502514,2,1,13441389720,73389,73389,4,4,4,305486130,17,3,387434,108275381,6307345,234976,30397,3983300126,22683132,89546684,17458
138903.41,37,262144,64,228816,15076449730,147,4,603,23276601,25,60796,47,68,3,1385638,133282434,1208,1,67,34073,5696676,3,1435540,603,136200,204216008,105929323,195079955,4475852787,603,2138,2,1,4,4,725,1,4456207902,4410677257,1416501492,342305618,342305618,2,1,15060726296,73389,73389,4,4,4,342289234,17,3,403230,109094336,6666038,243923,34005,4456207902,23032678,99274559,17458
143911.43,37,262144,64,253233,16685402158,151,5,603,23637639,25,67649,47,68,3,1385638,133813338,1208,1,67,37660,5701712,3,1435540,603,150548,210722824,117368175,195512207,4947914118,603,2138,2,1,4,4,725,1,4926363166,4880952109,1450586993,378877187,378877187,2,1,16670596228,73389,73389,4,4,4,378877187,17,3,425374,109921759,7004620,252815,37592,4926363166,23384824,110373631,17458
148921.75,37,262144,64,277694,18297238170,155,6,603,24004870,25,74534,47,68,3,1385638,134609694,1208,1,67,41257,5705673,3,1435540,603,164932,217241928,128669048,195922651,5421160416,603,2138,2,1,4,4,725,1,5397698078,5352135415,1476763007,415497908,415514292,2,1,18281907952,73389,73389,4,4,4,415497908,17,3,441461,110746123,7314938,261678,41189,5397698078,23743192,121365069,17458
153929.22,37,262144,64,302757,19948792306,159,6,603,24366340,25,81629,47,68,3,1385638,135140598,1208,1,67,44938,5709729,3,1435540,603,179668,257492752,138936995,196084856,5905706990,603,2138,2,1,4,4,725,1,5880305182,5834995334,1513169771,453042166,453042166,2,1,19933134408,73389,73389,4,4,4,453025782,17,3,460405,111519352,7592612,269815,44870,5880305182,24096525,131354958,17458
158935.21,37,262144,64,329963,21740820838,164,7,603,24714087,25,89279,47,68,3,1385638,135936954,1208,1,67,48931,5713853,3,1435540,603,195648,298569656,150458904,196175856,6430605128,603,2138,2,1,4,4,725,1,6403073836,6358797068,1540399812,493768794,493768794,2,1,21725826936,73389,73389,4,4,4,493768794,17,3,480537,112279820,7861694,278461,48863,6403073836,24435626,142608636,17458
163942.43,37,262144,64,358073,23593137040,169,7,603,25072477,25,97220,47,68,3,1385638,136733310,1208,1,67,53058,5717875,3,1435540,603,212160,323233576,160464982,196223018,6973798462,603,2138,2,1,4,4,725,1,6944007980,6900272874,1560883219,535867360,535867360,2,1,23578163840,73389,73389,4,4,4,535867360,17,3,489361,113053818,8082380,287850,52990,6944007980,24784627,152395243,17458
168949.10,37,262144,64,385227,25382257856,173,7,603,25450765,25,104846,47,68,3,1385638,137264214,1208,1,67,57049,5720898,3,1435540,603,228124,330398120,170499792,196280070,7498987425,603,2138,2,1,4,4,725,1,7467116332,7423247475,1604328614,576520260,576536644,2,1,25366891440,73389,73389,4,4,4,576520260,17,3,511691,113849776,8357241,296775,56982,7467116332,25153992,162155662,17458
