timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.78,0,0,0,0,0,0,116,0,0,0,14,0,5,29,2097278,2,1,4,4,0,4,70,0,30,19197470,0,0,1833,0,0,2,1,4,4,328,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10018.93,0,0,0,0,0,0,116,0,0,0,14,0,5,29,2097278,2,1,4,4,0,4,70,0,30,19197470,0,0,1833,0,0,2,1,4,4,328,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15025.23,0,0,0,0,0,0,116,0,0,0,14,0,5,29,2097278,2,1,4,4,0,4,70,0,30,19197470,0,0,1833,0,0,2,1,4,4,328,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20032.47,0,0,0,0,0,0,116,0,0,0,14,0,5,29,2097278,2,1,4,4,0,4,70,0,30,19197470,0,0,1833,0,0,2,1,4,4,328,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
25040.30,0,0,0,0,0,0,116,0,0,0,14,0,5,29,2097278,2,1,4,4,0,4,70,0,30,19197470,0,0,1833,0,0,2,1,4,4,328,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
30045.76,0,0,0,0,0,0,116,0,0,0,14,0,5,29,2097278,2,1,4,4,0,4,70,0,30,19197470,0,0,1833,0,0,2,1,4,4,328,1,0,0,101,0,0,2,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
35053.03,24,0,0,16560,1090923048,1,116,0,504,252431,14,1545,6,29,106668426,1010,1,5,2765,1831,4,90,504,11078,40922934,2647925,6145,362896110,504,921,2,1,4,4,328,1,361496788,321745099,3454934,24506085,24528502,2,1,1078267740,73389,73389,4,4,4,24506085,7,3,61891,490070,882648,5785,2760,361496788,246646,1765544,3391
40059.65,25,262144,64,45027,2966864856,16,120,1,603,637449,14,8913,21,65,128516364,1208,1,20,7028,4321,4,273,603,28132,185788510,11881486,8327,921841995,603,1074,2,1,4,4,328,1,918249484,870716405,23193305,67077628,67094012,2,1,2951415632,73389,73389,4,4,4,67077628,7,3,122072,1252129,1351369,13583,7008,918249484,623866,10530492,3983
45066.66,25,262144,64,69139,4555563352,16,124,3,603,948785,14,15734,21,65,129035202,1208,1,20,10571,6018,4,273,603,42304,192137566,21968829,11431,1388086055,603,1074,2,1,4,4,328,1,1382637580,1335261812,49439417,103192604,103192604,2,1,4539753680,73389,73389,4,4,4,103176220,7,3,151262,1896297,1637578,21673,10551,1382637580,927112,20332420,3983
50074.23,25,262144,64,96601,6365134708,16,129,3,603,1307793,14,23498,21,65,129831558,1208,1,20,14605,7811,4,273,603,58436,199364894,32284918,13128,1918818537,603,1074,2,1,4,4,328,1,1911250956,1864181558,74193290,144310289,144326673,2,1,6349652716,73389,73389,4,4,4,144310289,7,3,169324,2618352,1844700,30270,14585,1911250956,1277523,30441493,3983
55080.46,25,262144,64,124679,8215341692,16,134,3,603,1741733,14,31392,21,65,130627914,1208,1,20,18728,9256,4,273,603,74936,224085886,42509389,17320,2461513538,603,1074,2,1,4,4,328,1,2451791884,2405044510,100976439,186359703,186376087,2,1,8199826932,73389,73389,4,4,4,186359703,7,3,190205,3423463,2079518,38118,18708,2451791884,1703615,40430857,3983
60086.95,25,262144,64,150682,9928777186,16,138,4,603,2076355,14,38741,21,65,131158818,1208,1,20,22549,10916,4,273,603,90228,265243766,51516732,19437,2964358619,603,1074,2,1,4,4,328,1,2952617996,2905967056,119195269,225294442,225310826,2,1,9912955448,73389,73389,4,4,4,225294442,7,3,207428,4096699,2254479,46215,22529,2952617996,2030140,49264198,3983
65096.41,25,262144,64,173464,11429781898,16,142,6,603,2355711,14,45173,21,65,131689722,1208,1,20,25897,12505,4,273,603,103620,271243958,60422826,22647,3404946634,603,1074,2,1,4,4,328,1,3391447052,3344687033,144335837,259423080,259423080,2,1,11413894624,73389,73389,4,4,4,259406696,7,3,224065,4685878,2448828,56736,25877,3391447052,2298975,57977272,3983
70104.17,25,262144,64,202434,13338188158,16,147,6,603,2702875,14,53294,21,65,132486078,1208,1,20,30152,14397,4,273,603,120640,295752590,72321385,26447,3964172575,603,1074,2,1,4,4,328,1,3948434974,3902553738,176558297,302781055,302797439,2,1,13322366420,73389,73389,4,4,4,302781055,7,3,255902,5395877,2727746,64278,30132,3948434974,2638597,69596751,3983
