timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.34,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
10018.95,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
15025.43,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
20033.14,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
25042.73,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
30052.67,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
35059.72,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
40067.21,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
45075.29,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
50085.18,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
55091.74,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
60100.31,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
65107.10,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
70114.96,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
75122.71,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
80129.41,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
85135.30,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
90141.53,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
95148.75,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
100155.66,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
105162.06,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
110168.03,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
115175.43,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
120182.76,0,0,0,0,0,0,81,0,0,0,10,0,5,0,2097278,2,1,0,724,0,9,0,4,4,0,4,31,0,30,16822272,0,0,1813,0,0,3,1,4,4,1206,3,0,0,92,0,0,3,1,0,73389,73389,4,4,4,0,12,3,0,0,0,0,0,0,0,0,0
125201.16,91,262144,64,12385,815464150,8,129,8,576,283350,10,4836,13,77,100829176,1154,1,4,724,15224608,9,60898432,12,2483,230706,4,841,576,10760,3864963104,15780596,17186909,293731437,576,1402,3,1,4,4,1206,3,292168531,260054362,33947068,15473356,15473356,3,1,804614544,73389,73389,4,4,4,15473360,12,3,94854,6870433,621895,19584,2471,292168531,263766,15159346,54228
130261.92,189,262144,64,27507,1812689400,12,230,13,576,607167,10,10788,17,77,106729450,1154,1,4,724,34075191,9,136106988,16,5097,918979,4,2547,576,21952,7344517568,34517033,44695124,609508338,576,1402,3,1,4,4,1206,3,606208834,573764285,81496915,34609807,34673184,3,1,1799709996,73389,73389,4,4,4,34609811,12,3,119134,16247546,964825,53015,5083,606208834,554152,33555089,54228
135280.58,294,262144,64,42537,2802184032,12,326,15,576,914737,10,16708,17,77,110880154,1154,1,4,724,52880104,9,211197360,16,7672,1525671,4,2547,576,33916,15154210088,53806709,85302322,921674837,576,1402,3,1,4,4,1206,3,916670597,885302468,142601118,53697550,53697550,3,1,2792272632,73389,73389,4,4,4,53697554,12,3,140331,27435091,1294716,66865,7656,916670597,847872,52516027,54228
140292.76,398,262144,64,57190,3767804146,12,413,9514,576,1226923,10,22474,17,77,113715664,1154,1,4,724,71138922,9,284370364,16,10179,2344858,4,2547,576,45716,23468630352,72769719,125681407,1226748872,576,1402,3,1,4,4,1206,3,1220077920,1189332615,203225276,72232111,72264879,3,1,3756069804,73389,73389,4,4,4,72232115,12,3,164970,38450563,1693281,98546,10163,1220077920,1128377,71079995,54228
145303.41,498,262144,64,72142,4755239668,12,511,9519,576,1542235,10,28398,17,77,115899610,1154,1,4,724,89834031,9,359336124,16,12741,2930239,4,2547,576,57936,32728444384,92096610,165816067,1537612203,576,1402,3,1,4,4,1206,3,1529232266,1500318150,263878663,91234887,91267655,3,1,4744214156,73389,73389,4,4,4,91234891,12,3,193202,50105167,2020091,129347,12725,1529232266,1412888,90080670,54228
150325.16,1333,262144,64,86970,5730144636,12,607,9523,576,1832533,10,34214,17,77,116804560,1154,1,4,724,108253011,9,432947208,16,15282,3413515,4,2547,576,69356,38555862536,111233492,205619668,1846319344,576,1402,3,1,4,4,1206,3,1836236970,1807061231,324157554,109972977,110022129,3,1,5718594836,73389,73389,4,4,4,109972981,12,3,217928,61121311,2376369,142276,15270,1836236970,1690257,108861208,54228
155346.95,1441,262144,64,101591,6693969248,12,701,9536,576,2146337,10,39976,17,77,117106210,1154,1,4,724,126535009,9,506075388,16,17786,3996004,4,2547,576,80148,42244206352,130270873,246207555,2149585615,576,1402,3,1,4,4,1206,3,2137820497,2110344506,384956662,128513571,128546339,3,1,6682705724,73389,73389,4,4,4,128513575,12,3,241275,72792543,2693555,177745,17772,2137820497,1968592,127581938,54228
160373.35,1550,262144,64,116243,7660501172,12,795,9544,576,2441011,10,45759,17,77,117106210,1154,1,4,724,144848258,9,579393032,16,20309,4414337,4,2547,576,90752,44692793800,149275988,286524806,2455416584,576,1402,3,1,4,4,1206,3,2441958270,2414872004,445355355,147107191,147123575,3,1,7649573964,73389,73389,4,4,4,147107195,12,3,268966,83666228,3087383,196349,20293,2441958270,2244662,146194492,54228
