timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.26,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
10020.63,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
15027.09,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
20033.63,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
25041.75,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
30049.27,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
35055.71,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
40061.75,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
45068.46,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
50074.53,0,0,0,0,0,0,81,0,0,0,11,0,5,16,2097278,2,1,0,424,0,10,0,4,4,0,4,35,0,32,16840928,0,0,1830,0,0,3,1,4,4,1059,3,0,0,87,0,0,3,1,0,73389,73389,4,4,4,0,10,3,0,0,0,0,0,0,0,0,0
