timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.30,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
10016.82,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
15022.33,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
20029.38,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
25033.73,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
30042.20,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
35052.70,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
40059.02,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
45063.64,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
50069.25,0,0,0,0,0,0,81,2,0,0,13,0,5,0,2097278,2,1,0,446,0,13,0,4,4,0,4,25,0,32,16826464,60,0,1830,0,0,3,1,4,4,1069,3,0,0,125,0,0,3,1,0,73389,73389,4,4,4,0,11,3,0,0,60,0,0,0,0,0,0
