timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.15,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
10016.82,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
15022.67,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
20027.71,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
25033.46,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
30038.52,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
35043.50,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
40049.89,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
45056.39,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
50062.34,0,0,0,0,0,0,81,0,0,0,11,0,5,0,2097278,2,1,0,524,0,6,0,4,4,0,4,17,0,30,16839104,0,0,1769,0,0,3,1,4,4,964,3,0,0,76,0,0,3,1,0,73389,73389,4,4,4,0,7,3,0,0,0,0,0,0,0,0,0
