timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5133.64,23,262144,64,25126,1655465716,64,45,117,0,603,1362452,28,3347,60,68,219608,127985460,1208,1,67,4153,902054,3,325810,603,16504,98621392,4310276,21314743,537416847,603,2987,2,1,4,4,820,1,534994956,487342945,31563523,37267889,37284273,2,1,1639787116,73389,73389,4,4,4,37267889,17,3,139452,18826221,866043,12439,4085,534994956,1350013,3444917,10308
10162.16,23,262144,64,31180,2054609728,64,45,118,0,603,1436134,28,5051,60,68,219608,128250912,1208,1,67,5041,984007,3,325810,603,20060,100306448,7378325,30260795,654477049,603,2987,2,1,4,4,820,1,651517964,604034026,80720332,46349770,46349770,2,1,2039389880,73389,73389,4,4,4,46349770,17,3,164800,21956437,1030421,15277,4973,651517964,1420857,6348630,10308
15177.90,23,262144,64,37134,2446669236,64,45,119,0,603,1507897,28,6679,60,68,219608,128250912,1208,1,67,5914,1215765,3,325810,603,23552,101963216,9757128,36379399,769438514,603,2987,2,1,4,4,820,1,765943820,718610591,115677148,55263937,55263937,2,1,2431613228,73389,73389,4,4,4,55263937,17,3,172719,24976914,1094751,17963,5846,765943820,1489934,8663652,10308
20196.21,23,262144,64,44032,2901391084,64,45,120,0,603,1587528,28,8666,60,68,219608,128516364,1208,1,67,6928,1270590,3,325810,603,27612,121117272,11992719,43368754,902946797,603,2987,2,1,4,4,820,1,898850828,851568637,202419864,65597035,65597035,2,1,2886269540,73389,73389,4,4,4,65597035,17,3,184196,27945115,1216477,21073,6860,898850828,1566455,10778852,10308
25208.55,23,262144,64,51170,3371576120,64,45,121,0,603,1662689,28,10670,60,68,219608,128516364,1208,1,67,7978,1413830,3,325810,603,31812,123106008,14582107,49020793,1041200358,603,2987,2,1,4,4,820,1,1036476428,989084821,227222087,76276356,76292740,2,1,3356159664,73389,73389,4,4,4,76276356,17,3,193729,30626372,1320170,24906,7911,1036476428,1637783,13264848,10308
30221.78,23,262144,64,59602,3927361096,64,45,123,0,603,1758578,28,13071,60,68,219608,129035202,1208,1,67,9216,1546738,3,325810,603,36768,125448408,18742600,58387441,1204315664,603,2987,2,1,4,4,820,1,1198874636,1151573058,334456532,88907088,88923472,2,1,3911911872,73389,73389,4,4,4,88907088,17,3,211076,33609156,1485675,28293,9149,1198874636,1730285,17260641,10308
35236.36,23,262144,64,65977,4347276712,64,45,124,0,603,1828171,28,14833,60,68,219608,129035202,1208,1,67,10153,1674470,3,325810,603,40516,127227736,21882850,66549545,1327686785,603,2987,2,1,4,4,820,1,1321689100,1274345786,376420195,98449880,98466264,2,1,4331794720,73389,73389,4,4,4,98449880,17,3,218454,36662760,1587543,31277,10086,1321689100,1796894,20299332,10308
40249.85,23,262144,64,71890,4736914696,64,45,125,0,603,1896901,28,16541,60,68,219608,129300654,1208,1,67,11024,1832982,3,325810,603,43996,128876056,24329457,74471438,1442239958,603,2987,2,1,4,4,820,1,1435721740,1388227699,414627541,107312736,107329120,2,1,4721760384,73389,73389,4,4,4,107312736,17,3,226425,40001051,1684924,39860,10956,1435721740,1857041,22649291,10308
45262.40,23,262144,64,77702,5119668092,64,45,126,0,603,1958932,28,18171,60,68,219608,129300654,1208,1,67,11874,2023540,3,325810,603,47396,130488728,27710116,85225044,1554160455,603,2987,2,1,4,4,820,1,1547132940,1500162517,502066997,116013911,116013911,2,1,5104612084,73389,73389,4,4,4,116013911,17,3,238702,43051256,1805783,42452,11806,1547132940,1916480,25909073,10308
50331.75,23,262144,64,84675,5579305140,64,45,127,0,603,2056633,28,20136,60,68,219608,129566106,1208,1,67,12901,2121233,3,325810,603,51504,132427992,29981162,92276227,1689379696,603,2987,2,1,4,4,820,1,1681743884,1634513341,530024268,126461697,126478081,2,1,5564314668,73389,73389,4,4,4,126461697,17,3,242866,45959160,1887663,56970,12833,1681743884,1999663,28098750,10308
55380.77,23,262144,64,90555,5966780436,64,45,128,0,603,2126140,28,21794,60,68,219608,129566106,1208,1,67,13765,2290132,3,325810,603,54960,134065176,32840979,98951160,1803152497,603,2987,2,1,4,4,820,1,1794990092,1747724011,572078126,135267209,135267209,2,1,5951757196,73389,73389,4,4,4,135267209,17,3,250210,49154487,1985762,59644,13697,1794990092,2066496,30860870,10308
60650.49,23,262144,64,96824,6379749236,64,45,129,0,603,2196364,28,23552,60,68,219608,129831558,1208,1,67,14684,2422943,3,325810,603,58640,135808472,35917928,107368683,1924292399,603,2987,2,1,4,4,820,1,1915576332,1868507616,608442752,144637969,144654353,2,1,6364070636,73389,73389,4,4,4,144637969,17,3,257427,52541792,2079207,62299,14617,1915576332,2134065,33844439,10308
65672.84,23,262144,64,103859,6843449516,64,45,130,0,603,2274934,28,25530,60,68,219608,130097010,1208,1,67,15717,2531782,3,325810,603,62768,137767640,38725838,114398798,2060173608,603,2987,2,1,4,4,820,1,2050842636,2004022577,726123138,155175867,155192251,2,1,6827738148,73389,73389,4,4,4,155175867,17,3,264718,55677423,2165711,68336,15649,2050842636,2206598,36566336,10308
70702.26,23,262144,64,111239,7329759716,64,45,131,0,603,2351437,28,27600,60,68,219608,130097010,1208,1,67,16802,2622486,3,325810,603,67112,139828952,41097428,120556576,2203158510,603,2987,2,1,4,4,820,1,2193186828,2146080356,748344134,166238053,166254437,2,1,7314474332,73389,73389,4,4,4,166238053,17,3,273042,58789009,2254914,71455,16735,2193186828,2279982,38848900,10308
75719.16,23,262144,64,116063,7647667016,64,45,132,0,603,2404851,28,28970,60,68,219608,130362462,1208,1,67,17512,2862871,3,325810,603,69948,141170136,42990967,126558380,2296527476,603,2987,2,1,4,4,820,1,2286116876,2239142391,773710460,173450443,173472860,2,1,7631819492,73389,73389,4,4,4,173450443,17,3,275592,61815850,2311288,73757,17445,2286116876,2331094,40686536,10308
80758.38,23,262144,64,122771,8089502648,64,45,133,0,603,2506154,28,30849,60,68,219608,130362462,1208,1,67,18497,2946293,3,325810,603,73888,143035288,46450836,134459346,2426215103,603,2987,2,1,4,4,820,1,2415222796,2368234690,890210820,183507172,183523556,2,1,8074315568,73389,73389,4,4,4,183507172,17,3,285305,64838456,2412432,103385,18429,2415222796,2402769,44045385,10308
85795.12,23,262144,64,130044,8568800496,64,45,135,0,603,2598006,28,32908,60,68,219608,130627914,1208,1,67,19564,3045283,3,325810,603,78160,145058776,49925833,143166642,2566827831,603,2987,2,1,4,4,820,1,2555207692,2508425381,957490275,194389134,194405518,2,1,8553121896,73389,73389,4,4,4,194389134,17,3,303777,67923664,2561905,109133,19497,2555207692,2488873,47371280,10308
90809.00,23,262144,64,136785,9012967740,64,45,136,0,603,2669090,28,34841,60,68,219608,130893366,1208,1,67,20554,3153136,3,325810,603,82116,146929176,53571809,151877719,2697042706,603,2987,2,1,4,4,820,1,2684837900,2638207285,1099806578,204486823,204503207,2,1,8997420212,73389,73389,4,4,4,204486823,17,3,316720,70796565,2681022,112061,20486,2684837900,2557029,50897564,10308
95835.12,23,262144,64,144064,9492658804,64,45,137,0,603,2742446,28,36881,60,68,219608,131158818,1208,1,67,21627,3268722,3,325810,603,86408,148970072,56796922,159608634,2838316222,603,2987,2,1,4,4,820,1,2825478156,2778489525,1144267988,215385169,215401553,2,1,9476947436,73389,73389,4,4,4,215385169,17,3,320965,73886706,2768531,115036,21559,2825478156,2627410,54034671,10308
100848.57,23,262144,64,155359,10236881770,64,45,139,0,603,2855700,28,40042,60,68,219608,131424270,1208,1,67,23285,3361367,3,325810,603,93040,152103256,61607028,167712444,3056563709,603,2987,2,1,4,4,820,1,3042795532,2995991413,1306267598,232310224,232310224,2,1,10220928960,73389,73389,4,4,4,232293840,17,3,338041,76610164,2918720,119172,23217,3042795532,2736528,58695100,10308
105856.60,23,262144,64,180405,11886797506,64,45,144,0,603,3155045,28,47123,60,68,219608,132220626,1208,1,67,26964,3365090,3,325810,603,107764,193043824,72865194,169151253,3540157236,603,2987,2,1,4,4,820,1,3524417054,3478272607,1341775629,269805330,269821714,2,1,11871434520,73389,73389,4,4,4,269805330,17,3,367042,77342046,3259301,126265,26896,3524417054,3028780,69613297,10308
110864.16,23,262144,64,205567,13544574254,64,45,148,0,603,3459712,28,54203,60,68,219608,132751530,1208,1,67,30656,3369439,3,325810,603,122540,233572008,83574216,169439180,4026087775,603,2987,2,1,4,4,820,1,4008334878,3962867288,1366799225,307474627,307491011,2,1,13528883588,73389,73389,4,4,4,307474627,17,3,393678,78053475,3566265,133809,30588,4008334878,3325903,80015644,10308
115872.86,23,262144,64,229590,15127440046,64,45,152,0,603,3794423,28,61027,60,68,219608,133282434,1208,1,67,34185,3374119,3,325810,603,136660,257061512,93802182,169872786,4490560515,603,2987,2,1,4,4,820,1,4470887966,4425522557,1389573332,343458531,343474915,2,1,15112175364,73389,73389,4,4,4,343458531,17,3,415791,78866299,3882517,142828,34117,4470887966,3651595,89926474,10308
120880.87,23,262144,64,252480,16635788098,64,45,156,0,603,4149298,28,67447,60,68,219608,133813338,1208,1,67,37549,3381189,3,325810,603,150116,263163336,104075243,170361737,4933275483,603,2987,2,1,4,4,820,1,4911814174,4866428096,1417456068,377740658,377757042,2,1,16620588952,73389,73389,4,4,4,377740658,17,3,434669,79696638,4189840,152273,37481,4911814174,3997025,99890789,10308
125889.94,23,262144,64,276366,18209940910,64,45,160,1,603,4494777,28,74201,60,68,219608,134609694,1208,1,67,41060,3385374,3,325810,603,164164,286575984,114351774,170556379,5395334651,603,2987,2,1,4,4,820,1,5372007966,5326618203,1440178809,413509411,413525795,2,1,18194414084,73389,73389,4,4,4,413509411,17,3,445720,80484403,4468840,162750,40993,5372007966,4332029,109888528,10308
130900.27,23,262144,64,302087,19904617734,64,45,164,3,603,4857331,28,81459,60,68,219608,135140598,1208,1,67,44840,3390482,3,325810,603,179284,293382384,124930035,170732967,5892823157,603,2987,2,1,4,4,820,1,5867460126,5822111947,1466123989,452036709,452053093,2,1,19889615196,73389,73389,4,4,4,452036709,17,3,468702,81296064,4774808,172898,44772,5867460126,4684433,120161398,10308
135908.55,23,262144,64,329039,21680000122,64,45,169,3,603,5240018,28,89035,60,68,219608,135936954,1208,1,67,48796,3394521,3,325810,603,195108,300486512,135988855,170825222,6412846133,603,2987,2,1,4,4,820,1,6385379116,6341014938,1493749680,492386505,492386505,2,1,21664285324,73389,73389,4,4,4,492370121,17,3,492540,82117630,5070882,182496,48728,6385379116,5057522,130925752,10308
140916.53,23,262144,64,355670,23435111062,64,45,173,3,603,5613126,28,96557,60,68,219608,136733310,1208,1,67,52711,3399026,3,325810,603,210768,324457800,146600124,170887012,6927929598,603,2987,2,1,4,4,820,1,6898394924,6854099826,1519063335,532259006,532275390,2,1,23419396264,73389,73389,4,4,4,532259006,17,3,509635,82925363,5337475,193004,52643,6898394924,5420122,141269516,10308
145923.85,23,262144,64,383855,25292077012,64,45,178,3,603,6003756,28,104471,60,68,219608,137264214,1208,1,67,56849,3402112,3,325810,603,227320,331878280,157410606,170915583,7472503114,603,2987,2,1,4,4,820,1,7440770860,7396929982,1585823977,574466227,574482611,2,1,25276513988,73389,73389,4,4,4,574466227,17,3,519817,83735327,5571201,202277,56781,7440770860,5801479,151847556,10308
