timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
7871.16,67,262144,64,22760,1499611184,64,41,117,3,603,7131825,53,2702,48,68,10,870909,127985460,1208,1,67,3802,1026818,3,1036241,603,15104,78746680,4976414,26149493,491500815,603,2085,2,1,4,4,1979,1,489250828,441744434,52442305,33727230,33743614,2,1,1483998120,73389,73389,4,4,4,33727230,38,1,3,97118,26420197,1359102,102020,3735,489250828,7029805,3618924,43245
13098.38,67,262144,64,26533,1748205772,64,41,117,3,603,7191929,53,3731,48,68,10,870909,127985460,1208,1,67,4358,1118397,3,1036241,603,17324,79800376,6279856,32301114,564599429,603,2085,2,1,4,4,1979,1,561995788,514428509,72913611,39377107,39393491,2,1,1732592708,73389,73389,4,4,4,39377107,38,1,3,100378,29673961,1444765,104518,4290,561995788,7087411,4837303,43245
18298.34,67,262144,64,31962,2106124332,64,41,118,3,603,7269397,53,5264,48,68,10,870909,128250912,1208,1,67,5155,1210622,3,1036241,603,20520,115584760,9552351,41409810,669555992,603,2085,2,1,4,4,1979,1,666460172,619122721,144073294,47519067,47519067,2,1,2090118052,73389,73389,4,4,4,47502683,38,1,3,108709,32851602,1582011,107615,5087,666460172,7161782,7972945,43245
23577.88,67,262144,64,36935,2433627572,64,41,119,3,603,7345576,53,6637,48,68,10,870909,128250912,1208,1,67,5885,1402976,3,1036241,603,23440,116966264,10820101,46601861,765691798,603,2085,2,1,4,4,1979,1,762142732,714783594,164015479,54969025,54969025,2,1,2417916204,73389,73389,4,4,4,54952641,38,1,3,113542,36077252,1706503,110635,5817,762142732,7234941,9115290,43245
28640.88,67,262144,64,41112,2708964156,64,41,120,3,603,7410590,53,7871,48,68,10,870909,128516364,1208,1,67,6499,1728633,3,1036241,603,25896,118130488,12600664,54939829,846558124,603,2085,2,1,4,4,1979,1,842620940,795297983,219108665,61214759,61231143,2,1,2693449396,73389,73389,4,4,4,61214759,38,1,3,120562,39649374,1815855,113046,6431,842620940,7297544,10786521,43245
34250.01,67,262144,64,45883,3023229124,64,41,121,3,603,7482791,53,9171,48,68,10,870909,128516364,1208,1,67,7201,1863847,3,1036241,603,28704,119465464,15385341,62573526,939008923,603,2085,2,1,4,4,1979,1,934633484,887240000,275184983,68369805,68369805,2,1,3007550524,73389,73389,4,4,4,68353421,38,1,3,126930,43139681,1916709,115924,7133,934633484,7366867,13470492,43245
40372.03,67,262144,64,51450,3389926200,64,41,121,3,603,7560291,53,10747,48,68,10,870909,128516364,1208,1,67,8019,1992206,3,1036241,603,31976,121019448,18533595,74593018,1046732422,603,2085,2,1,4,4,1979,1,1041850380,994472569,327000818,76702340,76702340,2,1,3374902960,73389,73389,4,4,4,76702340,38,1,3,137112,47076491,2036607,119303,7951,1041850380,7440988,16498246,43245
45540.83,67,262144,64,56355,3713238444,64,41,122,3,603,7641677,53,12137,48,68,10,870909,128769750,1208,1,67,8741,2151680,3,1036241,603,34864,122387384,20597290,81032898,1141816062,603,2085,2,1,4,4,1979,1,1136484364,1088980235,355792981,84051835,84051835,2,1,3698280740,73389,73389,4,4,4,84051835,38,1,3,140303,50066403,2117998,129651,8673,1136484364,7512026,18481510,43245
50596.39,67,262144,64,60898,4012826656,64,41,123,3,603,7713454,53,13433,48,68,10,870909,129035202,1208,1,67,9408,2273826,3,1036241,603,37532,123646584,22809159,87736974,1229663108,603,2085,2,1,4,4,1979,1,1223909388,1176525375,397108469,90852466,90868850,2,1,3997508504,73389,73389,4,4,4,90852466,38,1,3,143788,53094649,2197207,132224,9340,1223909388,7581230,20614828,43245
55632.11,67,262144,64,66672,4393089684,64,41,124,3,603,7805241,53,15060,48,68,10,870909,129035202,1208,1,67,10258,2383224,3,1036241,603,40932,125256184,26191954,96462443,1341594369,603,2085,2,1,4,4,1979,1,1335320588,1287768360,442301032,99488105,99504489,2,1,4377476620,73389,73389,4,4,4,99488105,38,1,3,156916,55931887,2394225,137437,10190,1335320588,7667804,23800573,43245
60650.18,67,262144,64,74198,4888968140,64,41,125,3,603,7926772,53,17158,48,68,10,870909,129300654,1208,1,67,11361,2444553,3,1036241,603,45348,127333240,30187214,103821509,1486951932,603,2085,2,1,4,4,1979,1,1480024076,1432678835,527881103,110771475,110771475,2,1,4873944900,73389,73389,4,4,4,110771475,38,1,3,169691,58498075,2583110,146937,11294,1480024076,7779835,27607707,43245
65661.05,67,262144,64,97321,6412586080,64,41,129,5,603,8270314,53,23647,48,68,10,870909,129831558,1208,1,67,14758,2454659,3,1036241,603,58936,150618952,41152335,106700045,1933901380,603,2085,2,1,4,4,1979,1,1925144588,1878070035,616291324,145397666,145397666,2,1,6397497304,73389,73389,4,4,4,145397666,38,1,3,198753,59430689,3058807,155650,14690,1925144588,8114664,38097714,43245
70672.39,67,262144,64,119946,7903301640,64,41,133,19,603,8615262,53,30084,48,68,10,870909,130362462,1208,1,67,18081,2462854,3,1036241,603,72236,190631968,51733018,107739299,2371220132,603,2085,2,1,4,4,1979,1,2360696844,2313790611,649131304,179272352,179288736,2,1,7887983488,73389,73389,4,4,4,179272352,38,1,3,214438,60370048,3499551,163743,18013,2360696844,8451519,48236884,43245
75681.94,67,262144,64,143938,9484401268,64,41,137,19,603,8978569,53,36828,48,68,10,870909,131158818,1208,1,67,21608,2468276,3,1036241,603,86344,214000584,62742688,108498418,2835235184,603,2085,2,1,4,4,1979,1,2822856716,2775996029,692339605,215204945,215221329,2,1,9469017580,73389,73389,4,4,4,215204945,38,1,3,239689,61275968,3910486,172254,21540,2822856716,8806315,58835386,43245
80697.00,67,262144,64,168866,11126854658,64,41,141,19,603,9346956,53,43837,48,68,10,870909,131689722,1208,1,67,25268,2474076,3,1036241,603,100992,237430840,72793400,108988943,3317061356,603,2085,2,1,4,4,1979,1,3302711308,3256111021,716084791,252530178,252546562,2,1,11111327832,73389,73389,4,4,4,252530178,38,1,3,251564,62153206,4223629,181147,25200,3302711308,9165809,68572487,43245
85705.10,67,262144,64,193318,12737576558,64,41,146,19,603,9696626,53,50755,48,68,10,870909,132486078,1208,1,67,28860,2479667,3,1036241,603,115364,261129680,84678821,109543641,3789232842,603,2085,2,1,4,4,1979,1,3772929566,3726930413,753557253,289150899,289150899,2,1,12722639556,73389,73389,4,4,4,289150899,38,1,3,278137,63003882,4603022,191031,28792,3772929566,9505595,80077960,43245
90713.92,67,262144,64,219573,14467515058,64,41,150,19,603,10089177,53,58171,48,68,10,870909,133016982,1208,1,67,32716,2485077,3,1036241,603,130784,268113872,94761008,109878178,4296561523,603,2085,2,1,4,4,1979,1,4278212126,4232668483,774872526,328454278,328470662,2,1,14451988232,73389,73389,4,4,4,328454278,38,1,3,287250,63902324,4893957,199667,32648,4278212126,9889510,89869798,43245
95722.64,67,262144,64,245573,16180741878,64,41,155,19,603,10444664,53,65470,48,68,10,870909,133547886,1208,1,67,36537,2489559,3,1036241,603,146072,274999376,104700417,110071412,4799570920,603,2085,2,1,4,4,1979,1,4779169310,4733440263,811976120,367405401,367405401,2,1,16165837644,73389,73389,4,4,4,367405401,38,1,3,316147,64695159,5199923,208611,36469,4779169310,10236053,99505267,43245
100731.08,67,262144,64,272569,17959508006,64,41,159,19,603,10804484,53,73082,48,68,10,870909,134344242,1208,1,67,40501,2493506,3,1036241,603,161932,298987152,116180071,110163253,5321293131,603,2085,2,1,4,4,1979,1,5298738718,5253380743,841105406,407820733,407837117,2,1,17944112252,73389,73389,4,4,4,407820733,38,1,3,332941,65490904,5469424,218070,40433,5298738718,10586414,110715259,43245
105738.35,67,262144,64,300140,19776222786,64,41,164,20,603,11174871,53,80875,48,68,10,870909,135140598,1208,1,67,44553,2497272,3,1036241,603,178148,339993184,127356992,110243788,5854578836,603,2085,2,1,4,4,1979,1,5829842462,5784557189,876506575,449118642,449118642,2,1,19760499352,73389,73389,4,4,4,449102258,38,1,3,353700,66303869,5786076,227774,44485,5829842462,10947097,121574650,43245
110745.64,67,262144,64,328078,21616754574,64,41,169,21,603,11576632,53,88790,48,68,10,870909,135936954,1208,1,67,48654,2500724,3,1036241,603,194556,364133072,137285163,110302720,6393727736,603,2085,2,1,4,4,1979,1,6366766892,6322495386,901051320,490938680,490955064,2,1,21601301920,73389,73389,4,4,4,490938680,38,1,3,374799,67142265,6074234,237037,48586,6366766892,11339595,131215960,43245
115752.92,67,262144,64,357945,23584748432,64,41,174,21,603,11979505,53,97187,48,68,10,870909,136733310,1208,1,67,53040,2503623,3,1036241,603,212104,388952648,147811714,110317016,6970924967,603,2085,2,1,4,4,1979,1,6941648684,6897742811,922425846,535670752,535687136,2,1,23569513088,73389,73389,4,4,4,535670752,38,1,3,393149,67961410,6342133,245268,52972,6941648684,11734237,141474922,43245
120758.25,67,262144,64,390776,25748040736,64,41,179,21,603,12377094,53,106459,48,68,10,870909,137529666,1208,1,67,57866,2504441,3,1036241,603,231420,448767728,156640280,110321669,7606125750,603,2085,2,1,4,4,1979,1,7574202156,7530188062,940263725,584842444,584842444,2,1,25732346640,73389,73389,4,4,4,584826060,38,1,3,400135,68738569,6511811,252206,57798,7574202156,12124888,150133787,43245
