timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
6804.53,53,262144,64,21850,1439707972,62,45,116,4,603,10793896,20,2399,50,67,8,1107309,127985460,1208,1,66,3666,1469698,4,1256020,603,14566,95569576,4679142,25215080,473785887,603,1958,2,1,4,4,842,1,471597268,424211424,60700214,32369517,32385901,2,1,1424258748,73389,73389,4,4,4,32369517,20,3,193482,39564202,1435596,257272,3600,471597268,10536624,3245720,10722
12355.61,53,262144,64,26905,1772585164,62,45,117,4,603,10873592,20,3817,50,67,8,1107309,127985460,1208,1,66,4410,1761390,4,1256020,603,17542,96984232,6604604,33426014,571716427,603,1958,2,1,4,4,842,1,569073676,521574147,85695255,39934163,39950547,2,1,1757103172,73389,73389,4,4,4,39934163,20,3,210494,43393014,1566078,260181,4344,569073676,10613411,5040634,10722
18533.77,53,262144,64,32467,2139220012,62,45,118,4,603,10961062,20,5402,50,67,8,1107309,128250912,1208,1,66,5227,1902655,4,1256020,603,20810,98535464,8906213,41983354,679312403,603,1958,2,1,4,4,842,1,676159500,628795769,118284996,48272731,48272731,2,1,2123279268,73389,73389,4,4,4,48256347,20,3,220476,46931171,1729795,263513,5161,676159500,10697549,7179100,10722
23721.47,53,262144,64,37040,2440508852,62,45,119,4,603,11033150,20,6659,50,67,8,1107309,128250912,1208,1,66,5899,2199901,4,1256020,603,23498,99816104,12179658,52127296,767810405,603,1958,2,1,4,4,842,1,764239884,716760413,165142936,55116481,55132865,2,1,2425125164,73389,73389,4,4,4,55116481,20,3,229885,50274040,1876925,271801,5833,764239884,10761349,10305462,10722
29038.38,53,262144,64,42163,2778107944,62,45,120,4,603,11104711,20,8156,50,67,8,1107309,128516364,1208,1,66,6654,2301085,4,1256020,603,26518,101246440,14287599,59238702,867235713,603,1958,2,1,4,4,842,1,863199244,815545306,222653127,62793656,62793656,2,1,2762920864,73389,73389,4,4,4,62793656,20,3,245539,53738280,2000213,274624,6588,863199244,10830087,12290134,10722
34310.90,53,262144,64,46455,3060715716,62,45,121,4,603,11168928,20,9385,50,67,8,1107309,128516364,1208,1,66,7284,2507119,4,1256020,603,29038,102447208,16124734,65538115,950211108,603,1958,2,1,4,4,842,1,945774604,898204800,262250464,69221773,69221773,2,1,3045758012,73389,73389,4,4,4,69221773,20,3,255026,56890261,2095110,277107,7218,945774604,10891821,14032290,10722
39757.99,53,262144,64,51623,3401263928,62,45,121,4,603,11245401,20,10793,50,67,8,1107309,128516364,1208,1,66,8042,2706053,4,1256020,603,32074,103887016,18793604,73755825,1050167402,603,1958,2,1,4,4,842,1,1045258252,997791436,305948245,76948100,76964484,2,1,3385716400,73389,73389,4,4,4,76948100,20,3,265905,60520578,2195420,285477,7977,1045258252,10959924,16601433,10722
45222.90,53,262144,64,56646,3732321486,62,45,122,4,603,11321561,20,12194,50,67,8,1107309,128769750,1208,1,66,8781,2804579,4,1256020,603,35030,105293864,21844610,83474349,1147487890,603,1958,2,1,4,4,842,1,1142120460,1094490743,418149987,84477819,84494203,2,1,3717024036,73389,73389,4,4,4,84477819,20,3,287615,63992798,2360397,289576,8716,1142120460,11031985,19487398,10722
50266.82,53,262144,64,62004,4085574924,62,45,123,4,603,11404313,20,13733,50,67,8,1107309,129035202,1208,1,66,9567,2903747,4,1256020,603,38170,106784296,24357353,90782433,1250864546,603,1958,2,1,4,4,842,1,1245011980,1197840986,445975487,92513283,92513283,2,1,4070584452,73389,73389,4,4,4,92513283,20,3,294873,67006948,2504750,292594,9501,1245011980,11111719,21855467,10722
55287.44,53,262144,64,68401,4506932332,62,45,124,4,603,11506346,20,15523,50,67,8,1107309,129035202,1208,1,66,10509,2985915,4,1256020,603,41938,108562024,26829573,96579733,1374901446,603,1958,2,1,4,4,842,1,1368481804,1321022062,478506655,102088843,102088843,2,1,4491188196,73389,73389,4,4,4,102072459,20,3,304410,69657691,2631021,297616,10443,1368481804,11208730,24200536,10722
