timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5277.90,32,262144,64,22384,1474704196,112,0,603,5621351,20,2600,55,68,3,432604,127985460,1208,1,67,3749,1408102,3,586814,603,14894,95716696,5327595,31794550,484431078,603,1771,2,1,4,4,624,1,482172940,434434926,51601775,33164141,33180525,2,1,1459222204,73389,73389,4,4,4,33164141,20,3,184498,28086316,1856620,25255,3681,482172940,5596096,3470662,9873
10432.55,32,262144,64,26130,1721529312,112,0,603,5683998,20,3616,55,68,3,432604,127985460,1208,1,67,4296,1610724,3,586814,603,17082,96754712,6856369,37924298,556482538,603,1771,2,1,4,4,624,1,553869324,506644300,74134880,38781250,38781250,2,1,1706375000,73389,73389,4,4,4,38781250,20,3,202277,31479183,1976506,27441,4228,553869324,5656557,4880355,9873
15481.38,32,262144,64,30007,1977205096,113,0,603,5743427,20,4733,55,68,3,432604,128250912,1208,1,67,4866,1808588,3,586814,603,19370,115028528,7967957,43043914,631687562,603,1771,2,1,4,4,624,1,628711436,581350923,103674224,44584616,44601000,2,1,1961723104,73389,73389,4,4,4,44584616,20,3,210874,35053604,2049300,29626,4799,628711436,5713801,5919159,9873
20567.79,32,262144,64,34856,2296581872,114,0,603,5823760,20,6110,55,68,3,432604,128250912,1208,1,67,5580,1904193,3,586814,603,22218,116379312,10306770,51232882,725455511,603,1771,2,1,4,4,624,1,722034700,674757807,167770310,51837966,51854350,2,1,2280870504,73389,73389,4,4,4,51837966,20,3,219333,38286003,2164140,32373,5512,722034700,5791387,8142806,9873
25660.51,32,262144,64,38817,2557497228,114,0,603,5886325,20,7190,55,68,3,432604,128250912,1208,1,67,6163,2183150,3,586814,603,24554,117488816,12275451,58263630,802371822,603,1771,2,1,4,4,624,1,798580748,751033033,210850623,57782755,57782755,2,1,2541720324,73389,73389,4,4,4,57766371,20,3,226313,41332323,2246138,34592,6095,798580748,5851733,10029746,9873
31136.75,32,262144,64,43525,2867898880,115,0,603,5962175,20,8528,55,68,3,432604,128516364,1208,1,67,6855,2386373,3,586814,603,27322,118808176,15201631,66228567,893505736,603,1771,2,1,4,4,624,1,889282572,841794560,266236778,64820954,64837338,2,1,2852121976,73389,73389,4,4,4,64820954,20,3,231705,44738660,2355553,37262,6788,889282572,5924913,12846850,9873
36215.26,32,262144,64,48168,3173775240,116,0,603,6037345,20,9851,55,68,3,432604,128516364,1208,1,67,7537,2700641,3,586814,603,30054,120108720,18314810,75516523,983455743,603,1771,2,1,4,4,624,1,978804748,931250667,330471164,71779392,71795776,2,1,3158293248,73389,73389,4,4,4,71779392,20,3,243366,48009885,2479283,40012,7470,978804748,5997333,15836239,9873
43271.84,32,262144,64,54128,3566493416,117,0,603,6132539,20,11503,55,68,3,432604,128769750,1208,1,67,8412,2988139,3,586814,603,33554,121766384,20726671,85514460,1098690755,603,1771,2,1,4,4,624,1,1093492748,1046038549,469516611,80707784,80724168,2,1,3551142496,73389,73389,4,4,4,80707784,20,3,252605,52317342,2633439,43509,8345,1093492748,6089030,18094354,9873
48517.27,32,262144,64,58913,3881941340,118,0,603,6205198,20,12892,55,68,3,432604,129035202,1208,1,67,9114,3118319,3,586814,603,36362,123097904,22886475,93488442,1191141249,603,1771,2,1,4,4,624,1,1185505292,1138291803,497917100,87885247,87885247,2,1,3866950868,73389,73389,4,4,4,87885247,20,3,258655,55761730,2721903,46157,9047,1185505292,6159041,20165554,9873
53583.47,32,262144,64,63872,4208527076,119,0,603,6278958,20,14300,55,68,3,432604,129035202,1208,1,67,9846,3267764,3,586814,603,39282,124478064,25551969,101119480,1287275977,603,1771,2,1,4,4,624,1,1281187852,1233804175,535319531,95302437,95318821,2,1,4193307228,73389,73389,4,4,4,95302437,20,3,261833,58774673,2809940,48915,9778,1281187852,6230043,22742793,9873
