timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.87,8192,2,65608,4322780212,2,32,54,27,557378,4,17731,5,7455504,56,1,4,9662,353,2,18,27,8872858,215,1270505593,27,2,2,1,2,2,282,1,1265672604,1263802504,10641931,98222663,98239047,2,1,4321797172,73389,73389,2,2,2,98222663,4,3,18920,1005315,165391,10916,9658,1265672604,546462,8707394,182
10011.99,8192,2,125187,8248585716,2,32,54,27,1048338,4,34033,5,7455504,56,1,4,18418,598,2,18,27,16429887,366,2422530444,27,2,2,1,2,2,282,1,2413339036,2411399520,19728207,187457431,187457431,2,1,8247406068,73389,73389,2,2,2,187441047,4,3,20508,1899727,280576,20506,18414,2413339036,1027832,16149120,182
15019.99,8192,2,166239,10953834900,2,32,54,27,1407939,4,45225,5,7455504,56,1,4,24448,11888,2,18,27,25565506,550964,3215867833,27,2,2,1,2,2,282,1,3203703196,3202152806,31091193,248940367,248940367,2,1,10952655252,73389,73389,2,2,2,248923983,4,3,21323,2962689,383198,28398,24444,3203703196,1379541,25182296,182
20038.00,8192,2,175456,11561065636,2,32,54,27,1531482,4,47743,5,7455504,56,1,4,25805,133962,2,18,27,29103700,4642463,3394503496,27,2,2,1,2,2,282,1,3381567900,3379646269,41666223,262742555,262742555,2,1,11559951524,73389,73389,2,2,2,262726171,4,3,25116,5532767,506856,34249,25801,3381567900,1497233,28596293,182
25048.24,8192,2,182689,12037742044,2,32,54,27,1644287,4,49717,5,7455504,56,1,4,26868,281253,2,18,27,31647566,10062166,3534459008,27,2,2,1,2,2,282,1,3520897436,3518960490,51921253,273567173,273583557,2,1,12036955612,73389,73389,2,2,2,273567173,4,3,33508,8669345,606096,51312,26864,3520897436,1592975,31041295,182
30060.59,8192,2,192210,12665161176,2,32,54,27,1770049,4,52312,5,7455504,56,1,4,28268,407612,2,18,27,34371001,14427278,3718748535,27,2,2,1,2,2,282,1,3704398236,3702423407,61421450,287834146,287834146,2,1,12663981528,73389,73389,2,2,2,287817762,4,3,35940,11424187,708988,57576,28264,3704398236,1712473,33662047,182
35065.48,8192,2,241941,15942117276,2,32,55,27,2204401,4,65876,5,7720956,56,1,4,35573,421332,2,18,27,43047626,15314835,4679893691,27,2,2,1,2,2,282,1,4661879196,4660340275,72752842,362302229,362318613,2,1,15941298076,73389,73389,2,2,2,362302229,4,3,44262,12673540,852611,68026,35569,4661879196,2136375,42194415,182
40074.37,8192,2,297209,19583804372,2,32,55,27,2697374,4,81004,5,7720956,56,1,4,43698,429916,2,18,27,50352249,15820923,5748931850,27,2,2,1,2,2,282,1,5726839196,5724961942,82074879,445061887,445078271,2,1,19582723028,73389,73389,2,2,2,445061887,4,3,44275,13931586,977161,78876,43694,5726839196,2618498,49374252,182
45082.99,8192,2,314184,20702383368,2,32,55,27,2916253,4,85633,5,7720956,56,1,4,46190,493505,2,18,27,56805936,18936898,6076878941,27,2,2,1,2,2,282,1,6053470620,6051967032,93368761,470481158,470497542,2,1,20701170952,73389,73389,2,2,2,470481158,4,3,46065,16229638,1130117,88381,46186,6053470620,2827872,55676144,182
50094.79,8192,2,334579,22046422744,2,32,55,27,3177244,4,91195,5,7720956,56,1,4,49188,537208,2,18,27,59933196,21115836,6471394925,27,2,2,1,2,2,282,1,6446424476,6444841030,99638681,501026018,501042402,2,1,22045144792,73389,73389,2,2,2,501026018,4,3,46770,18192326,1310607,100022,49184,6446424476,3077222,58622321,182
55100.12,8192,2,381868,25162278124,2,32,55,27,3546084,4,104095,5,7720956,56,1,4,56136,538684,2,18,27,64262760,21201065,7385480909,27,2,2,1,2,2,282,1,7357112732,7355675959,105101172,571857297,571873681,2,1,25161721068,73389,73389,2,2,2,571857297,4,3,47790,18919923,1388135,108190,56132,7357112732,3437894,62874416,182
