timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.99,8192,2,19031,1253586464,2,6,54,27,224233,3,5029,5,7455504,56,1,4,2816,76896,2,7367,27,5468979,3268008,369696607,27,47,2,1,2,2,599,1,368222620,366537979,10256022,28472728,28489112,2,1,1252800032,73389,73389,2,2,2,28472728,11,3,12893,2443048,229104,11268,2812,368222620,212965,5239614,298
10021.30,8192,2,72398,4770158720,2,6,54,27,655631,3,19636,5,7455504,56,1,4,10660,77191,2,7367,27,11820959,3268286,1401814594,27,47,2,1,2,2,599,1,1396482460,1394598997,17934647,108402272,108402272,2,1,4768979072,73389,73389,2,2,2,108385888,11,3,17427,3238468,340007,19802,10656,1396482460,635829,11480361,298
15026.29,8192,2,118300,7794850216,2,6,54,27,1031390,3,32155,5,7455504,56,1,4,17405,77540,2,7367,27,19588200,3268498,2289184353,27,47,2,1,2,2,599,1,2280563100,2278763039,27215248,177146750,177146750,2,1,7793736104,73389,73389,2,2,2,177130366,11,3,26541,3931220,439351,26830,17401,2280563100,1004560,19148293,298
20037.56,8192,2,145559,9591117764,2,6,54,27,1325703,3,39591,5,7455504,56,1,4,21411,120897,2,7367,27,28724802,5706761,2816438098,27,47,2,1,2,2,599,1,2805768604,2803812178,41218884,217969523,217969523,2,1,9590659012,73389,73389,2,2,2,217969523,11,3,34355,5981919,617941,35963,21408,2805768604,1289740,28105759,298
25049.21,8192,2,171814,11321056264,2,6,54,27,1608840,3,46750,5,7455504,56,1,4,25270,167751,2,7367,27,34714371,8054485,3324056790,27,47,2,1,2,2,599,1,3311444380,3309534609,50934204,257272902,257289286,2,1,11320007688,73389,73389,2,2,2,257272902,11,3,35446,7996639,739844,50176,25266,3311444380,1558664,33972653,298
30065.03,8192,2,188249,12403980368,2,6,54,27,1806819,3,51232,5,7455504,56,1,4,27686,214046,2,7367,27,39760846,11387976,3642005440,27,47,2,1,2,2,599,1,3628114332,3626089845,60969092,281883324,281899708,2,1,12402866256,73389,73389,2,2,2,281883324,11,3,38098,10399308,913420,60151,27682,3628114332,1746668,38845085,298
35070.59,8192,2,248192,16353906428,2,6,55,27,2303646,3,67582,5,7720956,56,1,4,36491,214767,2,7367,27,49376645,11641081,4800473745,27,47,2,1,2,2,599,1,4782203292,4780754889,72901578,371656605,371672989,2,1,16352890620,73389,73389,2,2,2,371656605,11,3,47170,11391875,1047465,70442,36487,4782203292,2233204,48327048,298
40082.14,8192,2,303764,20015781920,2,6,55,27,2774667,3,82792,5,7720956,56,1,4,44659,221221,2,7367,27,56956453,12100111,5875145325,27,47,2,1,2,2,599,1,5852799388,5851216704,82414974,454881048,454897432,2,1,20014766112,73389,73389,2,2,2,454881048,11,3,47288,12640633,1170899,81342,44655,5852799388,2693325,55782316,298
45087.40,8192,2,322676,21262100504,2,6,55,27,3017803,3,87939,5,7720956,56,1,4,47438,252905,2,7367,27,61423293,14708865,6240846277,27,47,2,1,2,2,599,1,6217048476,6215567836,90547307,483202002,483218386,2,1,21260888088,73389,73389,2,2,2,483202002,11,3,47298,14927695,1342510,93467,47434,6217048476,2924336,60075711,298
50092.07,8192,2,367073,24187363964,2,6,55,27,3307853,3,100057,5,7720956,56,1,4,53962,253094,2,7367,27,65871531,14708951,7099140557,27,47,2,1,2,2,599,1,7072162204,7070676992,95920925,549683773,549700157,2,1,24186086012,73389,73389,2,2,2,549683773,11,3,47574,15520233,1407301,100079,53958,7072162204,3207774,64459389,298
