timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.19,8192,2,41584,2739848884,2,6,54,27,358060,8,11179,5,7455504,56,1,4,6131,34560,2,3650,27,8032721,902859,805745668,27,41,2,1,2,2,1008,1,802726300,801072581,10406478,62246951,62263335,2,1,2738865844,73389,73389,2,2,2,62246951,17,3,11501,1283424,208352,9674,6127,802726300,348386,7824959,285
10015.15,8192,2,91480,6027618424,2,6,54,27,740790,8,24787,5,7455504,56,1,4,13462,34720,2,3650,27,17041988,903179,1770352736,27,41,2,1,2,2,1008,1,1763746204,1762156879,20868943,136968986,136985370,2,1,6026635384,73389,73389,2,2,2,136968986,17,3,13872,1977370,310603,17513,13458,1763746204,723277,16731944,285
15024.10,8192,2,140916,9284975952,2,6,54,27,1140228,8,38325,5,7455504,56,1,4,20728,37339,2,3650,27,25873234,1116410,2726295583,27,41,2,1,2,2,1008,1,2716115356,2714330005,31301534,211013244,211013244,2,1,9284582736,73389,73389,2,2,2,211013244,17,3,15397,2835924,416150,25857,20724,2716115356,1114371,25457607,285
20037.39,8192,2,157830,10399557252,2,6,54,27,1366763,8,42927,5,7455504,56,1,4,23213,111860,2,3650,27,31149569,4326246,3053299303,27,41,2,1,2,2,1008,1,3041829276,3040118995,41628375,236334211,236350595,2,1,10398705284,73389,73389,2,2,2,236334211,17,3,16669,5235014,614010,39727,23209,3041829276,1327036,30534453,285
25057.35,8192,2,166851,10993942932,2,6,54,27,1498906,8,45397,5,7455504,56,1,4,24539,325298,2,3650,27,34056382,8677893,3227840681,27,41,2,1,2,2,1008,1,3215630748,3213885831,51515188,249841487,249857871,2,1,10993025428,73389,73389,2,2,2,249841487,17,3,19833,8057834,736010,48352,24535,3215630748,1450554,33319285,285
30078.46,8192,2,173680,11444142796,2,6,54,27,1597410,8,47238,5,7455504,56,1,4,25544,505257,2,3650,27,36366297,13980843,3360277407,27,41,2,1,2,2,1008,1,3347489180,3345447126,61415478,260076281,260092665,2,1,11443356364,73389,73389,2,2,2,260076281,17,3,22758,10980063,813137,53694,25541,3347489180,1543716,35552540,285
35095.23,8192,2,180582,11898861336,2,6,54,27,1691974,8,49133,5,7455504,56,1,4,26557,713776,2,3650,27,38875915,20063118,3493638803,27,41,2,1,2,2,1008,1,3480265116,3478410200,72005818,270403346,270419730,2,1,11897747224,73389,73389,2,2,2,270403346,17,3,25046,14280549,899474,59213,26554,3480265116,1632761,37975745,285
40112.01,8192,2,187512,12355414884,2,6,54,27,1786451,8,51027,5,7455504,56,1,4,27575,971074,2,3650,27,41255754,25517674,3627527855,27,41,2,1,2,2,1008,1,3613565340,3611862710,81997968,280795947,280795947,2,1,12355021668,73389,73389,2,2,2,280795947,17,3,26559,17255519,974300,63776,27571,3613565340,1722675,40280697,285
45121.72,8192,2,195714,12895861128,2,6,54,27,1897485,8,53269,5,7455504,56,1,4,28781,1075906,2,3650,27,44153141,30288524,3786284195,27,41,2,1,2,2,1008,1,3771638172,3769836946,92314898,293068390,293084774,2,1,12895009160,73389,73389,2,2,2,293068390,17,3,28258,20130712,1072629,69768,28778,3771638172,1827717,43080176,285
50134.88,8192,2,205510,13541568112,2,6,55,27,2028706,8,55996,5,7720956,56,1,4,30220,1193009,2,3650,27,47564801,34669140,3975560681,27,41,2,1,2,2,1008,1,3960250780,3958603629,102617434,307742804,307759188,2,1,13540683376,73389,73389,2,2,2,307742804,17,3,29542,22866042,1186957,76888,30216,3960250780,1951818,46377807,285
55139.72,8192,2,242590,15984915592,2,6,55,27,2371271,8,66106,5,7720956,56,1,4,35669,1219046,2,3650,27,54975980,35471145,4692589608,27,41,2,1,2,2,1008,1,4674462108,4672892875,112453716,363274918,363291302,2,1,15984096392,73389,73389,2,2,2,363274918,17,3,36367,23982809,1297783,84583,35665,4674462108,2286688,53677173,285
60143.81,8192,2,284963,18777003284,2,6,55,27,2750066,8,77665,5,7720956,56,1,4,41894,1219521,2,3650,27,61234533,35471460,5511532512,27,41,2,1,2,2,1008,1,5490385308,5489072749,120104397,426729967,426746351,2,1,18776118548,73389,73389,2,2,2,426729967,17,3,37432,24674889,1381151,91340,41890,5490385308,2658726,59852546,285
65163.56,8192,2,320099,21092152424,2,6,55,27,3057938,8,87243,5,7720956,56,1,4,47059,1238282,2,3650,27,65265102,35935431,6191171416,27,41,2,1,2,2,1008,1,6167503260,6165878483,125481653,479344014,479360398,2,1,21091136616,73389,73389,2,2,2,479344014,17,3,37432,25592026,1466332,97996,47056,6167503260,2959942,63797703,285
70178.97,8192,2,336242,22155940016,2,6,55,27,3257549,8,91651,5,7720956,56,1,4,49433,1307423,2,3650,27,75956465,39442065,6503581150,27,41,2,1,2,2,1008,1,6478668188,6476829810,143071674,503528452,503544836,2,1,22155251888,73389,73389,2,2,2,503528452,17,3,38947,28018905,1627579,107805,49430,6478668188,3149744,74327842,285
75183.47,8192,2,376318,24796695160,2,6,55,27,3622706,8,102580,5,7720956,56,1,4,55322,1313285,2,3650,27,84783993,39969813,7278082107,27,41,2,1,2,2,1008,1,7250289052,7248742996,154116777,563541146,563557530,2,1,24795810424,73389,73389,2,2,2,563541146,17,3,44572,28944678,1751159,115948,55318,7250289052,3506758,83032141,285
