timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5023.80,8192,2,16765,1104285532,2,5,54,27,211154,8,4465,5,7455504,56,1,4,2481,88301,2,12497,27,2244807,2838346,325893469,27,52,2,1,2,2,709,1,324575644,322882346,5562974,25079525,25095909,2,1,1103499100,73389,73389,2,2,2,25079525,14,1,3,22999,2533317,225289,9014,2478,324575644,202140,2018599,345
10028.22,8192,2,60082,3958770112,2,5,54,27,562349,8,16249,5,7455504,56,1,4,8849,93561,2,12497,27,13543683,3614243,1163586379,27,52,2,1,2,2,709,1,1159111068,1157332667,20427759,89955664,89972048,2,1,3958049216,73389,73389,2,2,2,89955664,14,1,3,40149,3354730,365668,16419,8845,1159111068,545930,13177716,345
15038.01,8192,2,101173,6666309748,2,5,54,27,912146,8,27484,5,7455504,56,1,4,14888,128901,2,12497,27,21174904,4280173,1958143184,27,52,2,1,2,2,709,1,1950654876,1948892544,29992900,151481719,151498103,2,1,6665195636,73389,73389,2,2,2,151481719,14,1,3,44958,4490299,467768,24899,14884,1950654876,887247,20706769,345
20052.33,8192,2,116211,7657149156,2,5,54,27,1098219,8,31585,5,7455504,56,1,4,17097,198177,2,12497,27,26276575,7964422,2248869994,27,52,2,1,2,2,709,1,2240192924,2238523428,40803473,174015691,174015691,2,1,7656690404,73389,73389,2,2,2,174015691,14,1,3,47882,6983253,625294,32740,17093,2240192924,1065479,25650198,345
25057.32,8192,2,160100,10549120328,2,5,54,27,1465672,8,43537,5,7455504,56,1,4,23547,214364,2,12497,27,34885989,8516957,3097510635,27,52,2,1,2,2,709,1,3085607324,3083853276,51547254,239727414,239743798,2,1,10548006216,73389,73389,2,2,2,239727414,14,1,3,59874,7970929,755109,46364,23543,3085607324,1419308,34130115,345
30062.37,8192,2,208497,13738385952,2,5,55,27,1846873,8,56755,5,7720956,56,1,4,30659,215698,2,12497,27,44007500,8517130,4033266264,27,52,2,1,2,2,709,1,4017791388,4016189922,62311703,312223384,312223384,2,1,13737828896,73389,73389,2,2,2,312223384,14,1,3,67733,8734822,860270,55894,30655,4017791388,1790979,43146086,345
35075.95,8192,2,247491,16307700240,2,5,55,27,2180260,8,67446,5,7720956,56,1,4,36391,226464,2,12497,27,51593415,9361352,4787483634,27,52,2,1,2,2,709,1,4769096092,4767252282,71948646,370618380,370618380,2,1,16307208720,73389,73389,2,2,2,370618380,14,1,3,71737,9988704,989894,65540,36387,4769096092,2114720,50602950,345
40096.85,8192,2,256865,16925485580,2,5,55,27,2302775,8,70001,5,7720956,56,1,4,37767,357008,2,12497,27,54904335,14045123,4968617409,27,52,2,1,2,2,709,1,4949451164,4947854240,82676194,384655977,384672361,2,1,16924862988,73389,73389,2,2,2,384655977,14,1,3,76733,12749114,1120327,70517,37763,4949451164,2232258,53783302,345
45114.67,8192,2,266600,17566929416,2,5,55,27,2431656,8,72657,5,7720956,56,1,4,39197,509961,2,12497,27,57820597,18576953,5156855649,27,52,2,1,2,2,709,1,5136884124,5135377300,92428866,399234246,399234246,2,1,17566306824,73389,73389,2,2,2,399234246,14,1,3,82152,15671305,1249776,76394,39193,5136884124,2355262,56570498,345
50119.44,8192,2,304119,20039312652,2,5,55,27,2764907,8,82836,5,7720956,56,1,4,44711,541357,2,12497,27,65636275,20221366,5882388570,27,52,2,1,2,2,709,1,5859615132,5858085967,103592545,455427753,455427753,2,1,20038821132,73389,73389,2,2,2,455427753,14,1,3,92519,17179614,1383097,84831,44707,5859615132,2680076,64252777,345
55124.76,8192,2,358302,23609627736,2,5,55,27,3229767,8,97612,5,7720956,56,1,4,52674,542135,2,12497,27,74655378,20221512,6930130486,27,52,2,1,2,2,709,1,6903341468,6901768730,114170905,536559362,536575746,2,1,23608611928,73389,73389,2,2,2,536559362,14,1,3,96591,18050459,1499060,94320,52670,6903341468,3135447,73155803,345
