timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.39,8192,2,18965,1249261088,2,25,54,27,211437,4,5065,5,7455504,56,1,4,2806,79980,2,18,27,4099125,2966667,368522212,27,3,2,1,2,2,294,1,367042972,365262179,8278607,28374424,28390808,2,1,1248474656,73389,73389,2,2,2,28374424,4,3,22975,2395136,197654,7635,2802,367042972,203802,3902302,63
10019.62,8192,2,51146,3369954992,2,25,54,27,498022,4,13800,5,7455504,56,1,4,7536,124939,2,18,27,12476102,4758477,990916069,27,3,2,1,2,2,294,1,987013532,985282532,20475821,76579460,76579460,2,1,3368775344,73389,73389,2,2,2,76563076,4,3,33908,3863523,350839,16467,7532,987013532,481555,12125579,63
15024.68,8192,2,98006,6457695428,2,25,54,27,885111,4,26566,5,7455504,56,1,4,14423,126158,2,18,27,21539276,4758988,1897084588,27,3,2,1,2,2,294,1,1889706396,1887899891,31131753,146755379,146755379,2,1,6457236676,73389,73389,2,2,2,146755379,4,3,37499,4624158,478831,26435,14419,1889706396,858676,21060655,63
20028.73,8192,2,144920,9548974808,2,25,54,27,1275257,4,39363,5,7455504,56,1,4,21318,127827,2,18,27,30518283,4759352,2804201439,27,3,2,1,2,2,294,1,2793316764,2791488748,41627860,217013218,217013218,2,1,9548581592,73389,73389,2,2,2,217013218,4,3,40994,5402293,591713,36520,21314,2793316764,1238737,29927336,63
25043.06,8192,2,159204,10490134620,2,25,54,27,1440734,4,43306,5,7455504,56,1,4,23417,218487,2,18,27,34516160,8622031,3080587416,27,3,2,1,2,2,294,1,3068567964,3066588150,51453590,238394277,238410661,2,1,10489348188,73389,73389,2,2,2,238394277,4,3,42355,7999296,698963,43313,23413,3068567964,1397421,33817975,63
30051.15,8192,2,167878,11061779308,2,25,54,27,1559918,4,45676,5,7455504,56,1,4,24691,380469,2,18,27,37318755,13677834,3248300691,27,3,2,1,2,2,294,1,3235553692,3233728769,61340105,251393649,251393649,2,1,11060599660,73389,73389,2,2,2,251377265,4,3,46161,10767525,788298,57897,24687,3235553692,1502021,36530792,63
35055.78,8192,2,192159,12661625784,2,25,54,27,1787984,4,52246,5,7455504,56,1,4,28259,453177,2,18,27,43110992,16649852,3717796738,27,3,2,1,2,2,294,1,3703218588,3701363197,72319205,287746193,287768610,2,1,12660832492,73389,73389,2,2,2,287746193,4,3,54717,12816603,905952,65303,28255,3703218588,1722681,42204736,63
40060.44,8192,2,243345,16034660724,2,25,55,27,2217736,4,66259,5,7720956,56,1,4,35779,454017,2,18,27,52274543,16650141,4707194744,27,3,2,1,2,2,294,1,4688880028,4687460860,82858491,364411447,364411447,2,1,16034103668,73389,73389,2,2,2,364411447,4,3,61031,13630423,1009161,74067,35775,4688880028,2143669,51265382,63
45064.28,8192,2,292767,19291100748,2,25,55,27,2644062,4,79792,5,7720956,56,1,4,43044,454634,2,18,27,61124489,16650486,5663049721,27,3,2,1,2,2,294,1,5641118108,5639384005,93042905,438422937,438422937,2,1,19289888332,73389,73389,2,2,2,438406553,4,3,66813,14423615,1112221,82686,43040,5641118108,2561376,60011724,63
50068.86,8192,2,343707,22647820776,2,25,55,27,3079812,4,93685,5,7720956,56,1,4,50530,455329,2,18,27,66888393,16650657,6647924956,27,3,2,1,2,2,294,1,6622323100,6620645556,100177294,514697134,514713518,2,1,22646673896,73389,73389,2,2,2,514697134,4,3,68778,15237414,1212970,90746,50526,6622323100,2989066,65674783,63
55074.28,8192,2,397089,26165376072,2,25,55,27,3530373,4,108190,5,7720956,56,1,4,58373,455550,2,18,27,79529965,16651058,7679832346,27,3,2,1,2,2,294,1,7650320796,7648860547,114489119,594643062,594659446,2,1,26164294728,73389,73389,2,2,2,594643062,4,3,76025,16072452,1329927,99328,58369,7650320796,3431045,78199207,63
