timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.69,8192,2,59302,3907386580,53,27,533356,1,16012,5,7455504,56,1,4,8736,271,2,18,27,8990794,312,1148681213,27,7,2,1,2,2,256,1,1144299932,1142342881,10622278,88786367,88802751,2,1,3906600148,73389,73389,2,2,2,88786367,4,3,24505,937374,159653,10406,8732,1144299932,522950,8831807,66
10011.72,8192,2,103855,6843139108,53,27,894467,1,28216,5,7455504,56,1,4,15283,582,2,18,27,13758417,477,2010058680,27,7,2,1,2,2,256,1,2002428316,2000577353,16462965,155503547,155519931,2,1,6842156068,73389,73389,2,2,2,155503547,4,3,25153,1608764,240602,17238,15279,2002428316,877229,13518416,66
15016.16,8192,2,146429,9648399536,53,27,1289284,1,39826,5,7455504,56,1,4,21539,796,2,18,27,18128196,762,2833144264,27,7,2,1,2,2,256,1,2822414748,2820584238,21933635,219269892,219269892,2,1,9647154352,73389,73389,2,2,2,219253508,4,3,25153,2298334,314833,23810,21535,2822414748,1265474,17813283,66
20021.65,8192,2,189316,12474438184,53,27,1665363,1,51523,5,7455504,56,1,4,27840,952,2,18,27,22529295,912,3662149468,27,7,2,1,2,2,256,1,3648299420,3646650097,27377945,283501022,283501022,2,1,12473324072,73389,73389,2,2,2,283484638,4,3,25153,2949494,381634,30336,27836,3648299420,1635027,22147713,66
25030.20,8192,2,226286,14910576704,54,27,1991497,1,61661,5,7720956,56,1,4,33273,10708,2,18,27,39022117,692805,4376975917,27,7,2,1,2,2,256,1,4360413596,4358844470,48692072,338861104,338877488,2,1,14909888576,73389,73389,2,2,2,338861104,4,3,26736,4163324,551205,38191,33269,4360413596,1953306,38471201,66
30047.73,8192,2,240342,15836794308,54,27,2183036,1,65496,5,7720956,56,1,4,35340,80668,2,18,27,46410604,4409603,4649023573,27,7,2,1,2,2,256,1,4631339420,4629603070,61801067,359914483,359914483,2,1,15836237252,73389,73389,2,2,2,359914483,4,3,29149,6774646,708670,50873,35336,4631339420,2132163,45703163,66
35059.52,8192,2,255980,16867220768,54,27,2388626,1,69758,5,7720956,56,1,4,37637,134110,2,18,27,51482761,8037198,4951334477,27,7,2,1,2,2,256,1,4932411804,4930792479,72455088,383322840,383339224,2,1,16866204960,73389,73389,2,2,2,383322840,4,3,30412,9181263,866475,61868,37633,4932411804,2326758,50617755,66
40068.56,8192,2,297361,19594031296,54,27,2724823,1,81046,5,7720956,56,1,4,43718,143976,2,18,27,57652160,8575248,5751410525,27,7,2,1,2,2,256,1,5729460636,5727923750,80440010,445297296,445313680,2,1,19593081024,73389,73389,2,2,2,445297296,4,3,37159,10112961,951510,69323,43714,5729460636,2655500,56702668,66
45081.05,8192,2,312712,20605383472,54,27,2918365,1,85231,5,7720956,56,1,4,45975,222825,2,18,27,59677741,11370336,6048455011,27,7,2,1,2,2,256,1,6025290140,6023614367,85706282,468290020,468290020,2,1,20604760880,73389,73389,2,2,2,468290020,4,3,37159,12678599,1072038,77335,45971,6025290140,2841030,58608445,66
50097.73,8192,2,323590,21322265860,54,27,3062732,1,88200,5,7720956,56,1,4,47571,332888,2,18,27,68422045,16314653,6258539944,27,7,2,1,2,2,256,1,6234481052,6233141470,103599234,484584291,484584291,2,1,21321708804,73389,73389,2,2,2,484584291,4,3,40604,15560086,1209803,84313,47567,6234481052,2978419,67214873,66
55112.99,8192,2,334068,22012668396,54,27,3209476,1,91057,5,7720956,56,1,4,49113,445123,2,18,27,71162578,20167378,6461518440,27,7,2,1,2,2,256,1,6436594076,6434942622,112306303,500266321,500282705,2,1,22011718124,73389,73389,2,2,2,500266321,4,3,43189,18186132,1321092,96172,49110,6436594076,3113304,69844438,66
60135.75,8192,2,360465,23752178460,54,27,3477245,1,98247,5,7720956,56,1,4,52993,515751,2,18,27,74070464,21923108,6972061435,27,7,2,1,2,2,256,1,6945153436,6943444676,117663438,539805109,539821493,2,1,23751424796,73389,73389,2,2,2,539805109,4,3,43210,20089384,1447208,104390,52989,6945153436,3372855,72625482,66
65147.87,8192,2,376191,24788372088,54,27,3681107,1,102544,5,7720956,56,1,4,55303,615083,2,18,27,83782423,26040089,7276078314,27,7,2,1,2,2,256,1,7247929756,7246334781,134738006,563360922,563360922,2,1,24787159672,73389,73389,2,2,2,563344538,4,3,45498,22509892,1621188,113187,55299,7247929756,3567920,82163816,66
70158.59,8192,2,386813,25488211808,54,27,3826800,1,105442,5,7720956,56,1,4,56861,734807,2,18,27,86554267,29999742,7481294832,27,7,2,1,2,2,256,1,7452271004,7450887787,143752775,579255944,579272328,2,1,25487261536,73389,73389,2,2,2,579255944,4,3,48557,25135334,1746249,119614,56858,7452271004,3707186,84811565,66
