timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.89,8192,2,54368,3582173792,53,27,419831,4,14665,5,7455504,56,1,4,8010,124,2,10,27,9127319,189,1053223613,27,4,2,1,2,2,275,1,1049141660,1047293017,10484911,81387720,81404104,2,1,3581059680,73389,73389,2,2,2,81387720,4,3,23624,767883,136719,9040,8006,1049141660,410791,8990313,64
10017.95,8192,2,81472,5368017808,53,27,730852,4,22099,5,7455504,56,1,4,11993,27334,2,10,27,13153382,1308762,1577343289,27,4,2,1,2,2,275,1,1571201436,1569339195,16635979,121991468,121991468,2,1,5366903696,73389,73389,2,2,2,121975084,4,3,24062,2363245,322018,24506,11989,1571201436,706346,12830710,64
15021.50,8192,2,124642,8212868596,53,27,1126683,4,33886,5,7455504,56,1,4,18338,34100,2,10,27,24905388,2040990,2412187531,27,4,2,1,2,2,275,1,2402853276,2400922654,30640279,186638231,186654615,2,1,8212082164,73389,73389,2,2,2,186638231,4,3,34493,3427091,491340,33979,18334,2402853276,1092704,24412186,64
20033.28,8192,2,163532,10775367140,53,27,1456084,4,44493,5,7455504,56,1,4,24053,38899,2,10,27,32703638,2537238,3164102426,27,4,2,1,2,2,275,1,3151929756,3149979024,40377683,244885771,244885771,2,1,10774973924,73389,73389,2,2,2,244885771,4,3,35182,4413088,598225,42372,24049,3151929756,1413712,32103346,64
25051.16,8192,2,179700,11840793132,53,27,1667843,4,48901,5,7455504,56,1,4,26425,92875,2,10,27,39266265,5716301,3476400519,27,4,2,1,2,2,275,1,3462963612,3461431570,51979168,269086593,269102977,2,1,11839810092,73389,73389,2,2,2,269086593,4,3,38039,6624636,766005,59456,26422,3462963612,1608387,38497553,64
30065.28,8192,2,200392,13204296700,53,27,1926421,4,54538,5,7455504,56,1,4,29468,155805,2,10,27,43529986,7845701,3876842496,27,4,2,1,2,2,275,1,3861815708,3860044586,59512683,300073821,300090205,2,1,13203248124,73389,73389,2,2,2,300073821,4,3,39521,8533094,960664,73178,29465,3861815708,1853243,42565444,64
35068.67,8192,2,266059,17531208988,54,27,2443373,4,72454,5,7720956,56,1,4,39118,156041,2,10,27,55005919,7986154,5146406933,27,4,2,1,2,2,275,1,5126529436,5124898997,73120635,398425397,398425397,2,1,17529996572,73389,73389,2,2,2,398409013,4,3,43583,9477826,1094624,83786,39114,5126529436,2359587,53907787,64
40072.81,8192,2,331917,21870904104,54,27,2947286,4,90415,5,7720956,56,1,4,48797,156209,2,10,27,63895518,7986362,6419917891,27,4,2,1,2,2,275,1,6395175324,6393531096,83748224,497053342,497053342,2,1,21870347048,73389,73389,2,2,2,497053342,4,3,44825,10399016,1211456,94281,48793,6395175324,2853005,62681016,64
45089.30,8192,2,351321,23149466400,54,27,3152644,4,95757,5,7720956,56,1,4,51647,292172,2,10,27,68026718,11367720,6794979845,27,4,2,1,2,2,275,1,6768730524,6767290309,93142779,526111576,526111576,2,1,23148188448,73389,73389,2,2,2,526095192,4,3,45201,12836759,1307565,101555,51643,6768730524,3051089,66715972,64
50099.73,8192,2,361177,23799105544,54,27,3295538,4,98449,5,7720956,56,1,4,53098,425986,2,10,27,71572958,15893347,6985986917,27,4,2,1,2,2,275,1,6958915996,6957171488,103939582,540876102,540876102,2,1,23797827592,73389,73389,2,2,2,540859718,4,3,50315,15478254,1444704,107747,53094,6958915996,3187791,70123919,64
55112.38,8192,2,371489,24478363652,54,27,3442842,4,101263,5,7720956,56,1,4,54610,511672,2,10,27,73736257,19997801,7185014813,27,4,2,1,2,2,275,1,7157096860,7155703360,111862265,556306339,556322723,2,1,24477478916,73389,73389,2,2,2,556306339,4,3,53948,18223928,1574249,113929,54607,7157096860,3328922,72157825,64
60116.16,8192,2,399788,26343319544,54,27,3725356,4,108980,5,7720956,56,1,4,58771,541025,2,10,27,76841566,21546725,7732424696,27,4,2,1,2,2,275,1,7702395186,7700910300,117230368,598697658,598714042,2,1,26342696952,73389,73389,2,2,2,598697658,4,3,55268,19991465,1716461,123210,58767,7702395186,3602146,75121747,64
