timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.58,8192,2,46976,3095077160,53,27,359802,2,12703,5,7455504,56,1,4,6924,188,2,12,27,4474212,203,910200402,27,15,2,1,2,2,267,1,906797468,904911156,5526316,70333726,70333726,2,1,3093963048,73389,73389,2,2,2,70317342,3,3,16587,671357,99447,7311,6920,906797468,352491,4374419,69
10018.51,8192,2,67521,4448946936,53,27,605494,2,18307,5,7455504,56,1,4,9944,50052,2,12,27,7052463,2150287,1307615538,27,15,2,1,2,2,267,1,1302634908,1300666675,10857358,101091578,101107962,2,1,4448029432,73389,73389,2,2,2,101091578,3,3,16620,2880288,243323,18288,9940,1302634908,587206,6808887,69
15028.28,8192,2,79140,5214391500,53,27,757694,2,21477,5,7455504,56,1,4,11649,146825,2,12,27,8618316,5422706,1532167167,27,15,2,1,2,2,267,1,1526243740,1524424446,16057191,118499961,118499961,2,1,5213998284,73389,73389,2,2,2,118499961,3,3,18321,5617240,357055,25215,11646,1526243740,732479,8260402,69
20046.41,8192,2,88340,5820773576,53,27,882313,2,23986,5,7455504,56,1,4,13003,391096,2,12,27,21926368,10900654,1710278107,27,15,2,1,2,2,267,1,1703584156,1701706310,40702190,132275414,132291798,2,1,5820118216,73389,73389,2,2,2,132275414,3,3,23701,8504633,511779,30899,12999,1703584156,851414,21413848,69
25056.15,8192,2,98919,6517795248,53,27,1025669,2,26871,5,7455504,56,1,4,14556,520844,2,12,27,25225271,14922672,1914709512,27,15,2,1,2,2,267,1,1907138972,1905458429,50360373,148121284,148121284,2,1,6517336496,73389,73389,2,2,2,148121284,3,3,29211,11236285,653461,37125,14552,1907138972,988544,24570569,69
30074.91,8192,2,106971,7048411092,53,27,1134884,2,29067,5,7455504,56,1,4,15741,697441,2,12,27,28218101,19567143,2070717258,27,15,2,1,2,2,267,1,2062459292,2060565929,61206281,160180735,160180735,2,1,7047952340,73389,73389,2,2,2,160180735,3,3,33402,13973042,746549,42514,15737,2062459292,1092370,27470257,69
35107.16,8192,2,114656,7554709772,53,27,1246048,2,31112,5,7455504,56,1,4,16870,847796,2,12,27,30232072,24334420,2219355661,27,15,2,1,2,2,267,1,2210439580,2208578007,69439336,171677097,171693481,2,1,7553792268,73389,73389,2,2,2,171677097,3,3,39758,17122779,845463,47622,16866,2210439580,1198426,29384920,69
40125.81,8192,2,120707,7953391724,53,27,1347768,2,32812,5,7455504,56,1,4,17758,1169480,2,12,27,32530877,30216191,2336282605,27,15,2,1,2,2,267,1,2326831516,2325133279,80026357,180736561,180752945,2,1,7952408684,73389,73389,2,2,2,180736561,3,3,43644,20134090,920928,66141,17755,2326831516,1281627,31607500,69
45141.67,8192,2,129806,8553154664,53,27,1472154,2,35293,5,7455504,56,1,4,19097,1418878,2,12,27,35935459,35345717,2512554957,27,15,2,1,2,2,267,1,2502336924,2500425045,91810400,194364558,194380942,2,1,8552040552,73389,73389,2,2,2,194364558,3,3,48622,23125973,1033417,74127,19093,2502336924,1398027,34900773,69
50145.83,8192,2,165336,10894124988,53,27,1789464,2,44937,5,7455504,56,1,4,24316,1459952,2,12,27,43120399,37021119,3199298259,27,15,2,1,2,2,267,1,3186401692,3184690724,102401913,247584813,247584813,2,1,10893010876,73389,73389,2,2,2,247568429,3,3,58395,24710453,1185439,83917,24312,3186401692,1705547,41933381,69
55149.87,8192,2,219287,14449235720,54,27,2218241,2,59698,5,7720956,56,1,4,32243,1460270,2,12,27,52280690,37021439,4242311453,27,15,2,1,2,2,267,1,4225409436,4223970862,113030878,328380550,328380550,2,1,14448023304,73389,73389,2,2,2,328364166,3,3,60906,25487751,1289167,93080,32239,4225409436,2125161,50989765,69
60154.18,8192,2,273011,17989469780,54,27,2665018,2,74350,5,7720956,56,1,4,40142,1460399,2,12,27,61416203,37021802,5281683103,27,15,2,1,2,2,267,1,5260747164,5258846926,123578980,408840415,408840415,2,1,17988978260,73389,73389,2,2,2,408840415,3,3,61811,26294806,1393826,102590,40138,5260747164,2562428,60020398,69
65159.89,8192,2,326450,21510760628,54,27,3077784,2,88924,5,7720956,56,1,4,47995,1460604,2,12,27,70585102,37022160,6314958970,27,15,2,1,2,2,267,1,6290055580,6288236880,134086061,488868263,488868263,2,1,21509482676,73389,73389,2,2,2,488851879,3,3,65551,27078525,1484460,111669,47991,6290055580,2966115,69097792,69
70170.93,8192,2,358570,23627191384,54,27,3367829,2,97740,5,7720956,56,1,4,52713,1500819,2,12,27,76478704,39125668,6935789881,27,15,2,1,2,2,267,1,6908453276,6906910822,143592748,536968962,536968962,2,1,23626634328,73389,73389,2,2,2,536968962,3,3,67686,28971140,1613621,120189,52709,6908453276,3247640,74861687,69
75186.48,8192,2,365307,24071096484,54,27,3466597,2,99567,5,7720956,56,1,4,53703,1701583,2,12,27,79063314,45013491,7066265068,27,15,2,1,2,2,267,1,7038345628,7036632980,154519556,547050267,547066651,2,1,24070211748,73389,73389,2,2,2,547050267,3,3,76918,32015871,1732217,125208,53700,7038345628,3341389,77327817,69
80204.88,8192,2,371193,24458964996,54,27,3562601,2,101168,5,7720956,56,1,4,54568,2001947,2,12,27,81155442,50822099,7180034201,27,15,2,1,2,2,267,1,7151591836,7150030249,164513535,555863971,555880355,2,1,24458014724,73389,73389,2,2,2,555863971,3,3,82093,35298376,1847346,138396,54565,7151591836,3424205,79305923,69
85228.90,8192,2,377402,24868001636,54,27,3660666,2,102876,5,7720956,56,1,4,55481,2186445,2,12,27,83188059,56341310,7300381823,27,15,2,1,2,2,267,1,7271391644,7269630450,174408325,565169195,565169195,2,1,24867444580,73389,73389,2,2,2,565169195,3,3,85925,38360474,1949064,148025,55478,7271391644,3512641,81235582,69
90239.75,8192,2,385591,25407595912,54,27,3777616,2,105107,5,7720956,56,1,4,56684,2290707,2,12,27,85827931,61094321,7458624796,27,15,2,1,2,2,267,1,7428940188,7427324573,184483931,577425254,577441638,2,1,25406711176,73389,73389,2,2,2,577425254,3,3,91708,41290654,2058173,153319,56680,7428940188,3624297,83766049,69
