timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.47,8192,2,67053,4418010636,53,27,521151,5,18124,5,7455504,56,1,4,9874,216,2,9,27,8886645,291,1298416154,27,5,2,1,2,2,275,1,1293459868,1291666814,10616599,100397417,100397417,2,1,4417486348,73389,73389,2,2,2,100397417,3,3,24343,942157,155206,11088,9870,1293459868,510063,8731833,164
10019.99,8192,2,110683,7293007984,53,27,920844,5,30079,5,7455504,56,1,4,16286,24566,2,9,27,14770419,869101,2142232167,27,5,2,1,2,2,275,1,2134024604,2132036575,18576202,165732308,165748692,2,1,7292221552,73389,73389,2,2,2,165732308,3,3,24679,2387899,289487,22391,16283,2134024604,898453,14480935,164
15030.03,8192,2,118929,7836337812,53,27,1038561,5,32328,5,7455504,56,1,4,17497,153531,2,9,27,19392237,5171283,2301530215,27,5,2,1,2,2,275,1,2292621724,2290924979,29971775,178086671,178086671,2,1,7835813524,73389,73389,2,2,2,178086671,3,3,26155,5107943,386641,27944,17493,2292621724,1010617,19005304,164
20042.44,8192,2,140001,9224745060,53,27,1289616,5,38074,5,7455504,56,1,4,20594,177966,2,9,27,22560291,7470187,2709069630,27,5,2,1,2,2,275,1,2698551708,2696755285,36742768,209630955,209647339,2,1,9223762020,73389,73389,2,2,2,209630955,3,3,27990,7077566,549920,41634,20590,2698551708,1247982,22008549,164
25049.32,8192,2,151133,9958273592,53,27,1451120,5,41110,5,7455504,56,1,4,22230,298909,2,9,27,30024442,12060566,2924408729,27,5,2,1,2,2,275,1,2912985500,2911168649,51686164,226302058,226318442,2,1,9957290552,73389,73389,2,2,2,226302058,3,3,30722,9906443,681203,52120,22226,2912985500,1399000,29341516,164
30065.55,8192,2,157488,10377143940,53,27,1548883,5,42840,5,7455504,56,1,4,23164,477377,2,9,27,32312061,17075538,3047387997,27,5,2,1,2,2,275,1,3035406748,3033554252,61884181,235826307,235842691,2,1,10376357508,73389,73389,2,2,2,235826307,3,3,33946,12778119,776807,60551,23160,3035406748,1488332,31533061,164
35081.47,8192,2,163605,10780151268,53,27,1638744,5,44512,5,7455504,56,1,4,24063,649746,2,9,27,34466631,22927865,3165768190,27,5,2,1,2,2,275,1,3153240476,3151382367,71975341,244984075,245000459,2,1,10779299300,73389,73389,2,2,2,244984075,3,3,36814,15868437,862029,64864,24059,3153240476,1573880,33602769,164
40096.81,8192,2,172260,11350550772,53,27,1773888,5,46871,5,7455504,56,1,4,25333,744529,2,9,27,37399386,27940674,3332956409,27,5,2,1,2,2,275,1,3319701916,3318096651,82150009,257950679,257967063,2,1,11349829876,73389,73389,2,2,2,257950679,3,3,41403,18675739,959130,88049,25329,3319701916,1685839,36438321,164
45105.87,8192,2,180560,11897419544,53,27,1886571,5,49135,5,7455504,56,1,4,26553,901185,2,9,27,40282135,33189375,3493568836,27,5,2,1,2,2,275,1,3479609756,3477976676,92471663,270386962,270386962,2,1,11896305432,73389,73389,2,2,2,270370578,3,3,46848,21449371,1089884,96904,26549,3479609756,1789667,39190479,164
50110.36,8192,2,206898,13633062984,54,27,2165726,5,56319,5,7720956,56,1,4,30424,988959,2,9,27,46385579,35789517,4002951930,27,5,2,1,2,2,275,1,3986989468,3985376148,102871865,309819254,309835638,2,1,13632047176,73389,73389,2,2,2,309819254,3,3,56826,23583608,1251603,109268,30420,3986989468,2056458,45131993,164
55116.10,8192,2,273314,18009327188,54,27,2729797,5,74432,5,7720956,56,1,4,40184,989220,2,9,27,55248512,35789774,5287119281,27,5,2,1,2,2,275,1,5266252188,5264630212,113554636,409282783,409299167,2,1,18008442452,73389,73389,2,2,2,409282783,3,3,56930,24591661,1362357,119973,40180,5266252188,2609824,53884217,164
60120.02,8192,2,339376,22362391648,54,27,3282139,5,92449,5,7720956,56,1,4,49893,989490,2,9,27,64105770,35790201,6564577504,27,5,2,1,2,2,275,1,6538830236,6537205472,124217610,508205640,508222024,2,1,22361048160,73389,73389,2,2,2,508205640,3,3,57328,25586247,1495541,130720,49889,6538830236,3151419,62607263,164
