timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.55,8192,2,23656,1558548628,53,1,27,264976,9,6289,5,7455504,56,1,4,3495,68556,2,2661,27,6227833,2630674,459176438,27,63,2,1,2,2,619,1,457351580,455710795,10310388,35412623,35412623,2,1,1558155412,73389,73389,2,2,2,35412623,9,3,23549,2245056,253654,9494,3491,457351580,255482,5974086,290
10016.81,8192,2,71663,4721724308,53,1,27,657299,9,19438,5,7455504,56,1,4,10551,68942,2,2661,27,12829237,2630973,1387550013,27,63,2,1,2,2,619,1,1382195612,1380424588,18087432,107298511,107314895,2,1,4721134484,73389,73389,2,2,2,107298511,9,3,24910,2956919,327151,16895,10547,1382195612,640404,12502183,290
15021.49,8192,2,121884,8031058500,53,1,27,1090026,9,33133,5,7455504,56,1,4,17933,69271,2,2661,27,22368748,2631116,2358782484,27,63,2,1,2,2,619,1,2349769116,2347815881,29746599,182501715,182518099,2,1,8030075460,73389,73389,2,2,2,182501715,9,3,32805,3751111,442694,24635,17930,2349769116,1065391,21926256,290
20042.23,8192,2,157885,10403161732,53,1,27,1437251,9,42952,5,7455504,56,1,4,23221,100635,2,2661,27,30404081,4420832,3054591303,27,63,2,1,2,2,619,1,3042877852,3041190886,41356434,236416131,236432515,2,1,10402309764,73389,73389,2,2,2,236416131,9,3,35668,5535830,582620,33497,23217,3042877852,1403754,29821518,290
25046.82,8192,2,181220,11940938756,53,1,27,1676154,9,49315,5,7455504,56,1,4,26651,141322,2,2661,27,34669002,6852644,3505939470,27,63,2,1,2,2,619,1,3492454812,3490694919,49312433,271376035,271376035,2,1,11939824644,73389,73389,2,2,2,271359651,9,3,36818,7529532,702790,41579,26647,3492454812,1634575,33966660,290
30056.76,8192,2,204942,13504078212,54,1,27,1921885,9,55840,5,7720956,56,1,4,30136,213574,2,2661,27,42497805,9420452,3964520602,27,63,2,1,2,2,619,1,3949240732,3947674198,61673837,306884803,306901187,2,1,13502931332,73389,73389,2,2,2,306884803,9,3,42658,9577853,873006,49906,30132,3949240732,1871979,41624802,290
35060.42,8192,2,236244,15566635068,54,1,27,2206645,9,64378,5,7720956,56,1,4,34734,248056,2,2661,27,48841320,11302486,4569511590,27,63,2,1,2,2,619,1,4551909788,4550594253,71439913,353767053,353783437,2,1,15565750332,73389,73389,2,2,2,353767053,9,3,49124,11106834,1015538,58078,34730,4551909788,2148567,47826203,290
40064.64,8192,2,287588,18949831640,54,1,27,2618570,9,78325,5,7720956,56,1,4,42282,248406,2,2661,27,58946506,11302756,5562560941,27,63,2,1,2,2,619,1,5541241244,5539664448,83318025,430663842,430663842,2,1,18949209048,73389,73389,2,2,2,430663842,9,3,57054,11864267,1121013,66225,42278,5541241244,2552345,57826224,290
45078.20,8192,2,334676,22052779736,54,1,27,3018182,9,91222,5,7720956,56,1,4,49202,256615,2,2661,27,66000357,11825242,6473067634,27,63,2,1,2,2,619,1,6448259484,6446674749,92123272,501173474,501189858,2,1,22051632856,73389,73389,2,2,2,501173474,9,3,61764,13031006,1252421,75516,49198,6448259484,2942666,64748160,290
50088.52,8192,2,351415,23155626784,54,1,27,3227549,9,95788,5,7720956,56,1,4,51661,339108,2,2661,27,70877412,14879827,6796688909,27,63,2,1,2,2,619,1,6770565532,6769060973,101241836,526242648,526259032,2,1,23154676512,73389,73389,2,2,2,526242648,9,3,62424,15363519,1427214,84525,51657,6770565532,3143024,69448823,290
55096.90,8192,2,376147,24785488504,54,1,27,3483477,9,102532,5,7720956,56,1,4,55297,396641,2,2661,27,73676710,16797995,7275133329,27,63,2,1,2,2,619,1,7247143324,7245490387,106583891,563295386,563295386,2,1,24784996984,73389,73389,2,2,2,563295386,9,3,64880,17381816,1552335,93419,55293,7247143324,3390058,72122489,290
