timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5021.19,8192,2,24918,1641520512,53,27,260237,1,6682,5,7455504,56,1,4,3683,58326,2,13,27,2805716,1945731,483878833,27,22,2,1,2,2,290,1,481993116,479993932,5392311,37286432,37302816,2,1,1640603008,73389,73389,2,2,2,37286432,3,3,17863,2023211,168813,8253,3679,481993116,251984,2637079,75
10024.87,8192,2,55227,3638734668,53,27,534317,1,14953,5,7455504,56,1,4,8136,79233,2,13,27,6020695,3370347,1069789313,27,22,2,1,2,2,290,1,1065656732,1063842241,10749458,82688089,82688089,2,1,3637555020,73389,73389,2,2,2,82671705,3,3,18221,3652037,292811,16111,8132,1065656732,518206,5727390,75
15029.37,8192,2,111487,7345964380,53,27,985000,1,30244,5,7455504,56,1,4,16404,79669,2,13,27,22376110,4202119,2157671144,27,22,2,1,2,2,290,1,2149360028,2147530130,31245435,166934373,166950757,2,1,7345112412,73389,73389,2,2,2,166934373,3,3,28784,4483547,438081,26146,16400,2149360028,958854,21937471,75
20037.69,8192,2,156647,10321762712,53,27,1372736,1,42613,5,7455504,56,1,4,23041,88573,2,13,27,28976801,4682957,3031074407,27,22,2,1,2,2,290,1,3019415964,3017396146,39589203,234575090,234575090,2,1,10321303960,73389,73389,2,2,2,234575090,3,3,30718,5590161,559320,34789,23038,3019415964,1337947,28416789,75
25057.19,8192,2,173147,11408946656,53,27,1577247,1,47105,5,7455504,56,1,4,25464,140266,2,13,27,34475600,7838669,3349828443,27,22,2,1,2,2,290,1,3336872348,3335195092,49682295,259283816,259283816,2,1,11407767008,73389,73389,2,2,2,259267432,3,3,33128,8070877,721082,44362,25460,3336872348,1532885,33751180,75
30081.29,8192,2,198577,13084552504,53,27,1831099,1,54049,5,7455504,56,1,4,29201,174636,2,13,27,40433064,10068872,3841569041,27,22,2,1,2,2,290,1,3826688412,3825030875,59165970,297352362,297368746,2,1,13083503928,73389,73389,2,2,2,297352362,3,3,39360,10058624,853796,52865,29197,3826688412,1778234,39576877,75
35085.56,8192,2,228638,15065513732,54,27,2134408,1,62250,5,7720956,56,1,4,33618,207728,2,13,27,49605733,12384173,4422810581,27,22,2,1,2,2,290,1,4405633436,4404138859,72797359,342385379,342385379,2,1,15064956676,73389,73389,2,2,2,342385379,3,3,43957,11903181,1017619,61684,33614,4405633436,2072724,48586388,75
40088.64,8192,2,279909,18443926176,54,27,2602176,1,76233,5,7720956,56,1,4,41153,208035,2,13,27,58637775,12384313,5414279129,27,22,2,1,2,2,290,1,5393260956,5391746860,83364008,419167480,419167480,2,1,18442648224,73389,73389,2,2,2,419151096,3,3,46398,12745633,1131639,70034,41149,5393260956,2532142,57504536,75
45096.63,8192,2,309716,20407975808,54,27,2909530,1,84415,5,7720956,56,1,4,45534,242609,2,13,27,65747397,14079343,5990729475,27,22,2,1,2,2,290,1,5967487388,5965899121,93631993,463793056,463809440,2,1,20406894464,73389,73389,2,2,2,463793056,3,3,47466,14482621,1294164,81196,45530,5967487388,2828334,64450356,75
50099.23,8192,2,340585,22442155576,54,27,3221451,1,92833,5,7720956,56,1,4,50070,269125,2,13,27,71840582,15664548,6587566909,27,22,2,1,2,2,290,1,6562029980,6560511124,102569154,510036330,510036330,2,1,22440877624,73389,73389,2,2,2,510019946,3,3,60479,16147943,1494842,91698,50066,6562029980,3129753,70343811,75
55103.16,8192,2,388128,25574922552,54,27,3637985,1,105799,5,7720956,56,1,4,57058,269291,2,13,27,76164690,15664835,7506930039,27,22,2,1,2,2,290,1,7477961116,7476283367,108071056,581234090,581234090,2,1,25573579064,73389,73389,2,2,2,581217706,3,3,60490,16892626,1579054,98993,57054,7477961116,3538992,74583925,75
