timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.95,1,8192,2,9115,600280612,53,1,27,141411,12,2377,5,7455504,56,1,4,1359,227356,2,19403,27,2783259,4475129,178162971,27,80,2,1,2,2,848,1,177381788,175596734,9034300,13615931,13632315,2,1,599100964,73389,73389,2,2,2,13615931,14,3,22516,2993595,214870,6707,1355,177381788,134704,2569028,681
10030.20,1,8192,2,25142,1656466028,53,1,27,335474,12,6748,5,7455504,56,1,4,3715,303532,2,19403,27,6140501,7648899,488221012,27,80,2,1,2,2,848,1,486187420,484362156,17750122,37636529,37636529,2,1,1655286380,73389,73389,2,2,2,37620145,14,3,26575,5214240,347223,15284,3711,486187420,320190,5794148,681
15034.77,1,8192,2,68949,4543063248,53,1,27,686330,12,18695,5,7455504,56,1,4,10154,303621,2,19403,27,10572879,7649173,1335371077,27,80,2,1,2,2,848,1,1330160028,1328143935,23177955,103233564,103249948,2,1,4542276816,73389,73389,2,2,2,103233564,14,3,26575,5831371,416284,22004,10150,1330160028,664326,10157242,681
20039.27,1,8192,2,113134,7454433076,53,1,27,1045104,12,30748,5,7455504,56,1,4,16645,303698,2,19403,27,14993674,7649318,2189360436,27,80,2,1,2,2,848,1,2180948380,2179269007,28606006,169404039,169420423,2,1,7453777716,73389,73389,2,2,2,169404039,14,3,26575,6458110,474718,28694,16641,2180948380,1016410,14519644,681
25044.06,1,8192,2,157630,10386450052,53,1,27,1412611,12,42883,5,7455504,56,1,4,23182,303762,2,19403,27,19405676,7649524,3049400770,27,80,2,1,2,2,848,1,3037766044,3036248265,34040642,236039299,236055683,2,1,10385729156,73389,73389,2,2,2,236039299,14,3,26575,7093598,540907,35438,23178,3037766044,1377173,18865316,681
30048.00,1,8192,2,201770,13295136212,54,1,27,1775996,12,54954,5,7720956,56,1,4,29669,303846,2,19403,27,42630948,7854536,3902864913,27,80,2,1,2,2,848,1,3888030108,3886573806,62013057,302142079,302158463,2,1,13294251476,73389,73389,2,2,2,302142079,14,3,28955,7725936,689654,42185,29665,3888030108,1733811,41942054,681
35051.94,1,8192,2,254697,16782607176,54,1,27,2241368,12,69355,5,7720956,56,1,4,37448,303933,2,19403,27,51472564,7854903,4926345233,27,80,2,1,2,2,848,1,4907639196,4906091037,72692196,381410230,381410230,2,1,16782050120,73389,73389,2,2,2,381410230,14,3,33758,8520608,788790,50830,37444,4907639196,2190538,50684448,681
40057.26,1,8192,2,320327,21107335952,54,1,27,2778649,12,87255,5,7720956,56,1,4,47094,304087,2,19403,27,60431758,7855143,6195516727,27,80,2,1,2,2,848,1,6171959708,6170322196,83338300,479671694,479694111,2,1,21105554536,73389,73389,2,2,2,479671694,14,3,33817,9461705,886159,61895,47090,6171959708,2716754,59546560,681
45066.79,1,8192,2,359207,23669203268,54,1,27,3138462,12,97914,5,7720956,56,1,4,52807,348890,2,19403,27,65712821,9206242,6947244870,27,80,2,1,2,2,848,1,6920774044,6919174990,91013195,537925267,537925267,2,1,23668711748,73389,73389,2,2,2,537925267,14,3,34474,11165039,1012227,72673,52803,6920774044,3065789,64702971,681
50071.86,1,8192,2,385938,25430602356,54,1,27,3420545,12,105202,5,7720956,56,1,4,56734,380970,2,19403,27,72302721,11415902,7463965552,27,80,2,1,2,2,848,1,7435493788,7434070330,101601979,577955575,577955575,2,1,25429324404,73389,73389,2,2,2,577939191,14,3,36378,12900887,1141356,82677,56730,7435493788,3337868,71163049,681
