timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.03,8192,2,40703,2681846216,53,27,355139,4,10990,5,7455504,56,1,4,6003,8620,2,16,27,4356745,385085,789067141,27,3,2,1,2,2,290,1,786080156,784127721,5774594,60930198,60930198,2,1,2679942364,73389,73389,2,2,2,60907781,3,3,25486,987503,157179,8309,5999,786080156,346830,4199843,117
10016.46,8192,2,63285,4169743728,53,27,637009,4,17152,5,7455504,56,1,4,9320,36120,2,16,27,7489031,1962047,1225559948,27,3,2,1,2,2,290,1,1220845980,1219047118,11153123,94747540,94763924,2,1,4168891760,73389,73389,2,2,2,94747540,3,3,26530,2736381,357910,20165,9316,1220845980,616844,7131335,117
15027.84,8192,2,86805,5719644912,53,27,935452,4,23560,5,7455504,56,1,4,12776,62037,2,16,27,10835162,3293194,1680335603,27,3,2,1,2,2,290,1,1673830812,1672149689,16537516,129969588,129985972,2,1,5718661872,73389,73389,2,2,2,129969588,3,3,27227,4314680,574147,34666,12772,1673830812,900786,10260341,117
20037.35,8192,2,105299,6938303996,53,27,1172711,4,28607,5,7455504,56,1,4,15494,128644,2,16,27,26805112,6325114,2038031362,27,3,2,1,2,2,290,1,2030084508,2028380437,38064686,157678301,157678301,2,1,6937845244,73389,73389,2,2,2,157678301,3,3,31010,6481214,800517,45141,15490,2030084508,1127570,26004152,117
25042.83,8192,2,139464,9189552228,53,27,1461644,4,37929,5,7455504,56,1,4,20517,146498,2,16,27,30511022,7180762,2698796109,27,3,2,1,2,2,290,1,2688328092,2686420360,43440099,208844523,208844523,2,1,9189159012,73389,73389,2,2,2,208844523,3,3,31483,7712938,902223,53089,20513,2688328092,1408555,29608824,117
30047.69,8192,2,184197,12137101236,53,27,1844858,4,50128,5,7455504,56,1,4,27088,146643,2,16,27,45070847,7535571,3563440536,27,3,2,1,2,2,290,1,3549733276,3548047645,61358593,275823847,275840231,2,1,12136249268,73389,73389,2,2,2,275823847,3,3,32849,8397197,1024226,59806,27084,3549733276,1785052,44046302,117
35058.44,8192,2,217340,14321106224,54,27,2168062,4,59221,5,7720956,56,1,4,31961,167150,2,16,27,52506912,9002332,4204625259,27,3,2,1,2,2,290,1,4188447132,4186543934,71713701,325452132,325468516,2,1,14319893808,73389,73389,2,2,2,325452132,3,3,36062,10022828,1153134,71380,31957,4188447132,2096682,51353602,117
40070.49,8192,2,229635,15131118576,54,27,2324260,4,62575,5,7720956,56,1,4,33766,298256,2,16,27,57075339,13268515,4442204156,27,3,2,1,2,2,290,1,4425032092,4423325327,82712776,343865972,343882356,2,1,15130102768,73389,73389,2,2,2,343865972,3,3,39871,12661696,1293311,79427,33762,4425032092,2244833,55780596,117
45074.49,8192,2,247165,16286335504,54,27,2546981,4,67303,5,7720956,56,1,4,36341,388221,2,16,27,62666669,16640013,4781090624,27,3,2,1,2,2,290,1,4762542492,4761021041,93314288,370126860,370143244,2,1,16285581840,73389,73389,2,2,2,370126860,3,3,47448,15153031,1497861,90589,36337,4762542492,2456392,61168966,117
50079.84,8192,2,300752,19817325680,54,27,3015542,4,81916,5,7720956,56,1,4,44216,388688,2,16,27,71686553,16640274,5817160827,27,3,2,1,2,2,290,1,5794603420,5793224357,103889890,450367700,450384084,2,1,19816178800,73389,73389,2,2,2,450367700,3,3,58539,16020970,1618415,100012,44212,5794603420,2915530,70068765,117
55091.61,8192,2,339196,22350595168,54,27,3354513,4,92455,5,7720956,56,1,4,49867,423801,2,16,27,78442265,17634562,6560881679,27,3,2,1,2,2,290,1,6535422364,6533749908,112811736,507943496,507959880,2,1,22349513824,73389,73389,2,2,2,507943496,3,3,60905,17446706,1738181,108423,49863,6535422364,3246090,76703644,117
60108.38,8192,2,354313,23346611920,54,27,3534295,4,96577,5,7720956,56,1,4,52087,479594,2,16,27,83533571,21513304,6853067171,27,3,2,1,2,2,290,1,6826402204,6824921555,123749168,530592156,530592156,2,1,23346054864,73389,73389,2,2,2,530592156,3,3,63625,20025867,1924765,116507,52083,6826402204,3417788,81608490,117
65113.24,8192,2,398049,26228556084,54,27,3892461,4,108505,5,7720956,56,1,4,58514,482921,2,16,27,92481682,21810544,7698755219,27,3,2,1,2,2,290,1,7668801948,7667363196,134628381,596090887,596090887,2,1,26227278132,73389,73389,2,2,2,596074503,3,3,78616,20828794,2064913,126524,58510,7668801948,3765937,90416794,117
