timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5020.18,7,262144,64,41446,2731118632,64,51,119,0,585,537585,4,8003,67,115,124749708,1172,1,66,6534,311315,2,150132,585,8587612,9941831,851042552,585,919,2,1,2,2,861,1,847552924,801637683,37262536,61728696,61728696,2,1,2716062624,73389,73389,2,2,2,61728696,11,3,278893,7251480,1431857,26444,6468,847552924,511141,7156492,7929
10029.42,7,262144,64,57779,3807370130,64,51,122,1,585,732566,4,12633,67,115,125280612,1172,1,66,8934,369434,2,150132,585,13146013,13785440,1166905007,585,919,2,1,2,2,861,1,1162125724,1116308870,85025039,86175278,86191662,2,1,3791712232,73389,73389,2,2,2,86175278,11,3,292857,9173953,1640052,44690,8868,1162125724,687876,11506586,7929
15066.68,7,262144,64,66905,4408637090,64,51,124,1,585,851262,4,15231,67,115,125546064,1172,1,66,10276,517795,2,150132,585,16024611,18210417,1343575671,585,919,2,1,2,2,861,1,1338024348,1292100401,116311180,99838202,99854586,2,1,4392880888,73389,73389,2,2,2,99838202,11,3,301110,11572310,1772362,50181,10210,1338024348,801081,14253526,7929
20097.76,7,262144,64,74489,4908582086,64,51,125,1,585,952513,4,17348,67,115,125811516,1172,1,66,11387,660492,2,150132,585,18690334,23015157,1489852233,585,919,2,1,2,2,861,1,1483645340,1438254479,182122847,111209525,111209525,2,1,4892232752,73389,73389,2,2,2,111187108,11,3,308400,14021710,1896560,54926,11321,1483645340,897587,16795753,7929
25121.06,7,262144,64,79795,5257908814,64,51,126,1,585,1028097,4,18857,67,115,125811516,1172,1,66,12168,864879,2,150132,585,20563443,27566381,1592699344,585,919,2,1,2,2,861,1,1586012572,1540399474,234338274,119151003,119151003,2,1,5242644132,73389,73389,2,2,2,119151003,11,3,314093,16832262,1975841,62721,12102,1586012572,965376,18589592,7929
30146.67,7,262144,64,84279,5553364950,64,51,126,1,585,1088039,4,20079,67,115,125811516,1172,1,66,12828,1127724,2,150132,585,22104386,32593979,1679617703,585,919,2,1,2,2,861,1,1672520092,1626774103,260198222,125855489,125871873,2,1,5537641516,73389,73389,2,2,2,125855489,11,3,319183,20025528,2040327,66280,12762,1672520092,1021759,20066083,7929
35177.35,7,262144,64,88368,5822934366,64,51,127,1,585,1145288,4,21243,67,115,126076968,1172,1,66,13428,1375214,2,150132,585,23288683,37858337,1758768412,585,919,2,1,2,2,861,1,1751294364,1705479689,286634571,131986535,132002919,2,1,5807407540,73389,73389,2,2,2,131986535,11,3,321943,23512005,2090675,69018,13363,1751294364,1076270,21200162,7929
40258.01,7,262144,64,93335,6150285710,64,51,128,1,585,1217265,4,22659,67,115,126318288,1172,1,66,14157,1624593,2,150132,585,25096085,43589284,1854637801,585,919,2,1,2,2,861,1,1846714780,1801159236,335811828,139426142,139442526,2,1,6134750248,73389,73389,2,2,2,139426142,11,3,325341,26918751,2169082,75131,14092,1846714780,1142134,22929537,7929
45294.86,7,262144,64,97479,6423459606,64,51,129,1,585,1274774,4,23844,67,115,126571674,1172,1,66,14767,1960578,2,150132,585,26057191,48124693,1935113943,585,919,2,1,2,2,861,1,1926799772,1881055810,370272015,145639108,145655492,2,1,6408120752,73389,73389,2,2,2,145639108,11,3,325782,30023791,2223174,78130,14702,1926799772,1196644,23837459,7929
50383.36,7,262144,64,101687,6700827806,64,51,129,1,585,1333054,4,24990,67,115,126571674,1172,1,66,15387,2238850,2,150132,585,27664255,53523595,2016640367,585,919,2,1,2,2,861,1,2007933340,1962152425,439394202,151933994,151950378,2,1,6685095736,73389,73389,2,2,2,151933994,11,3,328054,33163117,2284417,81128,15322,2007933340,1251926,25383291,7929
