timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.05,1,262144,64,65274,4301216970,64,63,123,0,585,608746,4,14730,67,267,125546064,1172,1,66,10034,107648,2,7821,585,12915064,2538445,1311401583,585,276,2,1,2,2,455,1,1306304924,1260696960,27886367,97409496,97409496,2,1,4285296928,73389,73389,2,2,2,97393112,6,3,302620,3050855,1439323,19668,9968,1306304924,589078,11476115,4256
10028.33,1,262144,64,85444,5630245294,64,63,127,0,585,816719,4,20449,67,267,126076968,1172,1,66,12999,156768,2,7821,585,19382537,6503753,1701580166,585,276,2,1,2,2,455,1,1694933404,1649192303,81264290,127604259,127620643,2,1,5614587396,73389,73389,2,2,2,127604259,6,3,326719,5025734,1670131,27051,12934,1694933404,789668,17713119,4256
15042.05,1,262144,64,95383,6285299794,64,63,128,0,585,940496,4,23217,67,267,126318288,1172,1,66,14461,237496,2,7821,585,21786390,10836252,1894034407,585,276,2,1,2,2,455,1,1886560668,1840668925,124009543,142491665,142508049,2,1,6269633260,73389,73389,2,2,2,142491665,6,3,333266,7446835,1795975,32664,14395,1886560668,907832,19990927,4256
20047.32,1,262144,64,111056,7318020014,64,63,131,0,585,1127672,4,27619,67,267,126837126,1172,1,66,16763,324879,2,7821,585,26376293,15735849,2197000552,585,276,2,1,2,2,455,1,2188288412,2142514477,208117356,165965558,165981942,2,1,7302484552,73389,73389,2,2,2,165965558,6,3,350217,9560292,1999355,39487,16697,2188288412,1088185,24376806,4256
25067.08,1,262144,64,144397,9515013196,64,63,137,0,585,1422084,4,37027,67,267,127633482,1172,1,66,21662,335106,2,7821,585,35424991,17861495,2841595081,585,276,2,1,2,2,455,1,2830410140,2784809361,242581858,215905139,215905139,2,1,9499826116,73389,73389,2,2,2,215905139,6,3,370163,10875282,2183430,48318,21596,2830410140,1373766,33241778,4256
30072.72,1,262144,64,157615,10386034114,64,63,139,0,585,1584402,4,40788,67,267,128152320,1172,1,66,23602,403973,2,7821,585,39378592,22489195,3096944157,585,276,2,1,2,2,455,1,3084689820,3039373102,313231553,235699109,235715493,2,1,10370760796,73389,73389,2,2,2,235699109,6,3,385644,13039627,2392168,58931,23536,3084689820,1525471,36986124,4256
35078.73,1,262144,64,207272,13657875098,64,63,147,0,585,1986835,4,54770,67,267,129214128,1172,1,66,30895,405073,2,7821,585,50240336,22863945,4056450070,585,276,2,1,2,2,455,1,4040597916,3995792534,344495679,310062855,310062855,2,1,13642044724,73389,73389,2,2,2,310046471,6,3,415642,13855465,2600857,68868,30829,4040597916,1917967,47639142,4256
40096.45,1,262144,64,227559,14994836586,64,63,150,0,585,2188412,4,60471,67,267,129745032,1172,1,66,33876,467689,2,7821,585,55963286,26229552,4448743560,585,276,2,1,2,2,455,1,4431323548,4386614967,389805119,340435683,340452067,2,1,14979170052,73389,73389,2,2,2,340435683,6,3,423084,15697133,2763007,77192,33810,4431323548,2111220,53199353,4256
45121.60,1,262144,64,235065,15489476718,64,63,152,0,585,2300077,4,62628,67,267,130010484,1172,1,66,34980,606137,2,7821,585,58899868,31329216,4594099376,585,276,2,1,2,2,455,1,4576027036,4531316470,470346881,351669901,351686285,2,1,15473475644,73389,73389,2,2,2,351669901,6,3,434339,18156916,2916407,93810,34914,4576027036,2206267,55983271,4256
50127.18,1,262144,64,257252,16951487510,64,63,155,0,585,2522744,4,68792,67,267,130541388,1172,1,66,38241,644845,2,7821,585,64449728,35126732,5023092568,585,276,2,1,2,2,455,1,5003321756,4958607432,574450597,384905611,384921995,2,1,16935846884,73389,73389,2,2,2,384905611,6,3,457941,19967748,3126940,101319,38175,5003321756,2421425,61323066,4256
55136.44,1,262144,64,304768,20082219562,64,63,163,0,585,2918649,4,82244,67,267,131603196,1172,1,66,45222,651127,2,7821,585,73904465,35780238,5941724862,585,276,2,1,2,2,455,1,5918466460,5873919192,608757497,456072762,456072762,2,1,20067201528,73389,73389,2,2,2,456072762,6,3,489153,20939767,3341215,110293,45156,5918466460,2808356,70564018,4256
60154.31,1,262144,64,320093,21092133254,64,63,166,0,585,3117339,4,86586,67,267,132134100,1172,1,66,47473,728399,2,7821,585,79212516,40037281,6237989539,585,276,2,1,2,2,455,1,6213509532,6169125551,754492903,479014175,479030559,2,1,21076623700,73389,73389,2,2,2,479014175,6,3,505736,22931338,3584729,123322,47407,6213509532,2994017,75627215,4256
65169.55,1,262144,64,344678,22711830278,64,63,170,0,585,3367962,4,93511,67,267,132665004,1172,1,66,51082,763490,2,7821,585,85540968,43556283,6712896299,585,276,2,1,2,2,455,1,6686548380,6642537510,814167400,515833663,515850047,2,1,22696681172,73389,73389,2,2,2,515833663,6,3,539076,24622014,3849319,133532,51016,6686548380,3234430,81689857,4256
70180.58,1,262144,64,358153,23599706014,64,63,172,0,585,3534049,4,97296,67,267,132930456,1172,1,66,53061,792364,2,7821,585,90393509,47952310,6973374994,585,276,2,1,2,2,455,1,6945939868,6902097418,890957998,536004465,536020849,2,1,23584196460,73389,73389,2,2,2,536004465,6,3,561056,26701152,4109758,140956,52995,6945939868,3393093,86283031,4256
75206.42,1,262144,64,368422,24276676978,64,63,174,0,585,3687365,4,100206,67,267,133461360,1172,1,66,54571,879101,2,7821,585,94325688,53022457,7172143908,585,276,2,1,2,2,455,1,7143858588,7100008153,949473054,551389424,551405808,2,1,24261134656,73389,73389,2,2,2,551389424,6,3,569518,28987856,4262299,165468,54505,7143858588,3521897,90063342,4256
80231.89,1,262144,64,375371,24734487776,64,63,175,0,585,3796000,4,102156,67,267,133461360,1172,1,66,55589,995248,2,7821,585,96594939,57544855,7306179839,585,276,2,1,2,2,455,1,7277289884,7233832614,973733182,561790217,561806601,2,1,24718769548,73389,73389,2,2,2,561790217,6,3,571132,31438671,4352248,177709,55524,7277289884,3618291,92242943,4256
