timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.23,6,262144,64,37763,2488422284,55,46,119,585,499390,14,6956,58,5,124749708,1172,1,57,5985,373041,2,270476,585,8047779,9792986,780001264,585,1186,2,1,2,2,752,1,776774044,730724582,36162513,56209891,56209891,2,1,2472514308,73389,73389,2,2,2,56193507,13,1,3,275089,7196263,1500977,18997,5928,776774044,480393,6545500,7621
10023.38,6,262144,64,85051,5604489646,55,46,127,585,890021,14,20295,58,5,126076968,1172,1,57,12932,374122,2,270476,585,17891389,9833995,1693992711,585,1186,2,1,2,2,752,1,1687331228,1641656890,65288402,127030819,127030819,2,1,5588635140,73389,73389,2,2,2,127014435,13,1,3,303423,7982523,1694725,28579,12875,1687331228,861442,16194959,7621
15049.23,6,262144,64,98716,6505058542,55,46,129,585,1051708,14,24180,58,5,126571674,1172,1,57,14940,473353,2,270476,585,23355029,14428556,1958280665,585,1186,2,1,2,2,752,1,1950523804,1904907206,127580954,147486182,147502566,2,1,6489392008,73389,73389,2,2,2,147486182,13,1,3,315583,10079736,1915827,36544,14883,1950523804,1015164,21437953,7621
20062.57,6,262144,64,106210,6998839846,55,46,130,585,1152830,14,26280,58,5,126837126,1172,1,57,16041,570488,2,270476,585,25817129,18797715,2103242447,585,1186,2,1,2,2,752,1,2094834076,2049216373,151221045,158712208,158728592,2,1,6983337152,73389,73389,2,2,2,158712208,13,1,3,321701,12420576,2061771,42215,15984,2094834076,1110615,23754532,7621
25067.85,6,262144,64,135873,8953186842,55,46,135,585,1430092,14,34644,58,5,127368030,1172,1,57,20398,613017,2,270476,585,32942977,22276513,2676556375,585,1186,2,1,2,2,752,1,2665914780,2620555174,237719402,203126951,203143335,2,1,8937585844,73389,73389,2,2,2,203126951,13,1,3,353306,13983712,2313686,51636,20341,2665914780,1378456,30628571,7621
30077.40,6,262144,64,173501,11432713502,55,46,141,585,1766693,14,45234,58,5,128417772,1172,1,57,25928,635888,2,270476,585,41026553,23515332,3404155236,585,1186,2,1,2,2,752,1,3390742940,3345352066,270909261,259476106,259492490,2,1,11416948664,73389,73389,2,2,2,259476106,13,1,3,373147,15148669,2484376,63170,25871,3390742940,1703523,38540935,7621
35082.73,6,262144,64,190978,12584457022,55,46,144,585,1968855,14,50166,58,5,128948676,1172,1,57,28497,689612,2,270476,585,46226602,27696592,3742116728,585,1186,2,1,2,2,752,1,3727466908,3682011273,327894784,285655074,285671458,2,1,12568823256,73389,73389,2,2,2,285655074,13,1,3,392889,16998786,2743422,71815,28440,3727466908,1897040,43482377,7621
40092.96,6,262144,64,213295,14054987494,55,46,148,585,2214078,14,56472,58,5,129479580,1172,1,57,31773,742447,2,270476,585,52092679,31399358,4173363395,585,1186,2,1,2,2,752,1,4156858780,4111845586,363840995,319079200,319095584,2,1,14039484800,73389,73389,2,2,2,319079200,13,1,3,408547,18788126,2998633,81934,31716,4156858780,2132144,49092663,7621
45106.57,6,262144,64,226680,14936723670,55,46,150,585,2375762,14,60231,58,5,129745032,1172,1,57,33739,804474,2,270476,585,57644832,36638077,4432132861,585,1186,2,1,2,2,752,1,4414546332,4369663549,456129226,339112897,339129281,2,1,14920967468,73389,73389,2,2,2,339112897,13,1,3,425804,20827876,3268883,89469,33682,4414546332,2286293,54374019,7621
50121.59,6,262144,64,235178,15496882286,55,46,152,585,2496843,14,62660,58,5,130010484,1172,1,57,34987,922460,2,270476,585,60690013,41566164,4596430836,585,1186,2,1,2,2,752,1,4578124188,4533476306,559255894,351850125,351850125,2,1,15481405500,73389,73389,2,2,2,351850125,13,1,3,439420,23230289,3451863,97716,34930,4578124188,2399127,57233932,7621
55133.22,6,262144,64,242052,15949765818,55,46,153,585,2613860,14,64589,58,5,130275936,1172,1,57,35998,1034061,2,270476,585,62804835,45955715,4729541823,585,1186,2,1,2,2,752,1,4710637980,4665843247,594814876,362144422,362144422,2,1,15934354568,73389,73389,2,2,2,362144422,13,1,3,445786,25906370,3567037,102396,35941,4710637980,2511464,59234395,7621
60152.56,6,262144,64,246500,16242862658,55,46,154,585,2690678,14,65856,58,5,130275936,1172,1,57,36651,1110996,2,270476,585,64358834,50751189,4815541071,585,1186,2,1,2,2,752,1,4796227996,4751511264,666909942,368807948,368807948,2,1,16227549712,73389,73389,2,2,2,368807948,13,1,3,451010,28834948,3654532,115749,36594,4796227996,2574929,60701066,7621
65183.03,6,262144,64,251425,16567220170,55,46,154,585,2761170,14,67200,58,5,130275936,1172,1,57,37373,1235992,2,270476,585,66404031,56034196,4910625392,585,1186,2,1,2,2,752,1,4890861980,4846330930,715729370,376167794,376184178,2,1,16551382936,73389,73389,2,2,2,376167794,13,1,3,453486,31542732,3753859,121537,37316,4890861980,2639633,62646627,7621
70194.66,6,262144,64,256997,16934510378,55,46,155,585,2841525,14,68775,58,5,130541388,1172,1,57,38193,1439614,2,270476,585,68383228,61529716,5018608846,585,1186,2,1,2,2,752,1,4998341020,4953604170,857469637,384522746,384539130,2,1,16919000824,73389,73389,2,2,2,384522746,13,1,3,461416,34226663,3838358,125575,38136,4998341020,2715950,64541187,7621
75225.40,6,262144,64,263598,17369502582,55,46,156,585,2936662,14,70629,58,5,130541388,1172,1,57,39162,1612413,2,270476,585,70430031,66237996,5146329472,585,1186,2,1,2,2,752,1,5125480860,5080807340,918448217,394399251,394415635,2,1,17353567044,73389,73389,2,2,2,394399251,13,1,3,466753,37001160,3948344,130044,39106,5125480860,2806618,66477926,7621
80230.90,6,262144,64,276336,18208812834,55,46,159,585,3081247,14,74244,58,5,131072292,1172,1,57,41035,1679853,2,270476,585,73709957,70421822,5392716654,585,1186,2,1,2,2,752,1,5370847644,5326173310,1121518087,413499060,413499060,2,1,18193237744,73389,73389,2,2,2,413482676,13,1,3,478433,39200649,4092044,135862,40978,5370847644,2945385,69615042,7621
85247.01,6,262144,64,319379,21045075098,55,46,166,585,3455968,14,86391,58,5,132134100,1172,1,57,47355,1700019,2,270476,585,83432350,71725033,6224237631,585,1186,2,1,2,2,752,1,6199222684,6155330986,1160864099,477943182,477959566,2,1,21029500008,73389,73389,2,2,2,477943182,13,1,3,505454,40363939,4310229,145100,47298,6199222684,3310868,79118929,7621
90259.35,6,262144,64,332355,21899982918,55,46,168,585,3613659,14,90042,58,5,132399552,1172,1,57,49264,1760287,2,270476,585,88074239,76669321,6475513823,585,1186,2,1,2,2,752,1,6449439132,6405205234,1220116312,497378863,497395247,2,1,21884669972,73389,73389,2,2,2,497378863,13,1,3,519427,42423039,4524269,153911,49208,6449439132,3459748,83546554,7621
95263.84,6,262144,64,380386,25065008980,55,46,176,585,4019338,14,103576,58,5,133726812,1172,1,57,56318,1766421,2,270476,585,97874357,77311676,7403604179,585,1186,2,1,2,2,752,1,7374021020,7330420831,1252936837,569319936,569319936,2,1,25049356288,73389,73389,2,2,2,569303552,13,1,3,551322,43406843,4710857,163057,56261,7374021020,3856281,93159559,7621
