timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.51,262144,64,66209,4363024034,64,41,123,0,585,635752,4,14985,67,15,125546064,1172,1,66,10173,81748,2,7752,585,13120132,2317491,1329649095,585,379,2,1,2,2,408,1,1324523932,1278770618,32271533,98814202,98814202,2,1,4347103992,73389,73389,2,2,2,98797818,7,3,315076,2966009,1362692,16514,10107,1324523932,619238,11756274,4570
10043.39,262144,64,112696,7426029958,64,41,131,0,585,1014552,4,28104,67,15,126837126,1172,1,66,17002,87091,2,7752,585,23849235,2712655,2228151471,585,379,2,1,2,2,408,1,2219614620,2174088303,69217512,168418840,168435224,2,1,7410428960,73389,73389,2,2,2,168418840,7,3,363298,3888829,1606790,26390,16936,2219614620,988162,22240537,4570
15071.28,262144,64,120092,7913654186,64,41,132,0,585,1111171,4,30176,67,15,127102578,1172,1,66,18090,225620,2,7752,585,26438251,7301663,2371394410,585,379,2,1,2,2,408,1,2362220956,2316664130,103207052,179511635,179511635,2,1,7898511940,73389,73389,2,2,2,179511635,7,3,375260,6246963,1744015,32269,18024,2362220956,1078902,24692598,4570
20112.70,262144,64,125744,8285921822,64,41,133,0,585,1190255,4,31773,67,15,127102578,1172,1,66,18919,449255,2,7752,585,28250797,12069712,2480694407,585,379,2,1,2,2,408,1,2471010716,2425419343,128094184,187967050,187983434,2,1,8270550200,73389,73389,2,2,2,187967050,7,3,382357,9119411,1845664,35909,18854,2471010716,1154346,26403770,4570
25146.34,262144,64,130972,8630402194,64,41,134,0,585,1265510,4,33252,67,15,127368030,1172,1,66,19688,599166,2,7752,585,29772186,17080069,2581834980,585,379,2,1,2,2,408,1,2571674012,2526159453,155476582,195791681,195808065,2,1,8614833964,73389,73389,2,2,2,195791681,7,3,387609,11832775,1930745,39502,19622,2571674012,1226008,27840263,4570
30170.42,262144,64,136839,9016778169,64,41,135,0,585,1347368,4,34908,67,15,127368030,1172,1,66,20548,808758,2,7752,585,31832392,22032914,2695213094,585,379,2,1,2,2,408,1,2684527004,2639122717,197071657,204574776,204591160,2,1,9001290144,73389,73389,2,2,2,204574776,7,3,392266,14531160,2007854,45455,20483,2684527004,1301913,29824407,4570
35197.43,262144,64,142850,9413086034,64,41,136,1,585,1429268,4,36602,67,15,127621416,1172,1,66,21431,973510,2,7752,585,33390140,26504514,2811490696,585,379,2,1,2,2,408,1,2800263580,2754956853,254868822,213591121,213591121,2,1,9398009324,73389,73389,2,2,2,213591121,7,3,398902,17001326,2099836,49404,21366,2800263580,1379864,31289489,4570
40219.73,262144,64,149394,9844342686,64,41,137,1,585,1516822,4,38442,67,15,127886868,1172,1,66,22395,1209567,2,7752,585,35407515,31356373,2938292648,585,379,2,1,2,2,408,1,2926485916,2880980106,312971965,223385706,223402090,2,1,9828971064,73389,73389,2,2,2,223385706,7,3,405968,19720379,2199855,53706,22329,2926485916,1463116,33206768,4570
45246.66,262144,64,155204,10226965010,64,41,138,1,585,1597944,4,40080,67,15,127886868,1172,1,66,23250,1363557,2,7752,585,38600007,37014449,3050884217,585,379,2,1,2,2,408,1,3038552476,2992923710,421994409,232070497,232086881,2,1,10211101868,73389,73389,2,2,2,232070497,7,3,420947,22353196,2339081,57491,23184,3038552476,1540453,36259842,4570
50279.38,262144,64,161199,10622242398,64,41,139,1,585,1682416,4,41769,67,15,128152320,1172,1,66,24130,1552768,2,7752,585,40379993,41580619,3166763665,585,379,2,1,2,2,408,1,3153895836,3108423252,587646130,241070458,241070458,2,1,10606379256,73389,73389,2,2,2,241054074,7,3,430940,24967213,2445026,65209,24064,3153895836,1617207,37933899,4570
55304.47,262144,64,168103,11077092010,64,41,140,1,585,1776245,4,43709,67,15,128152320,1172,1,66,25143,1668680,2,7752,585,42918601,46360459,3300144161,585,379,2,1,2,2,408,1,3286671772,3241433080,632715625,251405715,251405715,2,1,11061851460,73389,73389,2,2,2,251405715,7,3,438462,27369483,2587831,69486,25077,3286671772,1706759,40329794,4570
60310.39,262144,64,208041,13708537734,64,41,147,1,585,2086417,4,54984,67,15,129214128,1172,1,66,31009,1670713,2,7752,585,52110180,46862782,4071938187,585,379,2,1,2,2,408,1,4055540124,4010619479,660843858,311199384,311215768,2,1,13692772896,73389,73389,2,2,2,311199384,7,3,448701,28125997,2748735,78933,30943,4055540124,2007484,49360520,4570
65318.22,262144,64,250921,16534190026,64,41,154,1,585,2418822,4,67060,67,15,130275936,1172,1,66,37309,1672522,2,7752,585,63107543,47011690,4900826504,585,379,2,1,2,2,408,1,4881293724,4836657472,686486052,375430514,375430514,2,1,16518221720,73389,73389,2,2,2,375414130,7,3,472242,28874109,2971489,89328,37243,4881293724,2329494,60135243,4570
70324.42,262144,64,293585,19345348694,64,41,162,1,585,2752957,4,79084,67,15,131337744,1172,1,66,43580,1674291,2,7752,585,75176655,47202194,5725899668,585,379,2,1,2,2,408,1,5703246236,5658487233,714848704,439327931,439327931,2,1,19330428964,73389,73389,2,2,2,439327931,7,3,498941,29628745,3194502,98980,43514,5703246236,2653977,71980397,4570
75329.81,262144,64,339473,22369122686,64,41,169,1,585,3121859,4,92037,67,15,132665004,1172,1,66,50317,1676268,2,7752,585,85975581,47399851,6612279974,585,379,2,1,2,2,408,1,6586278300,6542337868,765822549,508039641,508056025,2,1,22353744204,73389,73389,2,2,2,508039641,7,3,513266,30415121,3387876,108821,50251,6586278300,3013038,82585519,4570
80334.19,262144,64,385637,25410731228,64,41,177,1,585,3495638,4,105066,67,15,133726812,1172,1,66,57099,1677414,2,7752,585,97088617,47462080,7504575156,585,379,2,1,2,2,408,1,7475208604,7431527336,792160586,577163110,577179494,2,1,25395176840,73389,73389,2,2,2,577163110,7,3,524120,31181274,3538182,118242,57033,7475208604,3377396,93547453,4570
