timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5028.34,3,262144,64,27911,1839310736,64,52,117,1,585,367738,3,4212,67,28,124484256,1172,1,66,4547,180963,2,9334,585,5277479,6515970,589544758,585,301,2,1,2,2,415,1,587112860,540928611,21761644,41459590,41459590,2,1,1824221960,73389,73389,2,2,2,41459590,5,3,305002,4588646,1214453,11411,4481,587112860,356327,4062264,3877
10055.52,3,262144,64,33535,2210008816,64,52,118,1,585,445410,3,5799,67,28,124749708,1172,1,66,5375,352987,2,9334,585,7181291,11313403,698578517,585,301,2,1,2,2,415,1,695640476,649341247,49338458,49880078,49880078,2,1,2194723432,73389,73389,2,2,2,49880078,5,3,309157,7120617,1290328,15126,5309,695640476,430284,5889982,3877
15080.83,3,262144,64,38883,2562088056,64,52,119,1,585,518593,3,7312,67,28,124749708,1172,1,66,6156,532675,2,9334,585,8895389,16069433,801558508,585,301,2,1,2,2,415,1,798138780,752258543,84153812,57870708,57887092,2,1,2546311152,73389,73389,2,2,2,57870708,5,3,317653,9780030,1388462,18841,6091,798138780,499752,7505297,3877
20110.20,3,262144,64,44346,2922234840,64,52,120,1,585,593563,3,8859,67,28,125015160,1172,1,66,6960,730316,2,9334,585,11443958,21787565,907437424,585,301,2,1,2,2,415,1,903520668,857527833,133138402,66061820,66078204,2,1,2906720080,73389,73389,2,2,2,66061820,5,3,321795,12686956,1490518,22436,6895,903520668,571127,9951833,3877
25132.87,3,262144,64,50323,3316067128,64,52,121,1,585,681252,3,10542,67,28,125280612,1172,1,66,7840,870273,2,9334,585,13087109,26455782,1023182826,585,301,2,1,2,2,415,1,1018732956,972768180,180317160,74998404,75014788,2,1,3299929776,73389,73389,2,2,2,74998404,5,3,325699,15445133,1582834,34039,7774,1018732956,647213,11501908,3877
30183.25,3,262144,64,57519,3790065318,64,52,122,1,585,774212,3,12561,67,28,125280612,1172,1,66,8896,945229,2,9334,585,16034585,31878293,1162218671,585,301,2,1,2,2,415,1,1157144988,1111259911,215633647,85792413,85792413,2,1,3774866172,73389,73389,2,2,2,85792413,5,3,335705,18047020,1723458,38469,8831,1157144988,735743,14309100,3877
35197.48,3,262144,64,63696,4197270258,64,52,123,1,585,864639,3,14301,67,28,125546064,1172,1,66,9803,1122734,2,9334,585,17678063,36768632,1281781916,585,301,2,1,2,2,415,1,1276158364,1230302978,282463126,95038134,95054518,2,1,4181677896,73389,73389,2,2,2,95038134,5,3,343294,20862120,1835416,50239,9738,1276158364,814400,15841146,3877
40209.47,3,262144,64,69447,4576025958,64,52,124,1,585,943137,3,15924,67,28,125546064,1172,1,66,10649,1267438,2,9334,585,19560096,41758634,1393053087,585,301,2,1,2,2,415,1,1386914204,1341064076,305713793,103641005,103657389,2,1,4560204220,73389,73389,2,2,2,103641005,5,3,348048,23706941,1931341,54104,10583,1386914204,889033,17627649,3877
45221.40,3,262144,64,76612,5048245918,64,52,125,1,585,1039238,3,17933,67,28,125811516,1172,1,66,11700,1402326,2,9334,585,22107472,46498923,1531431389,585,301,2,1,2,2,415,1,1524670876,1479102582,419636339,114383703,114383703,2,1,5032882932,73389,73389,2,2,2,114383703,5,3,355432,26239059,2057416,61813,11634,1524670876,977425,20049687,3877
50228.04,3,262144,64,115163,7588769078,64,52,132,1,585,1347205,3,28794,67,28,127102578,1172,1,66,17367,1412468,2,9334,585,32366681,47922895,2277049867,585,301,2,1,2,2,415,1,2267455900,2221703621,515744500,172112988,172129372,2,1,7572971472,73389,73389,2,2,2,172112988,5,3,382204,27164818,2286078,71373,17301,2267455900,1275832,30080952,3877
55233.76,3,262144,64,158955,10474383258,64,52,139,1,585,1701374,3,41153,67,28,128152320,1172,1,66,23801,1414393,2,9334,585,42921574,48109363,3123560067,585,301,2,1,2,2,415,1,3110773148,3065203607,550769274,237710023,237710023,2,1,10458520116,73389,73389,2,2,2,237693639,5,3,405331,27941122,2510853,81864,23735,3110773148,1619510,40410950,3877
60239.66,3,262144,64,201281,13263390758,64,52,146,1,585,2031232,3,53073,67,28,129214128,1172,1,66,30018,1417012,2,9334,585,52652708,48348216,3941522795,585,301,2,1,2,2,415,1,3925647772,3880465262,586817629,301083152,301099536,2,1,13247658688,73389,73389,2,2,2,301083152,5,3,420645,28693238,2688919,91973,29952,3925647772,1939259,49963071,3877
65245.35,3,262144,64,248149,16351462426,64,52,154,1,585,2398248,3,66254,67,28,130275936,1172,1,66,36903,1419369,2,9334,585,65168308,48467097,4847376650,585,301,2,1,2,2,415,1,4828078492,4783247572,622331829,371261230,371277614,2,1,16335494120,73389,73389,2,2,2,371261230,5,3,439099,29505346,2890052,102151,36837,4828078492,2296097,62276550,3877
70250.64,3,262144,64,297731,19618653662,64,52,162,1,585,2785564,3,80268,67,28,131603196,1172,1,66,44186,1420499,2,9334,585,76336521,48541930,5805570110,585,301,2,1,2,2,415,1,5782675868,5738337701,654010302,445540897,445540897,2,1,19603078572,73389,73389,2,2,2,445524513,5,3,466460,30325101,3109449,112249,44120,5782675868,2673315,73224964,3877
75256.21,3,262144,64,350806,23115823954,64,52,171,1,585,3214640,3,95238,67,28,132930456,1172,1,66,51982,1421135,2,9334,585,87104705,48551210,6831276598,585,301,2,1,2,2,415,1,6804513180,6760661802,679993679,525013848,525030232,2,1,23100609312,73389,73389,2,2,2,525013848,5,3,488325,31148083,3301476,122877,51916,6804513180,3091763,83801293,3877
