timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5031.59,3,262144,64,27879,1837213584,64,51,117,585,561547,10,4203,59,67,94143,124484256,1172,1,66,4543,351836,2,106323,585,5773826,10602804,589097501,585,2545,2,1,2,2,797,1,586588572,540355341,36057254,41394054,41410438,2,1,1821338376,73389,73389,2,2,2,41394054,15,3,185953,7727515,1225254,32328,4477,586588572,529219,4548853,12909
10054.98,3,262144,64,35046,2309564616,64,51,118,585,673105,10,6213,59,67,94143,124749708,1172,1,66,5596,568968,2,106323,585,8158690,15378341,727737212,585,2545,2,1,2,2,797,1,724607388,678386008,71590440,52136752,52153136,2,1,2294017088,73389,73389,2,2,2,52136752,15,3,191741,10345784,1353786,49328,5530,724607388,623777,6805576,12909
15075.32,3,262144,64,39868,2626924567,64,51,119,585,744375,10,7584,59,67,94143,124749708,1172,1,66,6303,768910,2,106323,585,10274114,20644372,820840957,585,2545,2,1,2,2,797,1,817275292,771175906,116767957,59351301,59367685,2,1,2611457244,73389,73389,2,2,2,59351301,15,3,195253,12827076,1451808,52999,6237,817275292,691376,8823042,12909
20089.51,3,262144,64,44672,2943599576,64,51,120,585,814896,10,8949,59,67,94143,125015160,1172,1,66,7007,1044656,2,106323,585,11584399,25265606,913675111,585,2545,2,1,2,2,797,1,909681052,863785566,166419796,66553340,66569724,2,1,2928346960,73389,73389,2,2,2,66553340,15,3,197046,15693466,1532185,56521,6942,909681052,758375,10052589,12909
25113.14,3,262144,64,49691,3274648376,64,51,121,585,892392,10,10371,59,67,94143,125280612,1172,1,66,7748,1322576,2,106323,585,13523615,30869358,1011120670,585,2545,2,1,2,2,797,1,1006674332,960606731,233891142,74064516,74080900,2,1,3258838704,73389,73389,2,2,2,74064516,15,3,198781,18849625,1612828,67023,7682,1006674332,825369,11911307,12909
30134.09,3,262144,64,54159,3569055936,64,51,121,585,956062,10,11587,59,67,94143,125280612,1172,1,66,8403,1591322,2,106323,585,14567504,35597381,1097381657,585,2545,2,1,2,2,797,1,1092526492,1046688545,295107871,80752618,80769002,2,1,3553115192,73389,73389,2,2,2,80752618,15,3,199336,21877824,1673868,70571,8337,1092526492,885491,12894261,12909
35153.68,3,262144,64,59086,3893556586,64,51,122,585,1025536,10,12990,59,67,94143,125280612,1172,1,66,9127,1847882,2,106323,585,16034682,40791672,1192721603,585,2545,2,1,2,2,797,1,1187422620,1141475780,313661748,88137040,88153424,2,1,3878029760,73389,73389,2,2,2,88137040,15,3,200724,25186951,1742438,74111,9061,1187422620,951425,14292804,12909
40178.82,3,262144,64,64317,4238233566,64,51,123,585,1104535,10,14469,59,67,94143,125546064,1172,1,66,9895,2009223,2,106323,585,17466780,45683303,1293851338,585,2545,2,1,2,2,797,1,1288085916,1242299745,359282276,95978055,95978055,2,1,4223034420,73389,73389,2,2,2,95978055,15,3,202024,27711174,1805935,84993,9829,1288085916,1019542,15661772,12909
45184.37,3,262144,64,87872,5790163058,64,51,127,585,1322566,10,21114,59,67,94143,126076968,1172,1,66,13356,2070053,2,106323,585,24431435,50515473,1749271505,585,2545,2,1,2,2,797,1,1741726108,1695943088,545441298,131243222,131259606,2,1,5774701768,73389,73389,2,2,2,131243222,15,3,226423,29516205,2009959,92885,13290,1741726108,1229681,22422769,12909
50204.50,3,262144,64,106044,6987960870,64,51,130,585,1518589,10,26233,59,67,94143,126837126,1172,1,66,16026,2154771,2,106323,585,28427711,53694414,2100648188,585,2545,2,1,2,2,797,1,2091688348,2046004904,572701052,158466448,158482832,2,1,6972523712,73389,73389,2,2,2,158466448,15,3,231108,31352413,2172266,105401,15960,2091688348,1413188,26256126,12909
55210.42,3,262144,64,134084,8835412034,64,51,135,585,1774311,10,34133,59,67,94143,127368030,1172,1,66,20144,2183416,2,106323,585,34424610,56518905,2642495014,585,2545,2,1,2,2,797,1,2631442844,2586122740,626284041,200460677,200460677,2,1,8819548892,73389,73389,2,2,2,200444293,15,3,249556,32790290,2371080,117186,20078,2631442844,1657125,32054010,12909
60215.90,3,262144,64,176841,11652665550,64,51,142,585,2120650,10,46188,59,67,94143,128417772,1172,1,66,26425,2185526,2,106323,585,46264707,56760945,3468865817,585,2545,2,1,2,2,797,1,3454706076,3409611664,714534443,264489166,264489166,2,1,11636802408,73389,73389,2,2,2,264472782,15,3,272086,33526188,2575444,126937,26359,3454706076,1993713,43689512,12909
65230.28,3,262144,64,189538,12489554278,64,51,144,585,2271530,10,49773,59,67,94143,128948676,1172,1,66,28292,2262560,2,106323,585,51159292,61108794,3714605490,585,2545,2,1,2,2,797,1,3699417500,3654244815,879124560,283496704,283513088,2,1,12473854976,73389,73389,2,2,2,283496704,15,3,283774,35543123,2796131,133496,28226,3699417500,2138034,48364174,12909
70255.81,3,262144,64,201335,13266929702,64,51,146,585,2418939,10,53100,59,67,94143,129214128,1172,1,66,30024,2349615,2,106323,585,54835710,65744957,3942587090,585,2545,2,1,2,2,797,1,3926434204,3881492291,1031838659,301165072,301181456,2,1,13251263168,73389,73389,2,2,2,301165072,15,3,295923,37667942,2999259,142704,29958,3926434204,2276235,51837319,12909
75261.44,3,262144,64,220546,14532578098,64,51,149,585,2612470,10,58495,59,67,94143,129479580,1172,1,66,32847,2411851,2,106323,585,60613519,70209992,4314086380,585,2545,2,1,2,2,797,1,4296450460,4251527880,1101557625,329938745,329938745,2,1,14516583884,73389,73389,2,2,2,329922361,15,3,317451,39642899,3240922,156193,32781,4296450460,2456277,57373932,12909
