timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.10,12,262144,64,22669,1493912860,111,585,432157,11,2729,56,124484256,1172,1,55,3766,2849601,2,817135,585,3768273,26705377,488572832,585,1562,2,1,2,2,1035,1,486318492,439962543,36155605,33610383,33610383,2,1,1478856852,73389,73389,2,2,2,33610383,17,3,127577,23860731,838341,73331,3712,486318492,358826,2928517,9072
10134.42,12,262144,64,27393,1805097636,112,585,498374,11,4071,56,124484256,1172,1,55,4459,3060472,2,817135,585,5084534,31784050,579837837,585,1562,2,1,2,2,1035,1,577151388,530973089,60700793,40667125,40683509,2,1,1789353500,73389,73389,2,2,2,40667125,17,3,139609,27244186,932168,76443,4405,577151388,421931,4149655,9072
15204.89,12,262144,64,31925,2103699500,113,585,561175,11,5359,56,124749708,1172,1,55,5127,3276784,2,817135,585,6253001,36701493,667679423,585,1562,2,1,2,2,1035,1,664576412,618266856,84620687,47453531,47469915,2,1,2087955364,73389,73389,2,2,2,47453531,17,3,145443,30432860,992890,79335,5072,664576412,481840,5256097,9072
20411.49,12,262144,64,35885,2364814772,113,585,616850,11,6439,56,124749708,1172,1,55,5710,3535310,2,817135,585,7428649,42039729,744463206,585,1562,2,1,2,2,1035,1,740991388,694587889,98323677,53387969,53404353,2,1,2349070636,73389,73389,2,2,2,53387969,17,3,149362,34015738,1056083,82141,5655,740991388,534709,6368252,9072
25447.62,12,262144,64,40261,2652927568,114,585,679276,11,7692,56,124749708,1172,1,55,6349,3799881,2,817135,585,9510004,48247384,828750061,585,1562,2,1,2,2,1035,1,824877468,778793573,163566730,59947158,59963542,2,1,2637674952,73389,73389,2,2,2,59947158,17,3,153988,37291065,1150529,85154,6295,824877468,594122,8355642,9072
30470.13,12,262144,64,45407,2992033988,115,585,750280,11,9149,56,125015160,1172,1,55,7108,3952170,2,817135,585,11315140,53998534,928571772,585,1562,2,1,2,2,1035,1,924230044,877964683,236425498,67657101,67657101,2,1,2976912444,73389,73389,2,2,2,67657101,17,3,157038,40165217,1238201,88357,7053,924230044,661923,10072823,9072
35498.94,12,262144,64,53066,3496894184,116,585,846986,11,11292,56,125280612,1172,1,55,8229,4081657,2,817135,585,13351847,58546822,1076300408,585,1562,2,1,2,2,1035,1,1071292828,1025569488,327292403,79118536,79134920,2,1,3481215584,73389,73389,2,2,2,79118536,17,3,162446,42637800,1341643,93160,8175,1071292828,753826,12006702,9072
40504.19,12,262144,64,82291,5422283026,121,585,1102319,11,19534,56,125811516,1172,1,55,12523,4143314,2,817135,585,20884642,61079382,1641041880,585,1562,2,1,2,2,1035,1,1633853852,1588445914,401200367,122871886,122888270,2,1,5406362984,73389,73389,2,2,2,122871886,17,3,180847,44179818,1536170,101158,12468,1633853852,1001161,19345181,9072
45509.09,12,262144,64,129491,8532812474,129,585,1488391,11,32837,56,127368030,1172,1,55,19460,4144168,2,817135,585,30628928,61094952,2553857410,585,1562,2,1,2,2,1035,1,2543231388,2497669811,422030221,193584159,193584159,2,1,8516982100,73389,73389,2,2,2,193567775,17,3,192567,44943671,1673645,110146,19405,2543231388,1378245,28951799,9072
50514.17,12,262144,64,181009,11927412310,138,585,1908722,11,47387,56,128683224,1172,1,55,27028,4144961,2,817135,585,41402606,61098579,3549550224,585,1562,2,1,2,2,1035,1,3535184284,3489955343,450956916,270718516,270734900,2,1,11911614704,73389,73389,2,2,2,270718516,17,3,214044,45763159,1857789,119705,26973,3535184284,1789017,39540993,9072
55519.19,12,262144,64,231812,15275153906,146,585,2308288,11,61686,56,130010484,1172,1,55,34489,4145801,2,817135,585,52581652,61099492,4531184691,585,1562,2,1,2,2,1035,1,4513112476,4468586106,476345989,346804297,346820681,2,1,15259389068,73389,73389,2,2,2,346804297,17,3,225281,46557506,2034905,129259,34434,4513112476,2179029,50542550,9072
60524.22,12,262144,64,284548,18749914438,155,585,2732694,11,76563,56,131337744,1172,1,55,42241,4146505,2,817135,585,63389060,61101180,5551106695,585,1562,2,1,2,2,1035,1,5529182620,5484387477,503839772,425779695,425796079,2,1,18734306580,73389,73389,2,2,2,425779695,17,3,248545,47384835,2226664,139204,42186,5529182620,2593490,61158488,9072
65528.66,12,262144,64,341969,22533496898,165,585,3199921,11,92718,56,132665004,1172,1,55,50672,4147156,2,817135,585,73958150,61107056,6660354876,585,1562,2,1,2,2,1035,1,6634250652,6590381951,527329799,511785100,511785100,2,1,22517823504,73389,73389,2,2,2,511768716,17,3,278429,48279170,2442322,149232,50617,6634250652,3050689,71511719,9072
70532.35,12,262144,64,400738,26405538872,175,585,3658478,11,109266,56,133992264,1172,1,55,59304,4147389,2,817135,585,83722900,61185033,7795483297,585,1562,2,1,2,2,1035,1,7765069525,7722333698,578069803,599785035,599785035,2,1,26390541540,73389,73389,2,2,2,599785035,17,3,302162,49149278,2627318,158905,59249,7765069525,3499573,81091602,9072
