timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5047.95,5,262144,64,24153,1591699188,111,0,585,397326,17,3132,67,20634,124484256,1172,1,66,3996,1118387,2,41780,585,4625261,20989340,517388373,585,871,2,1,2,2,591,1,515023260,468589841,35631079,35817905,35834289,2,1,1575987820,73389,73389,2,2,2,35817905,11,3,173708,16680329,974816,26350,3931,515023260,370976,3652136,16018
10092.72,5,262144,64,30277,1995165268,112,0,585,484060,17,4859,67,20634,124484256,1172,1,66,4895,1211653,2,41780,585,7048000,26237336,635639169,585,871,2,1,2,2,591,1,632725916,586518813,68469715,45000249,45000249,2,1,1980010956,73389,73389,2,2,2,45000249,11,3,185714,19154358,1081837,30350,4829,632725916,453710,5967797,16018
15097.34,5,262144,64,41885,2759888936,114,0,585,626470,17,8097,67,20634,124749708,1172,1,66,6601,1349335,2,41780,585,10176919,30767450,860197410,585,871,2,1,2,2,591,1,856334748,810056629,151954078,62367672,62384056,2,1,2744177568,73389,73389,2,2,2,62367672,11,3,207795,21360889,1271897,38420,6535,856334748,588050,8906264,16018
20111.25,5,262144,64,86462,5697226394,122,0,585,994663,17,20730,67,20634,126076968,1172,1,66,13146,1356886,2,41780,585,19675683,31724709,1721314490,585,871,2,1,2,2,591,1,1714200988,1668789086,201653077,129134004,129150388,2,1,5681896176,73389,73389,2,2,2,129134004,11,3,249858,22434045,1536389,47395,13081,1714200988,947268,18141077,16018
25123.87,5,262144,64,99601,6563323354,124,0,585,1159347,17,24420,67,20634,126571674,1172,1,66,15080,1399136,2,41780,585,24471136,36523267,1975879922,585,871,2,1,2,2,591,1,1967694236,1921965236,265964769,148819319,148819319,2,1,6548050036,73389,73389,2,2,2,148819319,11,3,266052,24486296,1757842,60392,15014,1967694236,1098955,22714031,16018
30129.31,5,262144,64,146170,9631992814,132,0,585,1542679,17,37515,67,20634,127886868,1172,1,66,21920,1413086,2,41780,585,34450528,37698050,2875844810,585,871,2,1,2,2,591,1,2864226716,2818976122,320643650,218561062,218577446,2,1,9616686728,73389,73389,2,2,2,218561062,11,3,314111,25511982,2000570,70152,21854,2864226716,1472527,32450427,16018
35153.24,5,262144,64,181128,11935211094,138,0,585,1856014,17,47424,67,20634,128683224,1172,1,66,27059,1447525,2,41780,585,41837619,39333195,3551909328,585,871,2,1,2,2,591,1,3537674652,3492237332,353551530,270898740,270915124,2,1,11919544560,73389,73389,2,2,2,270898740,11,3,338486,26893074,2185531,78965,26993,3537674652,1777049,39652233,16018
40158.57,5,262144,64,198810,13100389494,141,0,585,2046506,17,52372,67,20634,129214128,1172,1,66,29654,1507709,2,41780,585,46487121,43327725,3893553267,585,871,2,1,2,2,591,1,3877937564,3832852249,436905956,297389004,297389004,2,1,13084395280,73389,73389,2,2,2,297372620,11,3,360183,28770475,2419156,86339,29588,3877937564,1960167,44068798,16018
45170.02,5,262144,64,218359,14388454510,144,0,585,2252077,17,57908,67,20634,129479580,1172,1,66,32526,1539885,2,41780,585,52211472,47138230,4271502777,585,871,2,1,2,2,591,1,4254376348,4209430747,509417419,326660230,326660230,2,1,14373050120,73389,73389,2,2,2,326660230,11,3,373653,30648237,2609451,101526,32460,4254376348,2150551,49603646,16018
50187.87,5,262144,64,229796,15142236974,146,0,585,2389268,17,61137,67,20634,130010484,1172,1,66,34203,1583400,2,41780,585,56433326,51874606,4492383940,585,871,2,1,2,2,591,1,4474315164,4429722115,555118948,343787926,343804310,2,1,15126668744,73389,73389,2,2,2,343787926,11,3,389044,32804236,2822165,107898,34138,4474315164,2281370,53612223,16018
