timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.35,5,262144,64,31484,2074798124,113,1,585,445060,2,5241,57,1,124749708,1172,1,56,5063,252291,2,223122,585,6289215,10269573,658843788,585,1039,2,1,2,2,768,1,656056732,609806942,29891051,46798171,46814555,2,1,2059119524,73389,73389,2,2,2,46798171,11,3,217150,7067994,1243952,15900,5007,656056732,429160,5047088,6726
10046.51,5,262144,64,43362,2857481964,115,1,585,600532,2,8589,57,1,125015160,1172,1,56,6807,346124,2,223122,585,10923153,14951594,888407629,585,1039,2,1,2,2,768,1,884646300,838629800,85477038,64597611,64597611,2,1,2841573988,73389,73389,2,2,2,64581227,11,3,238343,9136165,1448908,33304,6751,884646300,567228,9475106,6726
15055.41,5,262144,64,79971,5269443150,121,1,585,915138,2,18899,57,1,125811516,1172,1,56,12184,383285,2,223122,585,19232738,16875533,1595889826,585,1039,2,1,2,2,768,1,1589420444,1543777766,142638839,119413147,119413147,2,1,5253457572,73389,73389,2,2,2,119396763,11,3,258291,10475186,1628452,42052,12128,1589420444,873086,17604874,6726
20078.64,5,262144,64,88232,5814021470,122,1,585,1023475,2,21212,57,1,126076968,1172,1,56,13398,509461,2,223122,585,21653205,21383548,1755714363,585,1039,2,1,2,2,768,1,1748541852,1702945049,177249956,131789927,131789927,2,1,5798756788,73389,73389,2,2,2,131789927,11,3,263107,12921532,1749270,46897,13342,1748541852,976578,19904527,6726
25094.13,5,262144,64,94781,6245581670,123,1,585,1115266,2,23054,57,1,126318288,1172,1,56,14359,745867,2,223122,585,23329978,25720903,1882382345,585,1039,2,1,2,2,768,1,1874633116,1829030919,201799025,141600896,141600896,2,1,6230439424,73389,73389,2,2,2,141600896,11,3,267137,15675421,1845000,51132,14304,1874633116,1064134,21485268,6726
30109.91,5,262144,64,101315,6676182962,124,1,585,1225915,2,24888,57,1,126571674,1172,1,56,15324,936436,2,223122,585,25919647,31382165,2009313901,585,1039,2,1,2,2,768,1,2000986524,1954966356,246176189,151370905,151387289,2,1,6660319820,73389,73389,2,2,2,151370905,11,3,272406,18606309,1959830,55502,15268,2000986524,1170413,23958935,6726
35122.13,5,262144,64,109979,7247172290,126,1,585,1339017,2,27363,57,1,126837126,1172,1,56,16594,1077935,2,223122,585,28705922,35963819,2176503619,585,1039,2,1,2,2,768,1,2167447964,2121813843,312322023,164353893,164370277,2,1,7231571292,73389,73389,2,2,2,164353893,11,3,280408,20866629,2100350,60188,16538,2167447964,1278829,26604338,6726
40146.73,5,262144,64,120760,7957432234,128,1,585,1478852,2,30392,57,1,127102578,1172,1,56,18176,1172901,2,223122,585,32281006,40803661,2384877806,585,1039,2,1,2,2,768,1,2374934940,2329383445,424487487,180502867,180519251,2,1,7942126148,73389,73389,2,2,2,180502867,11,3,298777,23307148,2307410,67596,18121,2374934940,1411256,29972419,6726
45170.51,5,262144,64,130679,8611200146,129,1,585,1609079,2,33173,57,1,127368030,1172,1,56,19635,1254181,2,223122,585,35467996,45536869,2576812260,585,1039,2,1,2,2,768,1,2566037916,2520581702,464427109,195365697,195365697,2,1,8596090668,73389,73389,2,2,2,195365697,11,3,308447,25702513,2472033,73196,19579,2566037916,1535883,32993575,6726
50189.55,5,262144,64,145145,9564299576,132,1,585,1777356,2,37283,57,1,127886868,1172,1,56,21760,1330361,2,223122,585,40445048,50092052,2856495389,585,1039,2,1,2,2,768,1,2844565916,2799211669,562652204,217025284,217025284,2,1,9549112496,73389,73389,2,2,2,217025284,11,3,331305,27748536,2696152,80462,21704,2844565916,1696894,37746533,6726
55217.82,5,262144,64,154331,10169486630,133,1,585,1901457,2,39843,57,1,127886868,1172,1,56,23111,1434062,2,223122,585,43825941,55229151,3034352241,585,1039,2,1,2,2,768,1,3021644188,2976086124,663794976,230770128,230786512,2,1,10153885632,73389,73389,2,2,2,230770128,11,3,344697,29990428,2861779,88455,23055,3021644188,1813002,40961922,6726
60229.97,5,262144,64,162255,10691713866,135,1,585,2011436,2,42062,57,1,128152320,1172,1,56,24274,1551837,2,223122,585,46601158,59980708,3187469616,585,1039,2,1,2,2,768,1,3174080924,3128702061,695512275,242641163,242657547,2,1,10676211172,73389,73389,2,2,2,242641163,11,3,352618,32417134,2995410,93603,24218,3174080924,1917833,43603576,6726
65252.52,5,262144,64,170323,11223378286,136,1,585,2124235,2,44367,57,1,128417772,1172,1,56,25459,1688842,2,223122,585,49391576,64969020,3343480917,585,1039,2,1,2,2,768,1,3329401244,3284140250,738158894,254733382,254733382,2,1,11207547912,73389,73389,2,2,2,254716998,11,3,368247,34792765,3150245,104867,25403,3329401244,2019368,46238669,6726
70267.14,5,262144,64,194759,12833310446,140,1,585,2346506,2,51252,57,1,128948676,1172,1,56,29050,1740596,2,223122,585,55797842,68589459,3816016688,585,1039,2,1,2,2,768,1,3800080796,3754724288,797919242,291323494,291323494,2,1,12817512840,73389,73389,2,2,2,291307110,11,3,394941,36510551,3366439,112593,28994,3800080796,2233913,52427923,6726
75299.64,5,262144,64,204211,13456207594,142,1,585,2463032,2,53938,57,1,129214128,1172,1,56,30436,1845956,2,223122,585,59997621,73393364,3998605245,585,1039,2,1,2,2,768,1,3981877660,3936839281,946272078,305467587,305483971,2,1,13440573828,73389,73389,2,2,2,305467587,11,3,405716,38849754,3554893,118629,30381,3981877660,2344403,56439290,6726
80319.95,5,262144,64,213795,14087755494,143,1,585,2594025,2,56607,57,1,129479580,1172,1,56,31844,1932861,2,223122,585,62857183,77938966,4183830945,585,1039,2,1,2,2,768,1,4166295964,4121469405,973207257,319832864,319832864,2,1,14071925120,73389,73389,2,2,2,319816480,11,3,421552,41087653,3744199,137813,31788,4166295964,2456212,59110827,6726
85330.86,5,262144,64,250268,16491129566,149,2,585,2926913,2,66885,57,1,130275936,1172,1,56,37202,1958321,2,223122,585,71347586,81027555,4888942828,585,1039,2,1,2,2,768,1,4868710812,4824066775,1100429846,374441441,374457825,2,1,16475423404,73389,73389,2,2,2,374441441,11,3,449409,42533702,3972290,150351,37147,4868710812,2776562,67373675,6726
90344.34,5,262144,64,263884,17388245878,152,2,585,3102741,2,70763,57,1,130541388,1172,1,56,39203,2008731,2,223122,585,75642307,85375115,5152190459,585,1039,2,1,2,2,768,1,5130854812,5086278656,1146635953,394841619,394841619,2,1,17373031236,73389,73389,2,2,2,394841619,11,3,457985,44647168,4153711,160354,39148,5130854812,2942387,71486798,6726
95348.70,5,262144,64,312870,20616112206,160,2,585,3520177,2,84509,57,1,131868648,1172,1,56,46399,2018541,2,223122,585,86188978,86574453,6098956834,585,1039,2,1,2,2,768,1,6074048924,6030002907,1188865756,468205941,468205941,2,1,20600340508,73389,73389,2,2,2,468189557,11,3,497163,45707689,4429600,169950,46343,6074048924,3350227,81757631,6726
100359.46,5,262144,64,359641,23698019938,168,2,585,3913203,2,97755,57,1,133195908,1172,1,56,53270,2030981,2,223122,585,95616543,87460612,7002973731,585,1039,2,1,2,2,768,1,6974644636,6930852988,1244266451,538250788,538250788,2,1,23682313776,73389,73389,2,2,2,538234404,11,3,515126,46799620,4629637,179410,53214,6974644636,3733793,90985326,6726
105380.93,5,262144,64,368762,24298959218,169,2,585,4035240,2,100299,57,1,133461360,1172,1,56,54609,2084750,2,223122,585,98365127,92154181,7179382043,585,1039,2,1,2,2,768,1,7150281116,7106487143,1353549925,551897328,551913712,2,1,24283482432,73389,73389,2,2,2,551897328,11,3,523188,49119767,4768056,185171,54554,7150281116,3850069,93595349,6726
110402.69,5,262144,64,376534,24810971596,170,2,585,4141223,2,102474,57,1,133461360,1172,1,56,55751,2233710,2,223122,585,100336709,96384377,7329605206,585,1039,2,1,2,2,768,1,7299834268,7256188562,1370772603,563532954,563549338,2,1,24795449976,73389,73389,2,2,2,563532954,11,3,526901,51666255,4887493,190426,55695,7299834268,3950797,95447164,6726
