timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.40,262144,64,66669,4393170594,118,585,708858,3,15111,67,255,125546064,1172,1,66,10240,39311,2,1790,585,12419591,1323983,1338431542,585,295,2,1,2,2,282,1,1333305756,1287599330,23929599,99485946,99502330,2,1,4377381624,73389,73389,2,2,2,99485946,4,3,376888,2227075,1666661,14251,10174,1333305756,694607,10752347,3860
10013.00,262144,64,116924,7704720944,127,585,1114260,3,29310,67,255,127102578,1172,1,66,17625,39658,2,1790,585,23073306,1324620,2310045353,585,295,2,1,2,2,282,1,2301272476,2255591683,49935774,174762878,174762878,2,1,7688845736,73389,73389,2,2,2,174746494,4,3,400165,2978662,1845477,22275,17559,2301272476,1091985,21227210,3860
15021.51,262144,64,161555,10645573214,134,585,1499234,3,41868,67,255,128152320,1172,1,66,24180,48147,2,1790,585,31193815,1972849,3172489236,585,295,2,1,2,2,282,1,3160449436,3115174536,76420785,241594746,241611130,2,1,10630168824,73389,73389,2,2,2,241594746,4,3,432039,4084532,2026637,33941,24114,3160449436,1465293,29165550,3860
20025.36,262144,64,178930,11790366610,137,585,1713960,3,46746,67,255,128417772,1172,1,66,26734,99054,2,1790,585,37132371,5995802,3508612857,585,295,2,1,2,2,282,1,3495207324,3449854522,151347676,267620225,267620225,2,1,11774569004,73389,73389,2,2,2,267603841,4,3,458648,5922566,2333568,45941,26668,3495207324,1668019,34796890,3860
25030.47,262144,64,236733,15599321670,147,585,2173104,3,63030,67,255,130010484,1172,1,66,35225,100197,2,1790,585,47643044,6477317,4625780633,585,295,2,1,2,2,282,1,4608139676,4563400861,200772926,354172335,354188719,2,1,15583582740,73389,73389,2,2,2,354172335,4,3,499688,6795131,2574606,55442,35159,4608139676,2117662,45066562,3860
30034.96,262144,64,295060,19442545198,157,585,2645451,3,79485,67,255,131603196,1172,1,66,43795,102666,2,1790,585,57554759,6674721,5753330062,585,295,2,1,2,2,282,1,5731426716,5686910622,233930769,441519069,441535453,2,1,19426839036,73389,73389,2,2,2,441519069,4,3,530918,7761408,2803562,66387,43729,5731426716,2579064,54748662,3860
35045.65,262144,64,328016,21614294954,162,585,2928132,3,88799,67,255,132399552,1172,1,66,48637,130775,2,1790,585,64313412,8471310,6390553695,585,295,2,1,2,2,282,1,6366208412,6321684671,286241572,490885210,490901594,2,1,21598949240,73389,73389,2,2,2,490885210,4,3,552015,9018625,2968172,74271,48572,6366208412,2853861,61342461,3860
40055.86,262144,64,336375,22165030350,164,585,3045590,3,91189,67,255,132665004,1172,1,66,49862,242460,2,1790,585,67816848,13210836,6551698084,585,295,2,1,2,2,282,1,6526640540,6482685527,334446563,503411605,503411605,2,1,22149389724,73389,73389,2,2,2,503395221,4,3,564959,11453760,3136728,82557,49796,6526640540,2963033,64676632,3860
45066.11,262144,64,342502,22568451718,165,585,3128170,3,92919,67,255,132665004,1172,1,66,50761,376215,2,1790,585,69481752,17600111,6670073153,585,295,2,1,2,2,282,1,6644474268,6600583515,363641367,512571532,512587916,2,1,22553147408,73389,73389,2,2,2,512571532,4,3,573658,14098762,3256254,86407,50695,6644474268,3041763,66222658,3860
50098.86,262144,64,348088,22936635298,166,585,3211091,3,94494,67,255,132930456,1172,1,66,51583,620843,2,1790,585,72208974,23819318,6778312679,585,295,2,1,2,2,282,1,6752215452,6708313909,500153049,520926484,520942868,2,1,22920765296,73389,73389,2,2,2,520926484,4,3,584586,17095194,3375712,95859,51517,6752215452,3115232,68830219,3860
55109.70,262144,64,353193,23273054742,167,585,3288342,3,95939,67,255,132930456,1172,1,66,52332,977900,2,1790,585,73444349,28406892,6877078897,585,295,2,1,2,2,282,1,6850519452,6806570263,514080222,528595467,528595467,2,1,23258200548,73389,73389,2,2,2,528595467,4,3,588708,20174640,3447769,104525,52267,6850519452,3183817,69992260,3860
60132.48,262144,64,357935,23585419166,167,585,3353317,3,97238,67,255,132930456,1172,1,66,53029,1173651,2,1790,585,75499485,33835202,6968737336,585,295,2,1,2,2,282,1,6941745564,6897915184,544927964,535693169,535693169,2,1,23570499436,73389,73389,2,2,2,535693169,4,3,596828,23420455,3536770,107749,52963,6941745564,3245568,71958719,3860
65174.18,262144,64,362323,23874583846,168,585,3416839,3,98487,67,255,133195908,1172,1,66,53672,1375185,2,1790,585,76793189,38551283,7053555536,585,295,2,1,2,2,282,1,7026155932,6982467348,571547511,542250199,542266583,2,1,23859008756,73389,73389,2,2,2,542250199,4,3,600052,26499987,3604318,111876,53607,7026155932,3304963,73184764,3860
70193.54,262144,64,366894,24176007066,169,585,3481425,3,99789,67,255,133461360,1172,1,66,54345,1566551,2,1790,585,77788374,43018700,7142058135,585,295,2,1,2,2,282,1,7114236316,7070571335,587755228,549099982,549116366,2,1,24160399208,73389,73389,2,2,2,549099982,4,3,603807,29849461,3665054,114976,54279,7114236316,3366449,74119430,3860
75214.28,262144,64,373430,24606486044,170,585,3571160,3,101628,67,255,133461360,1172,1,66,55305,1742226,2,1790,585,80809761,48927700,7268594269,585,295,2,1,2,2,282,1,7240196508,7196371756,708141576,558888534,558904918,2,1,24591095496,73389,73389,2,2,2,558888534,4,3,613229,32510231,3785330,119390,55240,7240196508,3451770,77019950,3860
80231.90,262144,64,400365,26381254476,174,585,3816705,3,109193,67,255,133992264,1172,1,66,59261,1781921,2,1790,585,87386086,52729053,7788882786,585,295,2,1,2,2,282,1,7758465782,7715270158,861127832,599230138,599230138,2,1,26366126072,73389,73389,2,2,2,599230138,4,3,641182,34004946,3976468,132006,59195,7758465782,3684699,83404426,3860
