timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5026.55,6,262144,64,49332,3250855500,116,585,584305,7,10218,67,6811,125280612,1172,1,66,7695,814696,2,151712,585,9709804,12580710,1003827468,585,1200,2,1,2,2,778,1,999727516,953687857,47009440,73534195,73534195,2,1,3235504580,73389,73389,2,2,2,73534195,16,3,282418,10407718,1403067,17972,7629,999727516,566333,8305808,7318
10032.72,6,262144,64,97999,6457803778,124,585,982651,7,23931,67,6811,126571674,1172,1,66,14843,817820,2,151712,585,20634918,12701252,1944131256,585,1200,2,1,2,2,778,1,1936499100,1891051622,73983125,146415189,146431573,2,1,6442268316,73389,73389,2,2,2,146415189,16,3,312728,11224048,1587243,27270,14777,1936499100,955381,19046944,7318
15038.13,6,262144,64,146794,9673152730,132,585,1376634,7,37727,67,6811,127886868,1172,1,66,22014,818712,2,151712,585,31039975,12763797,2887746024,585,1200,2,1,2,2,778,1,2876547484,2831014290,106396776,219500983,219500983,2,1,9657322356,73389,73389,2,2,2,219484599,16,3,359654,12011519,1827920,36634,21948,2876547484,1340000,29211297,7318
20041.82,6,262144,64,199409,13139911010,141,585,1805403,7,52541,67,6811,129214128,1172,1,66,29740,819257,2,151712,585,41787696,12790692,3904257865,585,1200,2,1,2,2,778,1,3889209756,3844339921,133009539,298279773,298296157,2,1,13124310012,73389,73389,2,2,2,298279773,16,3,390915,12817961,2033689,46034,29674,3889209756,1759369,39753124,7318
25072.34,6,262144,64,250326,16494930654,149,585,2228791,7,66900,67,6811,130275936,1172,1,66,37222,820566,2,151712,585,51632232,13258863,4888692281,585,1200,2,1,2,2,778,1,4869890460,4825199487,182239892,374523361,374539745,2,1,16479027884,73389,73389,2,2,2,374523361,16,3,421002,13850450,2248611,55624,37156,4869890460,2173167,49382500,7318
30097.60,6,262144,64,257712,16981634070,151,585,2340972,7,68972,67,6811,130541388,1172,1,66,38307,935770,2,151712,585,53396764,17428442,5031546982,585,1200,2,1,2,2,778,1,5012103580,4967403908,235159491,385585547,385601931,2,1,16965764068,73389,73389,2,2,2,385585547,16,3,429224,16193991,2382565,73305,38241,5012103580,2267667,51013192,7318
35160.77,6,262144,64,263730,17378153334,152,585,2426922,7,70693,67,6811,130541388,1172,1,66,39191,1107710,2,151712,585,56309342,22750308,5147955221,585,1200,2,1,2,2,778,1,5127971228,5083336518,349267206,394595859,394612243,2,1,17362217796,73389,73389,2,2,2,394595859,16,3,439890,18840254,2495911,77564,39125,5127971228,2349358,53811881,7318
40431.39,6,262144,64,269160,17735992638,152,585,2502206,7,72201,67,6811,130806840,1172,1,66,39988,1367704,2,151712,585,57679692,27513969,5252915123,585,1200,2,1,2,2,778,1,5232435612,5187823439,386110252,402731786,402754203,2,1,17720198584,73389,73389,2,2,2,402731786,16,3,449717,21760920,2608831,81061,39922,5232435612,2421145,55068414,7318
45453.23,6,262144,64,275863,18177548854,154,585,2590670,7,74141,67,6811,130806840,1172,1,66,40974,1618129,2,151712,585,60148674,32837680,5382743705,585,1200,2,1,2,2,778,1,5361672604,5317055278,475869406,412788515,412804899,2,1,18162694660,73389,73389,2,2,2,412788515,16,3,461448,24355003,2718069,85281,40908,5361672604,2505389,57429232,7318
50459.42,6,262144,64,288633,19018956258,156,585,2737086,7,77715,67,6811,131337744,1172,1,66,42850,1659830,2,151712,585,63904666,37544582,5629534640,585,1200,2,1,2,2,778,1,5607432604,5563012365,529252782,431912900,431912900,2,1,19004167600,73389,73389,2,2,2,431912900,16,3,471338,26598394,2875262,94278,42784,5607432604,2642808,61028002,7318
55485.46,6,262144,64,302767,19950285670,158,585,2885381,7,81696,67,6811,131603196,1172,1,66,44928,1725622,2,151712,585,67778564,41598872,5903156757,585,1200,2,1,2,2,778,1,5879931292,5835376025,637066814,453072775,453072775,2,1,19935202100,73389,73389,2,2,2,453072775,16,3,485266,28776253,3028499,100031,44862,5879931292,2785350,64749177,7318
60514.30,6,262144,64,309337,20383246258,159,585,2971266,7,83544,67,6811,131868648,1172,1,66,45889,1820406,2,151712,585,70112571,46077156,6029827235,585,1200,2,1,2,2,778,1,6006022556,5961826322,684220018,462908320,462924704,2,1,20367966080,73389,73389,2,2,2,462908320,16,3,494472,31157144,3160170,104106,45824,6006022556,2867160,66950696,7318
65540.01,6,262144,64,315020,20757557576,160,585,3060270,7,85149,67,6811,131868648,1172,1,66,46727,1965375,2,151712,585,72535369,51478763,6140041828,585,1200,2,1,2,2,778,1,6115729820,6071301222,775518657,471412887,471429271,2,1,20742167028,73389,73389,2,2,2,471412887,16,3,500209,33898373,3254292,120323,46661,6115729820,2939947,69279567,7318
70565.68,6,262144,64,321998,21217510238,161,585,3154119,7,87107,67,6811,132134100,1172,1,66,47753,2110472,2,151712,585,74230757,56012085,6275133002,585,1200,2,1,2,2,778,1,6250209692,6205745429,807833237,481877057,481877057,2,1,21202590508,73389,73389,2,2,2,481877057,16,3,506981,36587229,3367253,124833,47687,6250209692,3029286,70862751,7318
75586.23,6,262144,64,329740,21727544470,163,585,3257025,7,89328,67,6811,132399552,1172,1,66,48889,2279576,2,151712,585,77218943,61177240,6424698826,585,1200,2,1,2,2,778,1,6399107484,6354841283,908707897,493455339,493471723,2,1,21712034916,73389,73389,2,2,2,493455339,16,3,516764,39233814,3490029,129637,48823,6399107484,3127388,73728180,7318
80591.33,6,262144,64,364245,24001340394,168,585,3535100,7,99012,67,6811,133195908,1172,1,66,53957,2300780,2,151712,585,85284274,62951068,7091384732,585,1200,2,1,2,2,778,1,7063249308,7019463382,996294278,545135498,545151882,2,1,23985961912,73389,73389,2,2,2,545135498,16,3,543781,40315281,3667937,138145,53891,7063249308,3396955,81615784,7318
