timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.60,262144,64,57496,3788557990,117,0,585,612561,2,12557,67,612,125280612,1172,1,66,8893,60174,2,11040,585,10513321,2866861,1161238626,585,281,2,1,2,2,268,1,1156751772,1110808294,35369350,85759645,85759645,2,1,3773424380,73389,73389,2,2,2,85759645,3,3,335390,2826561,1390166,14933,8827,1156751772,597628,9122979,3619
10055.56,262144,64,64185,4229582814,118,0,585,705927,2,14435,67,612,125546064,1172,1,66,9876,180254,2,11040,585,12304465,7178843,1290671446,585,281,2,1,2,2,268,1,1285595548,1239766792,51634840,95781447,95781447,2,1,4214383668,73389,73389,2,2,2,95781447,3,3,347700,5255918,1500406,19278,9810,1285595548,686649,10804228,3619
15075.32,262144,64,69849,4602636882,119,0,585,796717,2,16034,67,612,125546064,1172,1,66,10707,284245,2,11040,585,14510573,11962310,1400107057,585,281,2,1,2,2,268,1,1394516380,1348882715,82677914,104253246,104253246,2,1,4587142824,73389,73389,2,2,2,104253246,3,3,354038,7809385,1602637,30937,10641,1394516380,765780,12907503,3619
20104.58,262144,64,74582,4914676934,120,0,585,863221,2,17379,67,612,125811516,1172,1,66,11402,508932,2,11040,585,16510300,16880395,1491636685,585,281,2,1,2,2,268,1,1485611420,1440007466,130090963,111340597,111356981,2,1,4898986268,73389,73389,2,2,2,111340597,3,3,369901,10624089,1703449,34335,11336,1485611420,828886,14807782,3619
25126.50,262144,64,82331,5424916532,121,0,585,964463,2,19548,67,612,125811516,1172,1,66,12539,696017,2,11040,585,19156642,22044330,1641329826,585,281,2,1,2,2,268,1,1634640284,1589183437,185976292,122937422,122953806,2,1,5409246568,73389,73389,2,2,2,122937422,3,3,379987,13404020,1833166,39536,12473,1634640284,924927,17324955,3619
30134.98,262144,64,100682,6634433222,124,0,585,1159297,2,24717,67,612,126571674,1172,1,66,15238,771835,2,11040,585,23564532,26118614,1996516162,585,281,2,1,2,2,268,1,1988403612,1942672946,225840214,150430984,150447368,2,1,6618963296,73389,73389,2,2,2,150430984,3,3,401256,15524864,2017096,53844,15172,1988403612,1105453,21549435,3619
35158.39,262144,64,109653,7225542102,126,0,585,1276089,2,27273,67,612,126837126,1172,1,66,16554,899014,2,11040,585,26891698,30772890,2169763031,585,281,2,1,2,2,268,1,2160894364,2115509315,256084983,163872724,163872724,2,1,7210399856,73389,73389,2,2,2,163872724,3,3,412843,17889898,2161782,59088,16488,2160894364,1217001,24731472,3619
40174.92,262144,64,116197,7656822886,127,0,585,1366797,2,29112,67,612,127102578,1172,1,66,17517,1043013,2,11040,585,29209879,35342140,2296563193,585,281,2,1,2,2,268,1,2287116700,2241592963,333306371,173675501,173675501,2,1,7641001148,73389,73389,2,2,2,173659117,3,3,419147,20560119,2267727,63186,17451,2287116700,1303611,26944076,3619
45198.36,262144,64,122140,8048402818,128,0,585,1447829,2,30789,67,612,127102578,1172,1,66,18390,1190644,2,11040,585,31458553,40429661,2411390659,585,281,2,1,2,2,268,1,2401411484,2355995886,397955029,182579317,182579317,2,1,8033489948,73389,73389,2,2,2,182579317,3,3,427124,22859181,2373313,67008,18324,2401411484,1380821,29087572,3619
50236.39,262144,64,129035,8502928058,129,0,585,1547115,2,32724,67,612,127368030,1172,1,66,19404,1336368,2,11040,585,34475932,45683445,2545036421,585,281,2,1,2,2,268,1,2534449564,2488886219,491583827,192896031,192912415,2,1,8487425364,73389,73389,2,2,2,192896031,3,3,437181,25403999,2518324,72133,19338,2534449564,1474982,31960568,3619
55249.98,262144,64,137009,9028166642,130,0,585,1649662,2,34953,67,612,127368030,1172,1,66,20575,1432147,2,11040,585,36707595,50178752,2699206759,585,281,2,1,2,2,268,1,2687934876,2642450977,576089751,204842953,204842953,2,1,9012369036,73389,73389,2,2,2,204826569,3,3,447806,27557522,2661981,76669,20509,2687934876,1572993,34048478,3619
60255.78,262144,64,180238,11876618602,138,0,585,1998431,2,47127,67,612,128417772,1172,1,66,26928,1451206,2,11040,585,47147304,51238969,3535061786,585,281,2,1,2,2,268,1,3520635292,3475113163,626510876,269565603,269581987,2,1,11860886532,73389,73389,2,2,2,269565603,3,3,484111,28500244,2916904,86331,26862,3520635292,1912100,44233339,3619
65266.43,262144,64,225826,14880466342,145,0,585,2360212,2,59997,67,612,129745032,1172,1,66,33620,1454842,2,11040,585,57716294,51595440,4415531142,585,281,2,1,2,2,268,1,4397769116,4353224363,657667441,337845296,337845296,2,1,14864472128,73389,73389,2,2,2,337828912,3,3,518224,29439790,3155448,96605,33554,4397769116,2263607,54564056,3619
70286.02,262144,64,233673,15397647306,146,1,585,2460636,2,62195,67,612,130010484,1172,1,66,34775,1573260,2,11040,585,60136457,56149545,4567591692,585,281,2,1,2,2,268,1,4549157276,4504422442,752723380,349601643,349601643,2,1,15382472292,73389,73389,2,2,2,349601643,3,3,523701,32009936,3259029,101121,34709,4549157276,2359515,56881197,3619
75309.52,262144,64,239435,15777196298,147,1,585,2540413,2,63821,67,612,130010484,1172,1,66,35622,1745988,2,11040,585,61961843,60632369,4679128955,585,281,2,1,2,2,268,1,4660175260,4615416544,782745086,358220898,358220898,2,1,15761719512,73389,73389,2,2,2,358220898,3,3,532786,34606156,3367335,104896,35556,4660175260,2435517,58597433,3619
80328.91,262144,64,245943,16206093654,149,1,585,2634239,2,65690,67,612,130275936,1172,1,66,36578,1942133,2,11040,585,65105722,66072234,4805142670,585,281,2,1,2,2,268,1,4785611164,4740706806,866897136,367966331,367982715,2,1,16190518564,73389,73389,2,2,2,367966331,3,3,544146,37287243,3498519,110960,36513,4785611164,2523279,61609834,3619
85344.88,262144,64,255618,16843605330,150,1,585,2762583,2,68397,67,612,130541388,1172,1,66,37999,2029894,2,11040,585,68332565,71040797,4992077901,585,281,2,1,2,2,268,1,4971733404,4927085539,994890025,382462680,382462680,2,1,16828357920,73389,73389,2,2,2,382462680,3,3,556220,39546792,3657731,119857,37933,4971733404,2642726,64677680,3619
90366.63,262144,64,264935,17457655118,152,1,585,2888760,2,71049,67,612,130806840,1172,1,66,39367,2163569,2,11040,585,71187328,75791900,5172172034,585,281,2,1,2,2,268,1,5151039900,5106538999,1083308854,396410165,396426549,2,1,17442047260,73389,73389,2,2,2,396410165,3,3,563736,42018960,3803537,129078,39301,5151039900,2759682,67386488,3619
95377.34,262144,64,274452,18084546654,153,1,585,3012477,2,73703,67,612,130806840,1172,1,66,40767,2230059,2,11040,585,74355992,80521355,5356472677,585,281,2,1,2,2,268,1,5334540700,5289799855,1169749157,410679297,410679297,2,1,18069889068,73389,73389,2,2,2,410679297,3,3,571842,44277035,3958466,134826,40701,5334540700,2877651,70400069,3619
100382.19,262144,64,311015,20494012022,159,1,585,3328826,2,84000,67,612,131868648,1172,1,66,46139,2267403,2,11040,585,81904690,82545331,6063296355,585,281,2,1,2,2,268,1,6038659484,5994245927,1228822054,465416787,465433171,2,1,20478338628,73389,73389,2,2,2,465416787,3,3,587637,45394549,4147392,143272,46073,6038659484,3185554,77759651,3619
105387.30,262144,64,360464,23752221518,168,1,585,3731113,2,97928,67,612,133195908,1172,1,66,53399,2268083,2,11040,585,94272526,82548157,7018490404,585,281,2,1,2,2,268,1,6990242204,6946653355,1259637521,539485621,539485621,2,1,23736646428,73389,73389,2,2,2,539469237,3,3,601839,46175505,4323498,152590,53333,6990242204,3578523,89951421,3619
