timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5038.78,10,262144,64,26457,1743490488,112,0,585,411895,5,3816,67,22086,124484256,1172,1,66,4333,1945185,2,342268,585,5453042,18974503,561599426,585,944,2,1,2,2,549,1,559063452,512917599,35386120,39268452,39284836,2,1,1727811888,73389,73389,2,2,2,39268452,11,3,183928,15363813,1113192,15623,4267,559063452,396272,4339286,10280
10055.30,10,262144,64,45254,2982006980,115,0,585,600476,5,9105,67,22086,125015160,1172,1,66,7095,1994427,2,342268,585,9904038,22678721,925080487,585,944,2,1,2,2,549,1,921084316,875041372,87470236,67427725,67427725,2,1,2966099004,73389,73389,2,2,2,67411341,11,3,204573,17177502,1301141,24229,7029,921084316,576247,8602754,10280
15073.88,10,262144,64,52994,3492175592,116,0,585,700122,5,11273,67,22086,125280612,1172,1,66,8231,2096460,2,342268,585,12900365,27613742,1074643709,585,944,2,1,2,2,549,1,1069982108,1024207341,123421791,79020232,79020232,2,1,3476890208,73389,73389,2,2,2,79020232,11,3,207966,19633563,1407976,28973,8165,1069982108,671149,11491806,10280
20101.57,10,262144,64,60142,3963028054,117,0,585,805663,5,13278,67,22086,125280612,1172,1,66,9282,2274373,2,342268,585,15197105,32519781,1213026306,585,944,2,1,2,2,549,1,1207738780,1161791590,151537897,89715937,89732321,2,1,3947501228,73389,73389,2,2,2,89715937,11,3,214135,22277846,1510644,44965,9216,1207738780,760698,13685018,10280
25122.19,10,262144,64,66457,4379276962,118,0,585,891658,5,15054,67,22086,125546064,1172,1,66,10210,2426799,2,342268,585,17792196,37526803,1335223288,585,944,2,1,2,2,549,1,1329373596,1283482049,214467478,99174650,99191034,2,1,4363684600,73389,73389,2,2,2,99174650,11,3,220898,24957160,1635063,49028,10144,1329373596,842630,16155669,10280
30141.61,10,262144,64,73708,4856867566,120,0,585,994772,5,17139,67,22086,125811516,1172,1,66,11273,2531328,2,342268,585,20269665,42415813,1475183139,585,944,2,1,2,2,549,1,1468703132,1423166838,246005700,110034195,110034195,2,1,4841504580,73389,73389,2,2,2,110034195,11,3,227115,27443879,1749597,55568,11207,1468703132,939204,18519774,10280
35147.34,10,262144,64,84854,5591313602,122,0,585,1129383,5,20237,67,22086,125811516,1172,1,66,12912,2649311,2,342268,585,23519945,46855471,1690921599,585,944,2,1,2,2,549,1,1683530140,1637822848,286296854,126729874,126729874,2,1,5575393560,73389,73389,2,2,2,126713490,11,3,240844,29713292,1918841,65874,12846,1683530140,1063509,21600852,10280
40152.30,10,262144,64,132628,8739460714,130,0,585,1506015,5,33705,67,22086,127368030,1172,1,66,19933,2651122,2,342268,585,34775902,47179397,2614538500,585,944,2,1,2,2,549,1,2603655580,2558074605,319874504,198269539,198285923,2,1,8723859716,73389,73389,2,2,2,198269539,11,3,277790,30535233,2163938,76451,19867,2603655580,1429564,32611491,10280
45172.69,10,262144,64,172837,11388932146,136,0,585,1839940,5,45054,67,22086,128417772,1172,1,66,25840,2678545,2,342268,585,43960582,48123859,3391888392,585,944,2,1,2,2,549,1,3378028956,3332526386,347637678,258487033,258503417,2,1,11373429452,73389,73389,2,2,2,258487033,11,3,299380,31738523,2357055,86239,25774,3378028956,1753701,41603238,10280
50184.22,10,262144,64,179455,11825038462,137,0,585,1927731,5,46914,67,22086,128417772,1172,1,66,26810,2850778,2,342268,585,46149442,52708289,3519610624,585,944,2,1,2,2,549,1,3505168796,3459983644,457697287,268396306,268412690,2,1,11809437464,73389,73389,2,2,2,268396306,11,3,303333,34348516,2457493,92254,26744,3505168796,1835477,43691469,10280
55206.56,10,262144,64,184906,12184133362,138,0,585,2006328,5,48455,67,22086,128683224,1172,1,66,27612,3071908,2,342268,585,47709256,57142919,3625350667,585,944,2,1,2,2,549,1,3610419612,3565008412,478393310,276565001,276565001,2,1,12168860044,73389,73389,2,2,2,276565001,11,3,304130,36834075,2526449,99842,27547,3610419612,1906486,45183294,10280
60222.78,10,262144,64,191691,12631449642,139,0,585,2096153,5,50361,67,22086,128948676,1172,1,66,28609,3226650,2,342268,585,49870683,62016169,3756625294,585,944,2,1,2,2,549,1,3741098396,3695694922,516601535,286726067,286742451,2,1,12615946948,73389,73389,2,2,2,286726067,11,3,308921,39450835,2615551,104338,28544,3741098396,1991815,47255997,10280
65241.83,10,262144,64,202104,13317592338,141,1,585,2222823,5,53310,67,22086,129214128,1172,1,66,30137,3313407,2,342268,585,53153168,66519958,3957635987,585,944,2,1,2,2,549,1,3941245340,3896288649,563586038,302317985,302334369,2,1,13301991340,73389,73389,2,2,2,302317985,11,3,312786,41724444,2740697,112064,30071,3941245340,2110759,50413967,10280
70255.54,10,262144,64,210702,13883990838,143,1,585,2335276,5,55764,67,22086,129479580,1172,1,66,31401,3394430,2,342268,585,56783098,71921520,4124041367,585,944,2,1,2,2,549,1,4106920348,4061895197,895296404,315188444,315204828,2,1,13868291536,73389,73389,2,2,2,315188444,11,3,320294,44182182,2890067,117784,31335,4106920348,2217492,53894192,10280
75271.88,10,262144,64,221328,14584092702,144,1,585,2469821,5,58718,67,22086,129479580,1172,1,66,32962,3493270,2,342268,585,60455461,76997349,4329523419,585,944,2,1,2,2,549,1,4311523740,4266614636,1076695373,331108042,331108042,2,1,14568753848,73389,73389,2,2,2,331108042,11,3,335982,46549457,3094146,126584,32896,4311523740,2343237,57362416,10280
80278.81,10,262144,64,269371,17749965526,152,1,585,2869250,5,72252,67,22086,130806840,1172,1,66,40020,3505007,2,342268,585,70485201,78046607,5258117284,585,944,2,1,2,2,549,1,5236629916,5192037843,1106784159,403049115,403065499,2,1,17734161060,73389,73389,2,2,2,403049115,11,3,366921,47533267,3329256,136109,39954,5236629916,2733141,67157103,10280
85283.63,10,262144,64,320862,21142795890,161,1,585,3282355,5,86742,67,22086,132134100,1172,1,66,47585,3505535,2,342268,585,81234077,78050306,6253310515,585,944,2,1,2,2,549,1,6228189596,6183923267,1132444703,480167088,480183472,2,1,21127351872,73389,73389,2,2,2,480167088,11,3,388120,48342313,3526339,145588,47519,6228189596,3136767,77708623,10280
90288.22,10,262144,64,370664,24424405046,169,1,585,3682497,5,100780,67,22086,133461360,1172,1,66,54900,3507318,2,342268,585,90854048,78202900,7215871338,585,944,2,1,2,2,549,1,7186981276,7143193119,1224297388,554749859,554766243,2,1,24408993796,73389,73389,2,2,2,554749859,11,3,416467,49148100,3724486,154622,54834,7186981276,3527875,87130369,10280
95299.59,10,262144,64,386021,25436162504,172,1,585,3844201,5,105171,67,22086,133726812,1172,1,66,57153,3587005,2,342268,585,94835879,81847623,7512377987,585,944,2,1,2,2,549,1,7482286492,7438922499,1261280876,577742583,577758967,2,1,25420673652,73389,73389,2,2,2,577742583,11,3,422899,51452507,3864805,160585,57087,7482286492,3683616,90971789,10280
100314.56,10,262144,64,391626,25805615400,173,1,585,3922824,5,106754,67,22086,133992264,1172,1,66,57979,3838756,2,342268,585,96952681,86652165,7621150531,585,944,2,1,2,2,549,1,7590551964,7546978087,1329085068,586146687,586146687,2,1,25790454228,73389,73389,2,2,2,586146687,11,3,428667,54175260,3982424,164665,57913,7590551964,3758159,92970418,10280
105335.26,10,262144,64,397225,26174409628,174,1,585,4008872,5,108336,67,22086,133992264,1172,1,66,58801,4182082,2,342268,585,99299547,91880947,7729395157,585,944,2,1,2,2,549,1,7698293148,7654760961,1478667895,594520182,594536566,2,1,26158888008,73389,73389,2,2,2,594520182,11,3,439991,57106541,4128944,174318,58735,7698293148,3834554,95170759,10280
