timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.11,262144,64,33908,2234453744,113,585,448632,18,4,5899,67,137,124749708,1172,1,66,5429,96033,2,348,585,7222286,3952402,705534581,567,604,18,2,1,2,2,246,1,702718364,656482141,24880030,50437134,50437134,2,1,2219233896,73389,73389,2,2,2,50437134,4,3,371235,2722030,1841851,13421,5363,702718364,435211,5379472,3211
10032.88,262144,64,40897,2694873916,114,585,546147,18,4,7865,67,137,124749708,1172,1,66,6453,277734,2,348,585,10322950,9400249,840362472,567,604,18,2,1,2,2,246,1,836936092,791057752,56295024,60903463,60903463,2,1,2679752372,73389,73389,2,2,2,60903463,4,3,388689,5453634,1993793,18142,6387,836936092,528005,8328194,3211
15043.59,262144,64,47678,3141662600,115,585,645474,18,4,9768,67,137,125015160,1172,1,66,7451,386228,2,348,585,13152215,14772255,971769771,567,604,18,2,1,2,2,246,1,967745948,921643024,99165735,71050304,71066688,2,1,3126213376,73389,73389,2,2,2,71050304,4,3,398355,7964403,2127022,24916,7385,967745948,620558,11023825,3211
20048.14,262144,64,75256,4959113650,120,585,924180,18,4,17508,67,137,125811516,1172,1,66,11503,447707,2,348,585,19743251,17265924,1504944215,567,604,18,2,1,2,2,246,1,1498849692,1453017456,142550553,112346054,112362438,2,1,4943226376,73389,73389,2,2,2,112346054,4,3,414256,9696546,2310304,33754,11437,1498849692,890426,17431821,3211
25052.07,262144,64,125210,8250660146,128,585,1332528,18,4,31572,67,137,127102578,1172,1,66,18842,447822,2,348,585,29385079,17413716,2470621522,567,604,18,2,1,2,2,246,1,2460787100,2415148608,165860510,187174585,187174585,2,1,8235681740,73389,73389,2,2,2,187174585,4,3,428292,10437079,2454293,41906,18776,2460787100,1290622,26930197,3211
30056.48,262144,64,172689,11379232818,136,585,1729512,18,4,44964,67,137,128417772,1172,1,66,25815,448152,2,348,585,39304699,17610061,3388161676,567,604,18,2,1,2,2,246,1,3374752156,3329725614,212280523,258274041,258274041,2,1,11363336908,73389,73389,2,2,2,258257657,4,3,450964,11183155,2613443,49916,25749,3374752156,1679596,36690546,3211
35061.67,262144,64,221439,14591367198,144,585,2110938,18,4,58692,67,137,129479580,1172,1,66,32977,448578,2,348,585,49259406,17647289,4330561471,567,604,18,2,1,2,2,246,1,4313489820,4268754513,245717720,331271882,331271882,2,1,14575962808,73389,73389,2,2,2,331271882,4,3,483740,11907470,2796825,58236,32911,4313489820,2052702,46462397,3211
40066.03,262144,64,270119,17798986454,153,585,2494037,18,4,72465,67,137,130806840,1172,1,66,40129,449041,2,348,585,59453736,17731041,5271623153,567,604,18,2,1,2,2,246,1,5250916764,5206335350,269071213,404187803,404187803,2,1,17783542436,73389,73389,2,2,2,404171419,4,3,498401,12650037,2956985,66387,40063,5250916764,2427650,56496683,3211
45071.22,262144,64,320052,21089446278,161,585,2906960,18,4,86564,67,137,132134100,1172,1,66,47466,449355,2,348,585,69472383,17731703,6237052513,567,604,18,2,1,2,2,246,1,6212592028,6168339060,290086029,478965023,478965023,2,1,21073740116,73389,73389,2,2,2,478965023,4,3,517994,13409514,3107322,74869,47400,6212592028,2832091,66365397,3211
50076.63,262144,64,366324,24138386094,169,585,3281946,18,4,99633,67,137,133461360,1172,1,66,54262,449689,2,348,585,78776132,17752364,7131254754,567,604,18,2,1,2,2,246,1,7103357340,7059580616,330722548,548241981,548258365,2,1,24122647164,73389,73389,2,2,2,548241981,4,3,539231,14106133,3251872,82818,54196,7103357340,3199128,75525117,3211
55090.53,262144,64,387398,25526936480,172,585,3527780,18,4,105546,67,137,133726812,1172,1,66,57356,503269,2,348,585,86163522,22024592,7538427471,567,604,18,2,1,2,2,246,1,7508894108,7465493517,451106833,579802649,579819033,2,1,25511316556,73389,73389,2,2,2,579802649,4,3,553211,16013594,3520173,92249,57290,7508894108,3435531,82643214,3211
