timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.66,262144,64,81402,5363756070,121,0,585,826112,2,19239,67,40,125811516,1172,1,66,12404,33462,2,3797,585,13075203,966028,1623197274,585,370,2,1,2,2,284,1,1616945564,1571359140,25436492,121555133,121555133,2,1,5347704956,73389,73389,2,2,2,121538749,4,3,356581,2188397,1743530,16539,12338,1616945564,809573,11329607,3441
10020.04,262144,64,108321,7137982698,125,0,585,1098791,2,26856,67,40,126837126,1172,1,66,16360,89193,2,3797,585,19031857,3814067,2143778721,585,370,2,1,2,2,284,1,2135466396,2089868386,75182366,161876035,161892419,2,1,7122545540,73389,73389,2,2,2,161876035,4,3,368420,3937482,1975076,26113,16294,2135466396,1072678,17053298,3441
15035.86,262144,64,116192,7656495206,127,0,585,1210489,2,29112,67,40,127102578,1172,1,66,17515,202887,2,3797,585,21876630,8269669,2295974687,585,370,2,1,2,2,284,1,2286985628,2241471924,112369120,173659117,173675501,2,1,7641001148,73389,73389,2,2,2,173659117,4,3,376155,6252134,2115075,31735,17450,2286985628,1178754,19758331,3441
20046.07,262144,64,135468,8926644762,130,1,585,1436266,2,34533,67,40,127368030,1172,1,66,20349,239297,2,3797,585,27980673,12724113,2668809492,585,370,2,1,2,2,284,1,2658312604,2612777413,170859939,202520743,202537127,2,1,8910912692,73389,73389,2,2,2,202520743,4,3,396794,8015333,2385886,41115,20283,2658312604,1395151,25591332,3441
25061.87,262144,64,144687,9534272022,132,1,585,1574951,2,37158,67,40,127886868,1172,1,66,21705,327420,2,3797,585,30917368,16799717,2847320496,585,370,2,1,2,2,284,1,2836046236,2790370847,211134618,216337156,216353540,2,1,9518834864,73389,73389,2,2,2,216337156,4,3,405037,10277191,2552768,57847,21639,2836046236,1517104,28360242,3441
30072.73,262144,64,152010,10016581218,133,1,585,1692654,2,39210,67,40,127886868,1172,1,66,22779,465461,2,3797,585,33640636,21400270,2988728252,585,370,2,1,2,2,284,1,2976817564,2931388045,250080265,227295005,227311389,2,1,10000980220,73389,73389,2,2,2,227295005,4,3,414692,12667861,2710685,71129,22713,2976817564,1621525,30926512,3441
35082.84,262144,64,159710,10524128390,134,2,585,1829106,2,41364,67,40,128152320,1172,1,66,23911,561147,2,3797,585,36692339,26334542,3137768110,585,370,2,1,2,2,284,1,3125191068,3079715300,315071883,238830168,238846552,2,1,10508527392,73389,73389,2,2,2,238830168,4,3,426802,14860438,2873505,102048,23845,3125191068,1727058,33816172,3441
40098.18,262144,64,166330,10960100326,135,2,585,1924953,2,43226,67,40,128152320,1172,1,66,24882,684120,2,3797,585,38820092,30936775,3265618449,585,370,2,1,2,2,284,1,3252461980,3207198805,339581599,248749792,248749792,2,1,10944990848,73389,73389,2,2,2,248749792,4,3,433387,17341642,2980193,106507,24816,3252461980,1818446,35837038,3441
45112.62,262144,64,174128,11474070026,136,2,585,2033913,2,45405,67,40,128417772,1172,1,66,26028,835342,2,3797,585,41546978,35902977,3416501972,585,370,2,1,2,2,284,1,3402670492,3357407376,399527133,260432411,260432411,2,1,11459026084,73389,73389,2,2,2,260432411,4,3,437693,19851498,3092868,111727,25962,3402670492,1922186,38450757,3441
50163.61,262144,64,181671,11971062594,138,2,585,2140285,2,47571,67,40,128683224,1172,1,66,27136,908384,2,3797,585,44246882,40616965,3562383292,585,370,2,1,2,2,284,1,3547898268,3502711899,560305906,271723973,271723973,2,1,11955854812,73389,73389,2,2,2,271723973,4,3,448877,22377047,3232062,117394,27070,3547898268,2022891,41011879,3441
55176.62,262144,64,193144,12726938902,140,2,585,2289059,2,50813,67,40,128948676,1172,1,66,28822,984240,2,3797,585,48475929,45084534,3784308392,585,370,2,1,2,2,284,1,3768885660,3723660705,654901718,288902980,288902980,2,1,12711731120,73389,73389,2,2,2,288902980,4,3,461138,24582592,3417316,124504,28756,3768885660,2164555,45055378,3441
60188.35,262144,64,206710,13620778414,142,2,585,2461722,2,54621,67,40,129214128,1172,1,66,30814,1048865,2,3797,585,52437396,49367139,4046497295,585,370,2,1,2,2,284,1,4029981084,3984920342,784895830,309221238,309221238,2,1,13605013576,73389,73389,2,2,2,309204854,4,3,478513,26661370,3642285,131922,30748,4029981084,2329800,48792389,3441
65193.65,262144,64,254087,16742738810,150,2,585,2871382,2,67936,67,40,130541388,1172,1,66,37774,1052472,2,3797,585,61781767,50098172,4962218091,585,370,2,1,2,2,284,1,4942242204,4897622630,928438893,380156854,380173238,2,1,16726901576,73389,73389,2,2,2,380156854,4,3,509123,27565265,3852965,140577,37708,4942242204,2730805,57926229,3441
70199.52,262144,64,305756,20147500034,159,2,585,3293048,2,82514,67,40,131868648,1172,1,66,45367,1058665,2,3797,585,71262837,50358161,5961091330,585,370,2,1,2,2,284,1,5937340828,5892939998,979447438,457559388,457559388,2,1,20132613072,73389,73389,2,2,2,457559388,4,3,538252,28381821,4047043,149210,45301,5937340828,3143838,67212306,3441
75211.50,262144,64,340994,22469333846,164,4,585,3620098,2,92451,67,40,132665004,1172,1,66,50542,1100402,2,3797,585,79015739,52380564,6642285115,585,370,2,1,2,2,284,1,6615900572,6571640472,1006309488,510312699,510329083,2,1,22453758756,73389,73389,2,2,2,510312699,4,3,559780,29835640,4234640,158900,50477,6615900572,3461198,74777920,3441
80234.92,262144,64,348945,22993330554,166,4,585,3727257,2,94730,67,40,132930456,1172,1,66,51709,1262282,2,3797,585,81944270,56999201,6795797469,585,370,2,1,2,2,284,1,6768730524,6724865801,1040537040,522232886,522232886,2,1,22978246984,73389,73389,2,2,2,522232886,4,3,568179,32232516,4388737,165426,51643,6768730524,3561831,77552202,3441
85250.46,262144,64,359573,23693563490,168,4,585,3860968,2,97735,67,40,133195908,1172,1,66,53269,1401714,2,3797,585,86732018,62782151,7001155277,585,370,2,1,2,2,284,1,6973202844,6929540443,1124597527,538136100,538152484,2,1,23677988400,73389,73389,2,2,2,538136100,4,3,582270,34604132,4591138,171401,53203,6973202844,3689567,82136749,3441
