timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5018.68,2,262144,64,51136,3369613348,116,585,564113,2,10766,67,21,125280612,1172,1,66,7960,64514,2,14852,585,9157790,3536660,1038497513,585,327,2,1,2,2,299,1,1034461596,988412600,31906774,76233237,76233237,2,1,3354262428,73389,73389,2,2,2,76233237,5,3,357125,2972401,1436084,16144,7894,1034461596,547969,7721527,3536
10037.32,2,262144,64,59114,3895391594,117,585,672911,2,12998,67,21,125280612,1172,1,66,9129,143396,2,14852,585,12229107,8427133,1192405355,585,327,2,1,2,2,299,1,1187684764,1142056164,77928689,88186192,88186192,2,1,3880192448,73389,73389,2,2,2,88186192,5,3,361249,5334155,1548478,23505,9063,1187684764,649406,10680428,3536
15046.44,2,262144,64,69501,4579564902,119,585,812829,2,15937,67,21,125546064,1172,1,66,10657,222037,2,14852,585,16006778,13305204,1393548990,585,327,2,1,2,2,299,1,1387962780,1342070381,144580677,103722925,103739309,2,1,4563808700,73389,73389,2,2,2,103722925,5,3,364876,7527921,1707303,35954,10591,1387962780,776875,14299119,3536
20051.87,2,262144,64,118363,7799546086,127,585,1208499,2,29699,67,21,127102578,1172,1,66,17836,224765,2,14852,585,25912463,13585199,2338068982,585,327,2,1,2,2,299,1,2328928668,2283282748,183121414,176921248,176921248,2,1,7784534912,73389,73389,2,2,2,176921248,5,3,397705,8391853,1942251,45703,17770,2328928668,1162796,23969398,3536
25058.00,2,262144,64,164920,10867163662,135,585,1579724,2,42836,67,21,128152320,1172,1,66,24676,230733,2,14852,585,36209171,13867616,3237981918,585,327,2,1,2,2,299,1,3225461148,3180032323,222049088,246624190,246640574,2,1,10851464360,73389,73389,2,2,2,246624190,5,3,427259,9239037,2158639,55132,24610,3225461148,1524592,34050044,3536
30064.44,2,262144,64,211733,13952089358,143,585,1949852,2,56026,67,21,129479580,1172,1,66,31549,235304,2,14852,585,47742422,14127926,4142250253,585,327,2,1,2,2,299,1,4126319004,4081776904,260520129,316740606,316756990,2,1,13936586664,73389,73389,2,2,2,316740606,5,3,460703,10076208,2384872,65072,31483,4126319004,1884780,45356967,3536
35080.78,2,262144,64,236414,15578150234,147,585,2175825,2,62997,67,21,130010484,1172,1,66,35177,302459,2,14852,585,53993298,16870837,4619775174,585,327,2,1,2,2,299,1,4601979292,4557165742,300380364,353691166,353707550,2,1,15562411304,73389,73389,2,2,2,353691166,5,3,480087,11880566,2576848,72468,35112,4601979292,2103357,51415911,3536
40112.55,2,262144,64,242136,15955391502,148,585,2261890,2,64611,67,21,130275936,1172,1,66,36018,505723,2,14852,585,55637751,21144086,4730522857,585,327,2,1,2,2,299,1,4712210844,4667378069,321907888,362259110,362281527,2,1,15939400840,73389,73389,2,2,2,362259110,5,3,483917,14549662,2663708,86702,35953,4712210844,2175188,52973874,3536
45140.76,2,262144,64,247342,16298309422,149,585,2343418,2,66087,67,21,130275936,1172,1,66,36780,653056,2,14852,585,58183350,26885091,4830872404,585,327,2,1,2,2,299,1,4812087708,4767716488,401104076,370059165,370075549,2,1,16282603260,73389,73389,2,2,2,370059165,5,3,496305,17360520,2774492,100631,36715,4812087708,2242787,55408587,3536
50151.84,2,262144,64,252339,16627650978,150,585,2412047,2,67503,67,21,130541388,1172,1,66,37517,907613,2,14852,585,60230270,31751204,4927796088,585,327,2,1,2,2,299,1,4908556700,4863948361,435199916,377556116,377556116,2,1,16612469104,73389,73389,2,2,2,377556116,5,3,498278,20216119,2859595,104082,37451,4908556700,2307965,57370265,3536
55182.95,2,262144,64,258874,17058052354,151,585,2501797,2,69342,67,21,130541388,1172,1,66,38477,1128643,2,14852,585,62485260,36834423,5054199554,585,327,2,1,2,2,299,1,5034385820,4989710816,590607396,387328284,387344668,2,1,17042444496,73389,73389,2,2,2,387328284,5,3,512299,23055948,2967244,107994,38411,5034385820,2393803,59517708,3536
60196.37,2,262144,64,265414,17489046862,152,585,2587989,2,71178,67,21,130806840,1172,1,66,39438,1272851,2,14852,585,64645926,41417862,5180739445,585,327,2,1,2,2,299,1,5160346012,5115777269,614784052,397131061,397131061,2,1,17473045788,73389,73389,2,2,2,397114677,5,3,516486,25321317,3058826,112051,39372,5160346012,2475938,61587261,3536
65233.07,2,262144,64,271119,17865053358,153,585,2664361,2,72792,67,21,130806840,1172,1,66,40274,1397136,2,14852,585,66963167,46805964,5290956806,585,327,2,1,2,2,299,1,5270053276,5225675627,781052878,405674429,405690813,2,1,17849674876,73389,73389,2,2,2,405674429,5,3,523201,28011166,3181465,115654,40209,5270053276,2548707,63782072,3536
70243.30,2,262144,64,277095,18258820110,154,585,2742652,2,74477,67,21,131072292,1172,1,66,41156,1529393,2,14852,585,69339458,51784575,5406975029,585,327,2,1,2,2,299,1,5385527708,5340807406,876603851,414635589,414635589,2,1,18243965916,73389,73389,2,2,2,414635589,5,3,533722,30620768,3291964,119506,41090,5385527708,2623146,66047883,3536
75255.18,2,262144,64,283600,18687520858,155,585,2838598,2,76305,67,21,131337744,1172,1,66,42112,1642866,2,14852,585,71614615,56784683,5532856321,585,327,2,1,2,2,299,1,5510832540,5466154878,1039003435,424364638,424381022,2,1,18672044072,73389,73389,2,2,2,424364638,5,3,541419,33261499,3416840,135113,42046,5510832540,2703485,68197833,3536
80260.98,2,262144,64,309775,20412216478,159,585,3058529,2,83662,67,21,131868648,1172,1,66,45955,1684914,2,14852,585,77652149,59583678,6038515306,585,327,2,1,2,2,299,1,6014542236,5970330500,1197765646,463569713,463586097,2,1,20397067372,73389,73389,2,2,2,463569713,5,3,562743,34931365,3585472,143096,45889,6014542236,2915433,74067176,3536
85266.80,2,262144,64,354257,23343050498,167,585,3407620,2,96194,67,21,132930456,1172,1,66,52488,1686724,2,14852,585,88559889,59886546,6898067648,585,327,2,1,2,2,299,1,6870835612,6827053275,1236803405,530174364,530190748,2,1,23327672016,73389,73389,2,2,2,530174364,5,3,583295,35708993,3788193,153733,52422,6870835612,3253887,84772397,3536
90272.67,2,262144,64,397542,26195184540,174,585,3758776,2,108415,67,21,133992264,1172,1,66,58846,1687986,2,14852,585,99930410,60011020,7734583329,585,327,2,1,2,2,299,1,7704191388,7660826735,1265056997,594995318,595011702,2,1,26179793992,73389,73389,2,2,2,594995318,5,3,598752,36462286,3985022,163607,58780,7704191388,3595169,95946180,3536
