timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.19,3,262144,64,66509,4382684834,118,585,633248,3,15069,67,51,125546064,1172,1,66,10215,114469,2,23182,585,12222990,2218982,1335157082,585,376,2,1,2,2,437,1,1330028956,1284512465,26010448,99256570,99272954,2,1,4367289080,73389,73389,2,2,2,99256570,5,3,297057,2797135,1282706,16681,10149,1330028956,616567,10939503,4666
10038.09,3,262144,64,82116,5410814226,121,585,792497,3,19486,67,51,125811516,1172,1,66,12508,214621,2,23182,585,17290329,5796444,1637064096,585,376,2,1,2,2,437,1,1630708124,1585090636,67258118,122626126,122626126,2,1,5395549544,73389,73389,2,2,2,122626126,5,3,318231,4911347,1473615,22483,12443,1630708124,770014,15816319,4666
15084.44,3,262144,64,88066,5803142494,122,585,873085,3,21163,67,51,126076968,1172,1,66,13385,418800,2,23182,585,19437643,10578973,1752413114,585,376,2,1,2,2,437,1,1745527196,1699732936,104711806,131544167,131544167,2,1,5787222452,73389,73389,2,2,2,131527783,5,3,324005,7633708,1568403,26352,13319,1745527196,846733,17868937,4666
20128.50,3,262144,64,93600,6167664816,123,585,950167,3,22731,67,51,126318288,1172,1,66,14199,652508,2,23182,585,21445555,15589284,1859602139,585,376,2,1,2,2,437,1,1852219804,1806245794,166260299,139819358,139835742,2,1,6152051752,73389,73389,2,2,2,139819358,5,3,331446,10389464,1673137,29873,14133,1852219804,920294,19772359,4666
25164.70,3,262144,64,99236,6539137262,124,585,1026395,3,24323,67,51,126571674,1172,1,66,15027,922324,2,23182,585,23373072,20813955,1968638235,585,376,2,1,2,2,437,1,1960747420,1914862567,216922912,148272614,148272614,2,1,6523995016,73389,73389,2,2,2,148272614,5,3,338212,13327309,1772887,33570,14961,1960747420,992825,21599920,4666
30203.44,3,262144,64,105257,6936118586,125,585,1108341,3,26021,67,51,126837126,1172,1,66,15910,1089634,2,23182,585,25293355,25736143,2084911467,585,376,2,1,2,2,437,1,2076483996,2030875421,242858772,157297151,157297151,2,1,6921074644,73389,73389,2,2,2,157297151,5,3,345723,16042484,1886879,38806,15844,2076483996,1069535,23406139,4666
35229.40,3,262144,64,112104,7387232646,126,585,1199361,3,27944,67,51,126837126,1172,1,66,16915,1203576,2,23182,585,27886211,30646034,2217238418,585,376,2,1,2,2,437,1,2208211356,2162725142,318359628,167550488,167550488,2,1,7372221472,73389,73389,2,2,2,167550488,5,3,359331,18443914,2034283,42973,16849,2208211356,1156388,25850328,4666
40241.78,3,262144,64,118332,7797514470,127,585,1286111,3,29696,67,51,127102578,1172,1,66,17831,1364222,2,23182,585,30077091,36029251,2337850511,585,376,2,1,2,2,437,1,2328273308,2282726983,418054962,176872096,176872096,2,1,7782372224,73389,73389,2,2,2,176872096,5,3,365278,21344036,2141140,46958,17765,2328273308,1239153,27934112,4666
45278.13,3,262144,64,123994,8170437466,128,585,1364271,3,31296,67,51,127102578,1172,1,66,18662,1544574,2,23182,585,32087615,41069285,2447283123,585,376,2,1,2,2,437,1,2437194140,2391670773,530792302,185343895,185360279,2,1,8155131380,73389,73389,2,2,2,185343895,5,3,369908,24108478,2229144,50568,18597,2437194140,1313703,29854962,4666
50312.70,3,262144,64,130865,8623389842,129,585,1456202,3,33224,67,51,127368030,1172,1,66,19670,1675152,2,23182,585,34556844,46055874,2579998823,585,376,2,1,2,2,437,1,2569314716,2524116490,617121266,195644225,195644225,2,1,8608345900,73389,73389,2,2,2,195644225,5,3,373581,26697653,2322495,54649,19604,2569314716,1401553,32231006,4666
55318.95,3,262144,64,165721,10919923450,135,585,1749691,3,43059,67,51,128152320,1172,1,66,24794,1714692,2,23182,585,42582476,48171498,3254080967,585,376,2,1,2,2,437,1,3240796572,3195449065,688990116,247826255,247842639,2,1,10904355220,73389,73389,2,2,2,247826255,5,3,396392,28010159,2550276,63723,24728,3240796572,1685968,40028269,4666
60324.18,3,262144,64,211369,13927968802,143,585,2112155,3,55907,67,51,129479580,1172,1,66,31497,1716556,2,23182,585,54467068,48351172,4136133228,585,376,2,1,2,2,437,1,4119503260,4074718073,719048975,316193901,316210285,2,1,13912531644,73389,73389,2,2,2,316193901,5,3,435055,28812208,2825869,74726,31431,4119503260,2037429,51636884,4666
65329.07,3,262144,64,257278,16953191446,150,585,2463171,3,68850,67,51,130541388,1172,1,66,38245,1720366,2,23182,585,64424248,48532051,5023845399,585,376,2,1,2,2,437,1,5003977116,4959145294,750557390,384938379,384954763,2,1,16937288676,73389,73389,2,2,2,384938379,5,3,463016,29606734,3052827,85047,38179,5003977116,2378124,61367460,4666
70335.05,3,262144,64,304632,20073306666,158,585,2839384,3,82200,67,51,131603196,1172,1,66,45202,1723341,2,23182,585,76138063,48930280,5939165128,585,376,2,1,2,2,437,1,5915713948,5871310427,843250628,455859770,455876154,2,1,20057829880,73389,73389,2,2,2,455859770,5,3,502084,30420573,3286419,95547,45136,5915713948,2743837,72848383,4666
75339.91,3,262144,64,351828,23183067198,166,585,3226865,3,95514,67,51,132930456,1172,1,66,52135,1724249,2,23182,585,86883626,49052074,6851475223,585,376,2,1,2,2,437,1,6824567196,6780350825,881041074,526543593,526543593,2,1,23167197196,73389,73389,2,2,2,526527209,5,3,525974,31200586,3475606,105425,52069,6824567196,3121440,83405181,4666
80345.15,3,262144,64,398274,26243422344,174,585,3597648,3,108621,67,51,133992264,1172,1,66,58953,1724832,2,23182,585,96907780,49069963,7748514830,585,376,2,1,2,2,437,1,7718216092,7674972898,913223010,596099079,596099079,2,1,26227638580,73389,73389,2,2,2,596082695,5,3,545910,31923629,3612187,114107,58887,7718216092,3483541,93292878,4666
