timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.38,2,262144,64,68759,4530671738,119,585,655836,1,15731,67,14,125546064,1172,1,66,10546,66118,2,7797,585,13543711,2347025,1378578572,585,335,2,1,2,2,402,1,1373413788,1327824162,29379980,102619164,102619164,2,1,4515243216,73389,73389,2,2,2,102619164,5,3,288355,2924555,1275601,18089,10480,1373413788,637747,12268162,4574
10016.19,2,262144,64,119419,7869283006,127,585,1068471,1,29983,67,14,127102578,1172,1,66,17993,71507,2,7797,585,23861158,2414492,2358501993,585,335,2,1,2,2,402,1,2349506972,2303660425,56784433,178506178,178506178,2,1,7854271832,73389,73389,2,2,2,178506178,5,3,318973,3759635,1481144,28044,17927,2349506972,1040427,22378888,4574
15021.59,2,262144,64,175819,11585422306,137,585,1520944,1,45921,67,14,128417772,1172,1,66,26275,72293,2,7797,585,35183080,2421416,3448153557,585,335,2,1,2,2,402,1,3435045276,3389980485,89269988,262959421,262959421,2,1,11569493628,73389,73389,2,2,2,262943037,5,3,345978,4633945,1688932,39104,26209,3435045276,1481840,33493370,4574
20026.06,2,262144,64,225305,14846322086,145,585,1904676,1,59856,67,14,129745032,1172,1,66,33546,72793,2,7797,585,44657514,2466412,4404781899,585,335,2,1,2,2,402,1,4388069788,4343204845,120872420,337058864,337075248,2,1,14830590016,73389,73389,2,2,2,337058864,5,3,370269,5392623,1862478,47601,33480,4388069788,1857075,42794468,4574
25049.46,2,262144,64,253869,16728451962,150,585,2172737,1,67920,67,14,130541388,1172,1,66,37744,109878,2,7797,585,51478777,4775947,4957169294,585,335,2,1,2,2,402,1,4938310044,4893440428,173312087,379845558,379845558,2,1,16713204552,73389,73389,2,2,2,379845558,5,3,393445,7016612,2068228,55230,37678,4938310044,2117507,49410249,4574
30070.44,2,262144,64,262051,17267587486,151,585,2289581,1,70209,67,14,130541388,1172,1,66,38944,239171,2,7797,585,54388500,9483052,5115156199,585,335,2,1,2,2,402,1,5095596444,5051007133,252307069,392093425,392109809,2,1,17252110700,73389,73389,2,2,2,392093425,5,3,403432,9405868,2212975,62957,38878,5095596444,2226624,52174883,4574
35074.38,2,262144,64,278922,18379085286,154,585,2483189,1,74921,67,14,131072292,1172,1,66,41425,318526,2,7797,585,58104360,13313478,5441659537,585,335,2,1,2,2,402,1,5420786076,5375981829,344080018,417367399,417367399,2,1,18363444660,73389,73389,2,2,2,417351015,5,3,426812,11371597,2400077,80187,41359,5420786076,2403002,55704066,4574
40077.96,2,262144,64,335056,22078057462,163,585,2923920,1,90777,67,14,132399552,1172,1,66,49670,318998,2,7797,585,67946398,13477911,6526494769,585,335,2,1,2,2,402,1,6501474716,6457313549,406279738,501433459,501433459,2,1,22062351300,73389,73389,2,2,2,501417075,5,3,449637,12212131,2601628,89831,49604,6501474716,2834089,65344377,4574
45088.72,2,262144,64,359348,23678552438,168,585,3175130,1,97663,67,14,132930456,1172,1,66,53237,351602,2,7797,585,74660918,16561071,6995876029,585,335,2,1,2,2,402,1,6969008540,6925112287,458769455,537802387,537818771,2,1,23663305028,73389,73389,2,2,2,537802387,5,3,468603,13931081,2851631,99672,53171,6969008540,3075458,71808712,4574
50093.41,2,262144,64,400375,26381909836,174,585,3543690,1,109140,67,14,133992264,1172,1,66,59262,385068,2,7797,585,82692428,18881700,7788530453,585,335,2,1,2,2,402,1,7758596854,7715433292,530799941,599246522,599246522,2,1,26366846968,73389,73389,2,2,2,599246522,5,3,485502,15317102,3104397,109177,59196,7758596854,3434513,79587194,4574
