timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5025.63,3,262144,64,26899,1772457400,112,585,447040,10,3938,67,14198,124484256,1172,1,66,4398,1135401,2,136207,585,5580196,15782978,570132015,585,2288,2,1,2,2,830,1,567583132,521391904,36094756,39940196,39940196,2,1,1757368624,73389,73389,2,2,2,39940196,9,3,251439,12220798,1432606,15725,4332,567583132,431315,4145976,11663
10030.44,3,262144,64,41767,2752155688,114,585,613500,10,8100,67,14198,124749708,1172,1,66,6583,1190279,2,136207,585,10193518,20117222,857698660,585,2288,2,1,2,2,830,1,853975452,807832290,79138737,62203832,62203832,2,1,2736247712,73389,73389,2,2,2,62187448,9,3,284143,14150643,1689262,22444,6517,853975452,591056,8502574,11663
15035.25,3,262144,64,97598,6431258390,124,585,1067341,10,23830,67,14198,126571674,1172,1,66,14784,1190631,2,136207,585,20738796,20185674,1936695114,585,2288,2,1,2,2,830,1,1928896924,1883357461,108207133,145802948,145819332,2,1,6415329712,73389,73389,2,2,2,145802948,9,3,315328,15000052,1900730,31512,14718,1928896924,1035829,18835759,11663
20043.93,3,262144,64,123029,8106929774,128,585,1336450,10,31026,67,14198,127102578,1172,1,66,18522,1216916,2,136207,585,25852692,22707411,2428433000,585,2288,2,1,2,2,830,1,2418712988,2373132090,154300862,183896070,183912454,2,1,8091427080,73389,73389,2,2,2,183896070,9,3,332674,16675497,2121391,40210,18456,2418712988,1296240,23728966,11663
25048.44,3,262144,64,155603,10253379326,133,585,1630740,10,40189,67,14198,127886868,1172,1,66,23306,1260487,2,136207,585,33481451,25504082,3058028828,585,2288,2,1,2,2,830,1,3045892508,3000600548,249059539,232682738,232699122,2,1,10238040472,73389,73389,2,2,2,232682738,9,3,351614,17957589,2363907,49021,23240,3045892508,1581719,31113744,11663
30052.87,3,262144,64,208048,13708996486,142,585,2051865,10,54933,67,14198,129214128,1172,1,66,31010,1260659,2,136207,585,43831787,25505751,4071518879,585,2288,2,1,2,2,830,1,4055540124,4010696723,275733559,311215768,311232152,2,1,13693493792,73389,73389,2,2,2,311215768,9,3,381608,18741115,2538382,57483,30944,4055540124,1994382,41289349,11663
35057.38,3,262144,64,258052,17003916310,151,585,2461294,10,69063,67,14198,130541388,1172,1,66,38357,1260747,2,136207,585,53114361,25507168,5038284122,585,2288,2,1,2,2,830,1,5018657180,4973953012,304205311,386093451,386109835,2,1,16988111844,73389,73389,2,2,2,386093451,9,3,411448,19482833,2703560,65247,38291,5018657180,2396047,50406719,11663
40067.15,3,262144,64,277931,18313873658,154,585,2683941,10,74705,67,14198,131072292,1172,1,66,41279,1305606,2,136207,585,58237359,29293567,5422825024,585,2288,2,1,2,2,830,1,5401649564,5356899411,376416684,415886806,415886806,2,1,18299019464,73389,73389,2,2,2,415886806,9,3,422212,21518584,2907223,76111,41213,5401649564,2607830,55326029,11663
45090.34,3,262144,64,286003,18845800222,155,585,2798252,10,76962,67,14198,131337744,1172,1,66,42464,1419964,2,136207,585,61331800,33814630,5578842561,585,2288,2,1,2,2,830,1,5556969884,5512424339,441199705,427970833,427987217,2,1,18830716652,73389,73389,2,2,2,427970833,9,3,428549,23839728,3033747,83661,42399,5556969884,2714591,58293752,11663
50095.03,3,262144,64,327031,21549211090,162,585,3162230,10,88533,67,14198,132399552,1172,1,66,48490,1448432,2,136207,585,69518190,35955474,6371735600,585,2288,2,1,2,2,830,1,6346809756,6302707853,483159278,489414968,489414968,2,1,21533537696,73389,73389,2,2,2,489398584,9,3,448501,25160730,3271275,94535,48424,6346809756,3067695,66241071,11663
55097.68,3,262144,64,378244,24923834512,171,585,3575553,10,102995,67,14198,133726812,1172,1,66,56011,1448478,2,136207,585,79407907,35974837,7361244811,585,2288,2,1,2,2,830,1,7332602268,7289183054,515005765,566106957,566123341,2,1,24908706108,73389,73389,2,2,2,566106957,9,3,471613,25912711,3425231,102623,55945,7332602268,3472930,75976967,11663
60111.74,3,262144,64,397071,26164317084,174,585,3820300,10,108290,67,14198,133992264,1172,1,66,58777,1486735,2,136207,585,85378501,39571245,7725258150,585,2288,2,1,2,2,830,1,7695147420,7651815427,618636091,594290806,594307190,2,1,26148795464,73389,73389,2,2,2,594290806,9,3,491307,27658998,3774811,114656,58711,7695147420,3705644,81598372,11663
