timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.46,2,262144,64,54541,3594090688,116,585,588667,3,11693,67,68,125280612,1172,1,66,8459,79336,2,3371,585,10632444,2778390,1104144087,585,242,2,1,2,2,429,1,1099866524,1053993198,32795045,81326058,81342442,2,1,3578346552,73389,73389,2,2,2,81326058,4,3,375165,2568498,1708212,17155,8393,1099866524,571512,8921805,4829
10027.19,2,262144,64,63931,4212671218,118,585,716266,3,14366,67,68,125546064,1172,1,66,9838,172092,2,3371,585,13236439,7121885,1285681112,585,242,2,1,2,2,429,1,1280614812,1234805589,58391710,95398582,95398582,2,1,4197537608,73389,73389,2,2,2,95398582,4,3,381860,4971453,1830558,22791,9772,1280614812,693475,11402307,4829
15040.61,2,262144,64,72938,4806139394,120,585,835573,3,16917,67,68,125546064,1172,1,66,11161,325648,2,3371,585,16882698,11871124,1459983947,585,242,2,1,2,2,429,1,1454154140,1408346600,115142783,108864898,108881282,2,1,4790055512,73389,73389,2,2,2,108864898,4,3,394635,7385071,2009541,28309,11096,1454154140,807264,14869488,4829
20056.79,2,262144,64,84986,5599964354,122,585,988331,3,20299,67,68,125811516,1172,1,66,12930,425411,2,3371,585,20858066,16481303,1692705439,585,242,2,1,2,2,429,1,1685889436,1640356523,173748708,126926482,126926482,2,1,5584044312,73389,73389,2,2,2,126910098,4,3,406831,9568425,2199639,34912,12864,1685889436,953419,18654579,4829
25060.86,2,262144,64,125522,8271107378,128,585,1347483,3,31713,67,68,127102578,1172,1,66,18887,439872,2,3371,585,29033585,18008218,2476494474,585,242,2,1,2,2,429,1,2466685340,2421055302,214448160,187633337,187649721,2,1,8255866828,73389,73389,2,2,2,187633337,4,3,449992,10712537,2428964,45024,18821,2466685340,1302459,26600918,4829
30065.61,2,262144,64,178337,11751238310,137,585,1770222,3,46602,67,68,128417772,1172,1,66,26644,440275,2,3371,585,39276807,18016116,3497064697,585,242,2,1,2,2,429,1,3483410844,3438432014,241300023,266713072,266729456,2,1,11735375168,73389,73389,2,2,2,266713072,4,3,476636,11519056,2642790,55171,26578,3483410844,1715051,36630283,4829
35070.56,2,262144,64,230197,15168782362,146,585,2181123,3,61245,67,68,130010484,1172,1,66,34266,440612,2,3371,585,50013587,18021789,4499904349,585,242,2,1,2,2,429,1,4482441628,4437503238,270136979,344400167,344400167,2,1,15152886452,73389,73389,2,2,2,344383783,4,3,505296,12313456,2833491,64114,34200,4482441628,2117009,47176266,4829
40076.51,2,262144,64,279111,18391737042,154,585,2573629,3,75027,67,68,131072292,1172,1,66,41451,440908,2,3371,585,59756278,18026546,5445221916,585,242,2,1,2,2,429,1,5424193948,5379650940,304355360,417651960,417668344,2,1,18376686240,73389,73389,2,2,2,417651960,4,3,530108,13049434,2981032,72100,41385,5424193948,2501529,56770760,4829
45081.33,2,262144,64,341594,22508655446,165,585,3059560,3,92618,67,68,132665004,1172,1,66,50630,441326,2,3371,585,70144604,18027824,6652938672,585,242,2,1,2,2,429,1,6627303836,6583118624,325981397,511222011,511222011,2,1,22493047588,73389,73389,2,2,2,511205627,4,3,549413,13981496,3189369,82573,50564,6627303836,2976987,66950832,4829
50098.50,2,262144,64,378027,24909613200,171,585,3396829,3,102936,67,68,133726812,1172,1,66,55981,472846,2,3371,585,78844455,19947406,7357005062,585,242,2,1,2,2,429,1,7328670108,7284963550,451504917,565779277,565795661,2,1,24894288188,73389,73389,2,2,2,565779277,4,3,574418,15261093,3417051,97735,55915,7328670108,3299094,75423103,4829
