timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5029.97,4,262144,64,23666,1559517704,111,585,405674,11,3000,67,5848,124484256,1172,1,66,3924,1373515,2,231468,585,4372842,27954309,507805151,585,1068,2,1,2,2,761,1,505455004,459153704,36024527,35090976,35107360,2,1,1544002944,73389,73389,2,2,2,35090976,12,3,178349,22321993,1135521,27735,3858,505455004,377939,3235202,8154
10053.85,4,262144,64,30140,1986186836,112,585,496192,11,4821,67,5848,124484256,1172,1,66,4874,1516583,2,231468,585,6780174,33392351,633026193,585,1068,2,1,2,2,761,1,630104476,583867580,73191401,44787257,44803641,2,1,1970639308,73389,73389,2,2,2,44787257,12,3,192480,25132406,1250540,31981,4809,630104476,464211,5527278,8154
15071.95,4,262144,64,40275,2653845072,114,585,626930,11,7695,67,5848,124749708,1172,1,66,6362,1643556,2,231468,585,9270482,37603221,828775433,585,1068,2,1,2,2,761,1,825008540,779016600,113746680,59963542,59979926,2,1,2638395848,73389,73389,2,2,2,59963542,12,3,205732,27423178,1407815,39940,6296,825008540,586990,7860913,8154
20076.31,4,262144,64,70296,4631931474,119,585,897677,11,16155,67,5848,125546064,1172,1,66,10773,1701359,2,231468,585,16308487,41614976,1409170734,585,1068,2,1,2,2,761,1,1403167132,1357423257,191734897,104908606,104924990,2,1,4615978664,73389,73389,2,2,2,104908606,12,3,242195,28935411,1671729,47712,10707,1403167132,849965,14635243,8154
25092.49,4,262144,64,116044,7646771746,127,585,1272134,11,29070,67,5848,127102578,1172,1,66,17495,1709114,2,231468,585,27040735,42038848,2293578988,585,1068,2,1,2,2,761,1,2284233116,2238661799,235881465,173446125,173446125,2,1,7630908604,73389,73389,2,2,2,173429741,12,3,270439,29839335,1855888,56671,17429,2284233116,1215463,25182784,8154
30110.51,4,262144,64,127087,8374467574,129,585,1411826,11,32193,67,5848,127368030,1172,1,66,19117,1786111,2,231468,585,30701025,46804188,2507226823,585,1068,2,1,2,2,761,1,2496962972,2451338766,299937724,189977964,189994348,2,1,8359030416,73389,73389,2,2,2,189977964,12,3,280614,32127880,2024928,62906,19052,2496962972,1348920,28674509,8154
35136.07,4,262144,64,135014,8896625966,130,585,1521561,11,34410,67,5848,127368030,1172,1,66,20282,1869205,2,231468,585,32797413,51070785,2660612138,585,1068,2,1,2,2,761,1,2649661852,2604013377,321951097,201842966,201859350,2,1,8881090504,73389,73389,2,2,2,201842966,12,3,287184,34396886,2142071,70345,20217,2649661852,1451216,30654624,8154
40141.82,4,262144,64,165049,10875617806,135,585,1791390,11,42874,67,5848,128152320,1172,1,66,24695,1890385,2,231468,585,40263995,53967889,3241149343,585,1068,2,1,2,2,761,1,3227951516,3182477578,436202001,246820798,246837182,2,1,10860115112,73389,73389,2,2,2,246820798,12,3,311202,35794568,2366707,79787,24629,3227951516,1711603,37896089,8154
45147.08,4,262144,64,215850,14223228330,143,585,2196714,11,57162,67,5848,129479580,1172,1,66,32156,1892179,2,231468,585,51419454,54002306,4222767813,585,1068,2,1,2,2,761,1,4205879708,4161047994,462583389,322898387,322914771,2,1,14207529028,73389,73389,2,2,2,322898387,12,3,334425,36625096,2562338,89733,32090,4205879708,2106981,48856298,8154
50157.15,4,262144,64,229708,15136469806,146,585,2356228,11,61113,67,5848,130010484,1172,1,66,34192,1982754,2,231468,585,56754513,59093950,4490753489,585,1068,2,1,2,2,761,1,4472742300,4428034957,538924315,343656854,343673238,2,1,15120901576,73389,73389,2,2,2,343656854,12,3,340423,38787257,2755765,97096,34126,4472742300,2259132,53998614,8154
55178.29,4,262144,64,238637,15724633118,147,585,2469358,11,63603,67,5848,130010484,1172,1,66,35503,2130303,2,231468,585,59941744,63738399,4663479631,585,1068,2,1,2,2,761,1,4644708764,4600001714,596826505,357018833,357035217,2,1,15708828652,73389,73389,2,2,2,357018833,12,3,350676,41237714,2886669,102150,35438,4644708764,2367208,57054895,8154
60197.50,4,262144,64,245204,16157662550,148,585,2564037,11,65448,67,5848,130275936,1172,1,66,36469,2314746,2,231468,585,62197321,68572586,4790679213,585,1068,2,1,2,2,761,1,4771324316,4726564935,628057665,366860411,366876795,2,1,16141858084,73389,73389,2,2,2,366860411,12,3,358860,43829850,3014102,109194,36404,4771324316,2454843,59183490,8154
65212.07,4,262144,64,250856,16529930186,149,585,2643820,11,67044,67,5848,130275936,1172,1,66,37300,2479611,2,231468,585,63697466,73225698,4899979950,585,1068,2,1,2,2,761,1,4880114076,4835422124,707766824,375332210,375332210,2,1,16514617240,73389,73389,2,2,2,375332210,12,3,365086,46751335,3127751,112917,37234,4880114076,2530903,60570690,8154
70223.43,4,262144,64,255800,16855798334,150,585,2714668,11,68447,67,5848,130541388,1172,1,66,38026,2705384,2,231468,585,66100631,79158457,4995587647,585,1068,2,1,2,2,761,1,4975272348,4930633799,870803741,382730857,382747241,2,1,16840157708,73389,73389,2,2,2,382730857,12,3,378548,49706715,3261057,116892,37960,4975272348,2597776,62840189,8154
75246.04,4,262144,64,259804,17119278352,151,585,2773842,11,69596,67,5848,130541388,1172,1,66,38613,2847716,2,231468,585,67364920,84214354,5072897218,585,1068,2,1,2,2,761,1,5052211612,5007650779,886413732,388726957,388726957,2,1,17103986108,73389,73389,2,2,2,388726957,12,3,380678,53045605,3327227,119764,38547,5052211612,2654078,64038125,8154
80263.29,4,262144,64,263752,17379595126,152,585,2829043,11,70725,67,5848,130541388,1172,1,66,39195,3103170,2,231468,585,68870132,89614578,5149548673,585,1068,2,1,2,2,761,1,5128495516,5083746492,922332732,394645011,394645011,2,1,17364380484,73389,73389,2,2,2,394645011,12,3,385443,56372903,3420849,122701,39129,5128495516,2706342,65449260,8154
85276.58,4,262144,64,269464,17756060374,152,585,2910277,11,72283,67,5848,130806840,1172,1,66,40033,3409577,2,231468,585,70560178,94461206,5259896210,585,1068,2,1,2,2,761,1,5238333852,5193783608,992172724,403196571,403212955,2,1,17740649124,73389,73389,2,2,2,403196571,12,3,391419,59484989,3517673,126443,39967,5238333852,2783834,67042775,8154
90298.98,4,262144,64,274631,18096277598,153,585,2993111,11,73752,67,5848,130806840,1172,1,66,40793,3532434,2,231468,585,72733518,100213794,5359981420,585,1068,2,1,2,2,761,1,5337948572,5293241511,1038792041,410941441,410957825,2,1,18081423404,73389,73389,2,2,2,410941441,12,3,395527,62401845,3595973,141891,40727,5337948572,2851220,69138355,8154
95312.73,4,262144,64,280990,18515410090,154,585,3076955,11,75539,67,5848,131072292,1172,1,66,41727,3727091,2,231468,585,75043653,105169280,5482965395,585,1068,2,1,2,2,761,1,5460369820,5415829481,1090913529,420465690,420465690,2,1,18500490360,73389,73389,2,2,2,420465690,12,3,400555,65139091,3699647,145904,41661,5460369820,2931051,71344810,8154
100340.95,4,262144,64,288516,19011288546,156,585,3174536,11,77703,67,5848,131337744,1172,1,66,42834,3835224,2,231468,585,77314121,109595798,5628717455,585,1068,2,1,2,2,761,1,5605466524,5560712713,1212647159,431732676,431749060,2,1,18996237744,73389,73389,2,2,2,431732676,12,3,405136,67637899,3797310,150420,42768,5605466524,3024116,73517592,8154
105365.58,4,262144,64,296390,19530238982,157,585,3277751,11,79904,67,5848,131603196,1172,1,66,43991,3958939,2,231468,585,80040357,114479792,5781046236,585,1068,2,1,2,2,761,1,5757116828,5712504313,1382998102,443529983,443529983,2,1,19515319252,73389,73389,2,2,2,443529983,12,3,412435,70054837,3941432,155300,43925,5757116828,3122451,76100284,8154
110371.56,4,262144,64,312606,20598545250,160,585,3432759,11,84471,67,5848,131868648,1172,1,66,46372,4012294,2,231468,585,83849084,118302278,6094388203,585,1068,2,1,2,2,761,1,6069199260,6024875617,1569021170,467806692,467806692,2,1,20582773552,73389,73389,2,2,2,467790308,12,3,431184,72159939,4087030,161094,46306,6069199260,3271665,79763716,8154
115377.04,4,262144,64,357744,23572901790,167,585,3792647,11,97185,67,5848,132930456,1172,1,66,53002,4014472,2,231468,585,94675760,118949808,6966560637,585,1068,2,1,2,2,761,1,6938075548,6894231659,1609689439,535398257,535414641,2,1,23557523308,73389,73389,2,2,2,535398257,12,3,453097,72980435,4315938,171481,52936,6938075548,3621166,90361099,8154
