timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5011.92,44,262144,64,30846,2032539714,4,5874041,178,8,8,2264,265,0,576,361376,0,3,12128,9,68,102823842,1154,1,4,327,38283940,11,153071196,8,5684,3384,2,121,576,13852547,44955,679574370,576,1031,0,3,1,2,2,893,3,676419730,643022844,20987318,38877395,38893779,3,1,2021624572,73389,73389,2,2,2,38877399,15,1,3,58168,800394,322986,10035,5674,676419730,351341,13530701,3419
10019.29,53,262144,64,58916,3883139426,6,8994513,313,10,10,2264,436,1,576,650819,0,3,23127,9,68,107831232,1154,1,4,327,73128133,11,292448072,8,10662,5517,2,121,576,26095924,59335,1283640141,576,1031,0,3,1,2,2,893,3,1277700589,1227321430,37387676,74318468,74318468,3,1,3864560368,73389,73389,2,2,2,74318472,15,1,3,69176,1443258,469667,18434,10650,1277700589,632385,25628400,3419
15024.40,78,262144,64,88543,5834535892,6,12641946,427,10,10,2264,624,3,576,1000477,0,3,34796,9,68,110702940,1154,1,4,327,110061639,11,440181944,8,15773,10234,2,121,576,40924702,117450,1903346233,576,1031,0,3,1,2,2,893,3,1894493548,1842457468,57119481,111811859,111811859,3,1,5814216700,73389,73389,2,2,2,111811863,15,1,3,79206,2233878,679136,28484,15761,1894493548,971993,40248274,3419
20028.51,89,262144,64,120552,7944309652,7,15789085,512,11,11,2264,820,5,594,1322554,2,3,47387,9,68,118312934,1190,1,4,327,149915918,11,599599080,8,21373,12780,2,121,594,55161165,121511,2582678800,592,1049,2,3,1,2,2,893,3,2570683335,2507915473,75653378,152317933,152317933,3,1,7919680580,73389,73389,2,2,2,152301553,15,1,3,86940,2951822,819261,37986,21360,2570683335,1284568,54344997,3493
25032.74,92,262144,64,153726,10128258838,8,20827196,644,11,11,2264,1042,5,594,1610604,2,3,60392,9,68,120472748,1190,1,4,327,191113999,11,764391260,8,27464,14573,2,121,594,67611638,122405,3317619359,592,1049,2,3,1,2,2,893,3,3302299844,3199174549,94185556,194087548,194087548,3,1,10092552528,73389,73389,2,2,2,194087552,15,1,3,95478,3605486,944784,46560,27451,3302299844,1564044,66670826,3493
30036.54,92,262144,64,181619,11966969094,10,25768418,780,12,12,2264,1206,5,594,1798772,2,3,71336,9,68,120472748,1190,1,4,327,225787775,11,903151100,8,32548,15011,2,121,594,76183513,122945,3938213516,592,1049,2,3,1,2,2,893,3,3920159429,3780648460,108407268,229272510,229272510,3,1,11922170552,73389,73389,2,2,2,229272514,15,1,3,106272,4052824,1032705,52655,32534,3920159429,1746117,75155009,3493
35041.33,92,262144,64,201960,13308277948,10,29756931,912,12,12,2264,1342,5,594,1919105,2,3,79322,9,68,120472748,1190,1,4,327,251036603,11,1004146412,8,36292,15181,2,121,594,81943641,123102,4389345525,592,1049,2,3,1,2,2,893,3,4369281471,4205268106,118610012,254931064,254931064,3,1,13256415360,73389,73389,2,2,2,254931068,15,1,3,109184,4341827,1078516,56783,36278,4369281471,1862322,80869640,3493
40045.13,93,262144,64,223572,14731905712,11,33932144,1056,13,13,2264,1495,5,594,2052800,2,3,87819,9,68,120762332,1190,1,4,327,277891051,11,1111564204,8,40185,15500,2,121,594,88486360,123399,4857495353,592,1049,2,3,1,2,2,893,3,4835329313,4655497184,129842867,282168959,282185343,3,1,14672785900,73389,73389,2,2,2,282168963,15,1,3,112950,4662477,1136610,61503,40170,4835329313,1991297,87354738,3493
45048.05,93,262144,64,243125,16020908568,11,37887927,1180,13,13,2264,1632,5,594,2169664,2,3,95504,9,68,120762332,1190,1,4,327,302192462,11,1208769848,8,43811,15657,2,121,594,94131283,123824,5293840120,592,1049,2,3,1,2,2,893,3,5269725871,5063444673,139910158,306832407,306832407,3,1,15955285196,73389,73389,2,2,2,306832411,15,1,3,119620,4951002,1199423,65728,43796,5269725871,2103936,92937406,3493
50051.64,93,262144,64,259000,17065744922,12,42024742,1362,13,13,2264,1712,5,594,2259584,2,3,101705,9,68,120762332,1190,1,4,327,321926353,11,1287640740,8,46609,15812,2,121,594,98651832,124074,5637866629,592,1049,2,3,1,2,2,893,3,5612247819,5393245824,148916113,326864389,326864389,3,1,16996948260,73389,73389,2,2,2,326864393,15,1,3,124448,5170583,1246409,68978,46594,5612247819,2190606,97411137,3493
