timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.35,0,262144,64,11037,727459470,0,1566919,292,1,1,13908,129,0,576,82648,2,4293,4,101279394,1154,1,4,230,13582155,4,54328620,3,2245,63,2,7,576,3227060,153,264805434,576,76,3,1,2,2,553,3,263616494,232134243,5083156,13791837,13791837,3,1,717175556,73389,73389,2,2,2,13791841,4,3,8210,181603,82154,2489,2242,263616494,80159,3145034,848
10011.33,0,262144,64,21663,1427899182,0,3363693,565,1,1,13908,206,0,576,147443,2,8501,4,105333570,1154,1,4,230,26767166,4,107068664,3,4089,207,2,7,576,6293994,316,485822163,576,76,3,1,2,2,553,3,483641731,452880086,10185847,27247802,27247802,3,1,1416885736,73389,73389,2,2,2,27247806,4,3,8887,331491,106312,4678,4086,483641731,142765,6187835,848
15015.36,0,262144,64,30442,2005761520,0,5741959,792,1,1,13908,250,0,576,196431,2,11945,4,107855364,1154,1,4,230,37726431,4,150905724,3,5571,258,2,7,576,8789017,446,667471888,576,76,3,1,2,2,553,3,664493304,634640952,15240063,38363458,38363458,3,1,1994899848,73389,73389,2,2,2,38363462,4,3,9188,445658,121483,6374,5568,664493304,190057,8667880,848
20019.43,0,262144,64,40947,2697981792,0,7593401,1065,1,1,13908,322,0,576,257044,2,16046,4,111330372,1154,1,4,230,50713349,4,202853396,3,7413,328,2,7,576,11788551,658,890410485,576,76,3,1,2,2,553,3,886441842,852670164,20320708,51665934,51665934,3,1,2686628600,73389,73389,2,2,2,51665938,4,3,11049,590458,142679,8367,7410,886441842,248677,11646284,848
25024.29,0,262144,64,50764,3344823712,0,9599422,1322,1,1,13908,386,0,576,315101,2,19959,4,114503730,1154,1,4,230,63128902,4,252450864,3,9107,403,2,7,576,14664275,753,1096040568,576,76,3,1,2,2,553,3,1091158348,1056411139,25421214,64110409,64110409,3,1,3333741300,73389,73389,2,2,2,64110413,4,3,12945,728189,163049,10376,9104,1091158348,304725,14501890,848
30027.94,0,262144,64,56399,3716315084,0,12761328,1473,1,1,13908,403,0,576,342456,2,22045,4,116639412,1154,1,4,230,69762655,4,279050620,3,9987,570,2,7,576,16414667,818,1206898527,576,76,3,1,2,2,553,3,1201531007,1173063944,30440988,71263296,71263296,3,1,3705691424,73389,73389,2,2,2,71263300,4,3,15452,794490,187039,11420,9984,1201531007,331036,16228397,848
35031.89,0,262144,64,61719,4066812702,0,16098414,1618,1,1,13908,457,0,576,369504,2,24255,4,116928996,1154,1,4,230,76662087,4,306648348,3,10942,574,2,7,576,18016725,888,1318513731,576,76,3,1,2,2,553,3,1312631598,1283640317,35486142,78000550,78000550,3,1,4056028632,73389,73389,2,2,2,78000554,4,3,15599,861966,196519,12501,10939,1312631598,357003,17821011,848
40036.78,0,262144,64,69447,4575844968,0,18780926,1819,1,1,13908,499,0,576,409733,2,27309,4,116928996,1154,1,4,230,86426021,4,345639576,3,12258,644,2,7,576,20251873,982,1478919829,576,76,3,1,2,2,553,3,1472326520,1443782347,40561591,87797294,87797294,3,1,4565459320,73389,73389,2,2,2,87797298,4,3,19233,960360,214150,13908,12255,1472326520,395825,20038550,848
45040.95,0,262144,64,77641,5116249564,0,21283233,2037,1,1,13908,533,0,576,454358,2,30494,4,116928996,1154,1,4,230,96578655,4,386314620,3,13648,674,2,7,576,22632192,1447,1651634854,576,76,3,1,2,2,553,3,1644288178,1613831929,45613327,98185577,98185577,3,1,5105650036,73389,73389,2,2,2,98185581,4,3,23815,1066361,243756,15473,13645,1644288178,438885,22389315,848
50044.97,0,262144,64,87675,5777264532,0,23181471,2305,1,1,13908,605,0,576,508425,2,34456,4,117218580,1154,1,4,230,109105544,4,436422176,3,15372,756,2,7,576,25599118,1616,1858786019,576,76,3,1,2,2,553,3,1850505697,1821901670,50679655,110900388,110900388,3,1,5766820208,73389,73389,2,2,2,110900392,4,3,25480,1202045,265489,17505,15369,1850505697,490920,25334580,848
55050.54,0,262144,64,95006,6259929092,0,25996467,2496,1,1,13908,659,0,576,545260,2,37369,4,117218580,1154,1,4,230,118331270,4,473325080,3,16642,807,2,7,576,27690694,1700,2012198948,576,76,3,1,2,2,553,3,2003234551,1974033270,55744557,120183195,120183195,3,1,6249526172,73389,73389,2,2,2,120183199,4,3,30726,1295216,293483,18906,16639,2003234551,526354,27398262,848
60054.83,0,262144,64,100753,6638784628,0,29013227,2667,1,1,13908,706,0,576,573939,2,39613,4,117218580,1154,1,4,230,125438960,4,501755840,3,17640,866,2,7,576,29606612,1795,2131142392,576,76,3,1,2,2,553,3,2121628076,2093223246,60792619,127450770,127450770,3,1,6627440072,73389,73389,2,2,2,127450774,4,3,39184,1367457,315402,20111,17637,2121628076,553828,29292359,848
65059.24,0,262144,64,107553,7086915024,0,31791596,2858,1,1,13908,734,0,576,611615,2,42252,4,117508164,1154,1,4,230,133767112,4,535068448,3,18795,909,2,7,576,31730749,1908,2273439177,576,76,3,1,2,2,553,3,2263294054,2234350796,65826796,136084250,136084250,3,1,7076381032,73389,73389,2,2,2,136084254,4,3,41244,1457341,338290,21560,18792,2263294054,590055,31393630,848
