timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5093.24,34,262144,64,22428,1478118684,111,1,585,552737,21,2661,67,26814,124484256,1172,1,66,3743,1545016,2,511544,585,5611728,26655546,484020767,585,1706,2,1,2,2,1499,1,481730972,435352033,39792715,33249935,33249935,2,1,1462997140,73389,73389,2,2,2,33249935,26,3,3,178041,20014721,1588376,19079,3677,481730972,533658,4025231,15236
10140.66,34,262144,64,25838,1702658252,112,1,585,629776,21,3648,67,26814,124484256,1172,1,66,4242,1809056,2,511544,585,7623344,31346610,549883377,585,1706,2,1,2,2,1499,1,547266972,500952594,75898461,38344915,38361299,2,1,1687176260,73389,73389,2,2,2,38344915,26,3,3,188166,22382216,1728059,23019,4177,547266972,606757,5896961,15236
15147.41,34,262144,64,53839,3547818964,116,1,585,882065,21,11502,67,26814,125280612,1172,1,66,8357,1868672,2,511544,585,14827979,33836182,1091230470,585,1706,2,1,2,2,1499,1,1086497180,1040507984,127974339,80271449,80287833,2,1,3531943756,73389,73389,2,2,2,80271449,26,3,3,211055,23898011,1992790,29885,8291,1086497180,852180,12836874,15236
20153.90,34,262144,64,94287,6212941434,123,1,585,1222120,21,22917,67,26814,126318288,1172,1,66,14296,1880236,2,511544,585,24326558,34602067,1872636659,585,1706,2,1,2,2,1499,1,1864933788,1819522245,152240845,140857583,140857583,2,1,6197012756,73389,73389,2,2,2,140841199,26,3,3,233154,24801448,2262646,37758,14230,1864933788,1184362,22066078,15236
25161.39,34,262144,64,136290,8980780806,130,1,585,1571194,21,34758,67,26814,127368030,1172,1,66,20469,1885107,2,511544,585,35324851,35406283,2684818834,585,1706,2,1,2,2,1499,1,2674041244,2628606752,200910874,203755576,203771960,2,1,8965245344,73389,73389,2,2,2,203755576,26,3,3,264628,25649541,2612287,46082,20404,2674041244,1525112,32715439,15236
30169.18,34,262144,64,178380,11754056358,137,1,585,1905867,21,46620,67,26814,128417772,1172,1,66,26652,1889110,2,511544,585,47125456,36205462,3498320408,585,1706,2,1,2,2,1499,1,3484459420,3439258221,242214801,266778608,266794992,2,1,11738258752,73389,73389,2,2,2,266778608,26,3,3,285467,26463656,2918468,54248,26586,3484459420,1851619,44209732,15236
35175.52,34,262144,64,223072,14699183842,145,1,585,2247953,21,59239,67,26814,129745032,1172,1,66,33217,1892814,2,511544,585,58786609,36609697,4362068916,585,1706,2,1,2,2,1499,1,4344947100,4300206370,275363912,333714813,333731197,2,1,14683451772,73389,73389,2,2,2,333714813,26,3,3,315544,27273232,3189214,62716,33151,4344947100,2185237,55600250,15236
40216.44,34,262144,64,255942,16865104446,150,1,585,2540858,21,68487,67,26814,130541388,1172,1,66,38045,1934545,2,511544,585,66218591,37868409,4997449326,585,1706,2,1,2,2,1499,1,4977893788,4933328530,305806032,382943849,382960233,2,1,16849529356,73389,73389,2,2,2,382943849,26,3,3,329296,28416686,3386573,73666,37980,4977893788,2467192,62836643,15236
45229.06,34,262144,64,262841,17319626378,151,1,585,2721033,21,70425,67,26814,130541388,1172,1,66,39061,1994559,2,511544,585,69937662,41661708,5131106427,585,1706,2,1,2,2,1499,1,5110931868,5066255124,409979992,393279106,393295490,2,1,17304280664,73389,73389,2,2,2,393279106,26,3,3,339537,30296601,3607668,79262,38995,5110931868,2641771,66335951,15236
50253.89,34,262144,64,270335,17813154296,153,2,585,2916222,21,72579,67,26814,130806840,1172,1,66,40161,2035674,2,511544,585,74381046,45525999,5275947136,585,1706,2,1,2,2,1499,1,5255111068,5210470880,439287715,404499099,404515483,2,1,17797960356,73389,73389,2,2,2,404499099,26,3,3,346177,32182627,3821633,85848,40095,5255111068,2830374,70565913,15236
55259.85,34,262144,64,315960,20819680254,160,2,585,3254478,21,85404,67,26814,131868648,1172,1,66,46865,2050226,2,511544,585,84854733,46301320,6158128864,585,1706,2,1,2,2,1499,1,6133948828,6089476944,519685998,472833977,472833977,2,1,20804694988,73389,73389,2,2,2,472833977,26,3,3,361512,33078725,4048100,94508,46800,6133948828,3159970,80811951,15236
60264.08,34,262144,64,367502,24216118406,169,2,585,3624692,21,99954,67,26814,133461360,1172,1,66,54438,2052302,2,511544,585,95859710,46391239,7154261753,585,1706,2,1,2,2,1499,1,7126294940,7082320407,545788303,550007135,550023519,2,1,24200313940,73389,73389,2,2,2,550007135,26,3,3,378454,33847126,4251226,103289,54372,7126294940,3521403,91614242,15236
