timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5012.38,2,262144,64,60931,4015001410,118,8,585,783732,2,13494,67,802,125280612,1172,1,66,9398,177698,2,6820,585,13911265,4115356,1227756508,585,653,2,1,2,2,390,1,1222943132,1177008066,37548325,90901618,90918002,2,1,3999671192,73389,73389,2,2,2,90901618,5,3,297810,3989651,1871854,16813,9332,1222943132,766919,12039453,5267
10018.31,2,262144,64,103595,6826666850,125,8,585,1146294,2,25526,67,802,126837126,1172,1,66,15667,181878,2,6820,585,24916907,4810848,2052564531,585,653,2,1,2,2,390,1,2044633500,1998897529,69473448,154794717,154811101,2,1,6810967548,73389,73389,2,2,2,154794717,5,3,325913,4852332,2163990,25816,15601,2044633500,1120478,22753962,5267
15024.39,2,262144,64,148695,9798267570,132,8,585,1493539,2,38250,67,802,127886868,1172,1,66,22289,185605,2,6820,585,35461798,5159522,2923804473,585,653,2,1,2,2,390,1,2912592284,2867561175,99636615,222331097,222347481,2,1,9782568268,73389,73389,2,2,2,222331097,5,3,348186,5652768,2416027,34360,22224,2912592284,1459179,33046997,5267
20029.76,2,262144,64,191875,12643508266,139,8,585,1836115,2,50412,67,802,128948676,1172,1,66,28637,191291,2,6820,585,46338189,5643875,3759005468,585,653,2,1,2,2,390,1,3744637340,3699258876,129010686,287004595,287020979,2,1,12628202180,73389,73389,2,2,2,287004595,5,3,372250,6515035,2666478,42466,28571,3744637340,1793649,43673540,5267
25045.20,2,262144,64,200059,13182774862,141,8,585,2024266,2,52752,67,802,129214128,1172,1,66,29835,244801,2,6820,585,51123833,9351657,3916865803,585,653,2,1,2,2,390,1,3901792668,3856897220,191502635,299252462,299268846,2,1,13167108328,73389,73389,2,2,2,299252462,5,3,381352,8392537,2895004,47968,29770,3901792668,1976298,48231132,5267
30069.57,2,262144,64,207404,13666525850,142,8,585,2218044,2,54810,67,802,129214128,1172,1,66,30916,315447,2,6820,585,54137470,13010195,4059073504,585,653,2,1,2,2,390,1,4043350428,3998326312,209316800,310259463,310275847,2,1,13651416372,73389,73389,2,2,2,310259463,5,3,385150,10194436,3079080,53545,30850,4043350428,2164499,51060742,5267
35075.19,2,262144,64,239415,15775885578,147,8,585,2516853,2,63814,67,802,130010484,1172,1,66,35619,352364,2,6820,585,61004499,14880182,4677878165,585,653,2,1,2,2,390,1,4659782044,4615030679,333537756,358188130,358204514,2,1,15760277720,73389,73389,2,2,2,358188130,5,3,410552,11408931,3308103,61052,35553,4659782044,2455801,57697833,5267
40079.51,2,262144,64,290140,19118249914,156,8,585,2882388,2,78093,67,802,131337744,1172,1,66,43072,357341,2,6820,585,73704420,15164838,5658479682,585,653,2,1,2,2,390,1,5636661660,5592057925,387231666,434169574,434185958,2,1,19103461256,73389,73389,2,2,2,434169574,5,3,429040,12205770,3537184,70269,43006,5636661660,2812119,70169271,5267
45084.67,2,262144,64,346258,22816173514,165,8,585,3313292,2,93940,67,802,132665004,1172,1,66,51315,358026,2,6820,585,83838984,15172464,6743001743,585,653,2,1,2,2,390,1,6717088156,6673011397,411077729,518211058,518211058,2,1,22800565656,73389,73389,2,2,2,518194674,5,3,449177,13004530,3719781,79535,51249,6717088156,3233757,80121482,5267
50116.40,2,262144,64,360988,23786827834,168,8,585,3549192,2,98124,67,802,133195908,1172,1,66,53476,407469,2,6820,585,88843356,17876487,7027417925,585,653,2,1,2,2,390,1,7000334748,6956763451,437569843,540261702,540278086,2,1,23771514888,73389,73389,2,2,2,540261702,5,3,455758,14604862,3910066,88576,53410,7000334748,3460616,84935408,5267
55128.92,2,262144,64,365281,24069766594,169,8,585,3678148,2,99348,67,802,133461360,1172,1,66,54110,498146,2,6820,585,90547083,21911028,7110923531,585,653,2,1,2,2,390,1,7083434396,7039560155,452084030,546679468,546695852,2,1,24053896592,73389,73389,2,2,2,546679468,5,3,459188,16661708,4032985,102674,54044,7083434396,3575474,86516273,5267
60153.29,2,262144,64,369671,24359062346,169,8,585,3805453,2,100546,67,802,133461360,1172,1,66,54755,641663,2,6820,585,92949836,26236654,7195883733,585,653,2,1,2,2,390,1,7167975836,7124113473,571764779,553269266,553285650,2,1,24343847704,73389,73389,2,2,2,553269266,5,3,464877,18702389,4168406,106718,54689,7167975836,3698735,88784496,5267
65167.04,2,262144,64,372885,24570503472,170,8,585,3899332,2,101480,67,802,133461360,1172,1,66,55223,799756,2,6820,585,94673580,30522532,7257542870,585,653,2,1,2,2,390,1,7229317532,7185895654,589391218,558079685,558079685,2,1,24555506140,73389,73389,2,2,2,558079685,5,3,468717,21168175,4269216,110568,55157,7229317532,3788764,90407081,5267
