timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5035.85,28510,262144,64,41961,2764905870,310,52,576,1434604,28,16340,67,15714,111800946,1154,1,4,34748,51793516,34,206398340,66,7610,3868989,2,206569,576,52061479,223353072,911027212,576,1601,3,1,2,2,37504,3,906336149,873058923,289494220,52892575,53087024,3,1,2750413932,73389,73389,2,2,2,52892579,46,2,3,215235,46026433,2088278,71007,7555,906336149,1363597,49973054,9019
10049.41,28737,262144,64,84084,5540694024,585,99,576,2897540,28,32895,67,15714,116928996,1154,1,4,34748,104098328,34,415682364,66,14840,7378415,2,206569,576,106411988,463684626,1786275702,576,1601,3,1,2,2,37504,3,1777038474,1747267793,603055930,106247776,106444384,3,1,5524884384,73389,73389,2,2,2,106247780,46,2,3,356953,93310014,3866728,228362,14778,1777038474,2669178,102542384,9019
15130.77,28880,262144,64,118639,7817223778,807,131,576,4067959,28,46502,67,15714,117508164,1154,1,4,34748,147206027,34,588178704,66,20764,11427934,2,206569,576,152290054,720026669,2505104391,576,1601,3,1,2,2,37504,3,2492127276,2463731032,922641947,150074854,150238694,3,1,7803892440,73389,73389,2,2,2,150074858,46,2,3,539556,142104659,5617910,361001,20703,2492127276,3706958,146669645,9019
20196.33,37883,262144,64,160947,10605606666,1078,170,576,5392105,28,63194,67,15714,117508164,1154,1,4,34748,200269134,34,800051248,66,28020,15273543,2,206569,576,207573660,976187294,3385597663,576,1601,3,1,2,2,37504,3,3368053772,3342005296,1254500282,203714616,203796536,3,1,10590604160,73389,73389,2,2,2,203665468,46,2,3,705379,191738681,7419834,415561,27958,3368053772,4976544,200149761,9019
25783.71,38091,262144,64,209122,13779394216,1393,216,576,6991303,28,82172,67,15714,117508164,1154,1,4,34748,260334024,34,1040366668,66,36338,18872260,2,206569,576,270118935,1252968742,4395040470,576,1601,3,1,2,2,37504,3,4372273515,4340761581,1611556855,264737085,264884541,3,1,13766328452,73389,73389,2,2,2,264737089,46,2,3,882393,245274616,9535033,539971,36274,4372273515,6451332,260577692,9019
30884.01,38272,262144,64,248489,16374456560,1645,243,576,8269581,28,97703,67,15714,117508164,1154,1,4,34748,309555904,34,1237189448,66,43111,22141876,2,206569,576,321107114,1499234422,5216081670,576,1601,3,1,2,2,37504,3,5189072448,5158244766,1933601216,314629229,314776685,3,1,16359016004,73389,73389,2,2,2,314596465,46,2,3,1033709,289326368,11158980,632111,43046,5189072448,7637470,309940966,9019
35917.26,38478,262144,64,293690,19352748812,1937,274,576,9706907,28,115481,67,15714,117508164,1154,1,4,34748,365844757,34,1462417636,66,50852,25220489,2,206569,576,379942858,1753789862,6155453143,576,1601,3,1,2,2,37504,3,6123602329,6095470197,2267155717,371863120,372043344,3,1,19336882272,73389,73389,2,2,2,371863124,46,2,3,1209690,336557221,13095191,711515,50794,6123602329,8995392,366840821,9019
41297.00,38700,262144,64,338894,22329693224,2231,309,576,11164857,28,133319,67,15714,117508164,1154,1,4,34748,422472363,34,1688596972,66,58597,28843012,2,206569,576,438621650,2011077842,7096142162,576,1601,3,1,2,2,37504,3,7059406677,7032908328,2600188095,429099614,429328990,3,1,22313179960,73389,73389,2,2,2,429099618,46,2,3,1375002,388263931,14970934,803586,58540,7059406677,10361271,423640369,9019
46326.02,38903,262144,64,383650,25279087408,2516,336,576,12580884,28,151007,67,15714,117508164,1154,1,4,34748,478369984,34,1912971604,66,66325,34023473,2,206569,576,494412813,2270611435,8032853433,576,1601,3,1,2,2,37504,3,7991262781,7961569123,2936930323,485897170,485979090,3,1,25265800904,73389,73389,2,2,2,485880790,46,2,3,1541732,440255810,16784450,894978,66262,7991262781,11685906,477615951,9019
51460.46,39165,262144,64,437586,28832056764,2869,399,585,14269808,28,172290,67,15714,118949768,1172,1,4,34748,545814494,34,2182547372,66,75615,39531538,2,206569,585,563404167,2523108626,9159471519,585,1638,3,1,2,2,37504,3,9112053174,9079704919,3278477330,554142380,554388140,3,1,28812847888,73389,73389,2,2,2,554093232,46,2,3,1806997,495276064,19271606,1018869,75555,9112184246,13251110,544115769,9227
